line1,line2,line3,key,fein,unitid,institutionname
Bruce Bedford 5 00,X 0 0 0,Governor,bruce,310536640,245883,Antioch University-Seattle
Howard Coleman 15 00,X 0 0 0,ChaIr of the Board,howard,310536640,245883,Antioch University-Seattle
Maureen Curley 5 00,X 0 0 0,Governor,maureen,310536640,245883,Antioch University-Seattle
Eanque FIgueroa 5 00,X 0 0 0,Governor,figueroa,310536640,245883,Antioch University-Seattle
Lance DublIn 5 00,X 0 0 0,Governor,lance,310536640,245883,Antioch University-Seattle
WIllIam Graves 5 00,X 0 0 0,Governor,william,310536640,245883,Antioch University-Seattle
Reuben HarrIs 5 00,X 0 0 0,Governor,reuben,310536640,245883,Antioch University-Seattle
Carole Isom—Barnes 5 00,X 0 0 0,Governor,carole,310536640,245883,Antioch University-Seattle
Elsa Luna 5 00,X 0 0 0,Governor,elsa,310536640,245883,Antioch University-Seattle
Janet Morgan 5 00,X 0 0 0,Governor,janet,310536640,245883,Antioch University-Seattle
James Morley 5 00,X X 0 0 0,"Governor, Treasurer",james,310536640,245883,Antioch University-Seattle
Charlotte Roberts 10 00,X 0 0 0,VIce ChaIr,charlotte,310536640,245883,Antioch University-Seattle
Lawrence Stone 5 00,X 0 0 0,Governor,lawrence,310536640,245883,Antioch University-Seattle
Holly McKIernan 5 00,X 0 0 0,Governor,holly,310536640,245883,Antioch University-Seattle
Paul Mutty 5 00,X 0 0 0,Governor,paul,310536640,245883,Antioch University-Seattle
FeIIce Nudelman 55 00,"X 331,867 0 53,937",Chancellor/PreSIdent/CEO/Secretary,nudelman,310536640,245883,Antioch University-Seattle
TImothy Jordan 55 00,"X 166,550 0 34,240",VC/CFO/Treasurer,timothy,310536640,245883,Antioch University-Seattle
LesIIe Johnson 55 00,"x 69,716 0 16,855",ASSIstant Secretary,johnson,310536640,245883,Antioch University-Seattle
Tex Boggs 55 00,"X 223,324 0 27,970",LA Campus PreSIdent,boggs,310536640,245883,Antioch University-Seattle
LA Campus PreSIdent,Ellen Hall 55 00,"X 199,600 0 0",la,310536640,245883,Antioch University-Seattle
Ellen Hall 55 00,"X 199,600 0 0",AUM Campus PreSIdent,ellen,310536640,245883,Antioch University-Seattle
Nancy Leffert 55 00,"X 207,991 0 40,359",SB Campus PreSIdent,nancy,310536640,245883,Antioch University-Seattle
LaurIen Alexandre 55 00,"X 190,859 0 37,898",DIr PhD In LeadershIp/Sp Asst to Chancellor,alexandre,310536640,245883,Antioch University-Seattle
WIllIam Groves 55 00,"X 239,214 0 36,234",General Counsel,william,310536640,245883,Antioch University-Seattle
Charlotte Tullos 55 00,"X 165,282 0 0",VC Advancement,charlotte,310536640,245883,Antioch University-Seattle
DaVId Houser 45 00,"X 164,024 0 22,841","Reg Ional CFO, West Coast",david,310536640,245883,Antioch University-Seattle
Rebecca Todd 45 00,"X 162,974 0 23,118",Assoaate General Counsel,rebecca,310536640,245883,Antioch University-Seattle
LUIS PedraJa 45 00,"X 140,211 0 38,821",Provost and VPAA,luis,310536640,245883,Antioch University-Seattle
IrIs WeIsman 45 00,"X 148,778 0 32,319",VC AcademIc AfaIrs,iris,310536640,245883,Antioch University-Seattle
Dale Johnston 45 00,"X 134,211 0 18,327",DIstIngmshed Professor,dale,310536640,245883,Antioch University-Seattle
Cassandra ManuelIto—Kervllet 0 00,"X 109,623 0 19,571",SE Campus PreSIdent,cassandra,310536640,245883,Antioch University-Seattle
SE Campus PreSIdent,DaVId Caruso 0 00,"X 216,939 0 30,837",se,310536640,245883,Antioch University-Seattle
DaVId Caruso 0 00,"X 216,939 0 30,837",NE Campus PreSIdent,david,310536640,245883,Antioch University-Seattle
