line1,line2,line3,key,fein,unitid,institutionname
(1) JOHN PROUT 1 00,"x x 0 1,455,153 328,652",CEO—TRIHEALTH 6O 00,john,311778403,202912,Good Samaritan College of Nursing and Health Science
(2) MORRIS COHEN 6O 00,"X X 0 173,117 66,905",PRESIDENT—COLLEGE 0 00,morris,311778403,202912,Good Samaritan College of Nursing and Health Science
(3) STEVEN DUMBAULD MD 1 00,X 0 0 0,TRUSTEE 0 00,steven,311778403,202912,Good Samaritan College of Nursing and Health Science
(4) RICHARD HOMAN 1 00,X 0 0 0,TRUSTEE 0 00,richard,311778403,202912,Good Samaritan College of Nursing and Health Science
(5) MEG MCCANN 1 00,X X 0 0 0,CHAIR 0 00,meg,311778403,202912,Good Samaritan College of Nursing and Health Science
(6) MYRTIS POWELL 1 00,X 0 0 0,TRUSTEE 4 00,myrtis,311778403,202912,Good Samaritan College of Nursing and Health Science
(7) SR JEANNE ROACH 1 00,X 0 0 0,TRUSTEE 0 00,jeanne,311778403,202912,Good Samaritan College of Nursing and Health Science
(8) HAROLD KLINK 1 00,X 0 0 0,TRUSTEE 0 00,harold,311778403,202912,Good Samaritan College of Nursing and Health Science
(9) DONNA NIENABER ESQ 1 00,"X 0 503,646 159,585",SECRETARY 6O 00,donna,311778403,202912,Good Samaritan College of Nursing and Health Science
(10) CRAIG RUCKER 1 00,"X 0 590,695 138,806",TREASURER 6O 00,craig,311778403,202912,Good Samaritan College of Nursing and Health Science
(11) PATRICIA MCMAHON 6O 00,"X 0 119,077 50,708",DEAN OF ACADEMIC AFFAIRS 0 00,patricia,311778403,202912,Good Samaritan College of Nursing and Health Science
(12) MARY KATHMAN 6O 00,"X 0 106,367 33,385",DEAN OF STUDENT/ALUMNI SVC 0 00,mary,311778403,202912,Good Samaritan College of Nursing and Health Science
