line1,line2,line3,key,fein,unitid,institutionname
Barry F Schwartz 1 0,X 0 0,Chair,barry,314379507,203535,Kenyon College
Joseph E Lipscomb 1 0,X 0 0,Vice—Chair,joseph,314379507,203535,Kenyon College
Brackett B Denniston 1 0,X 0 0,Secretary,brackett,314379507,203535,Kenyon College
Richard S Alper 1 0,X 0 0,Trustee,richard,314379507,203535,Kenyon College
The Rt Rev Thomas E Breidenthal 1 0,X 0 0,Trustee,thomas,314379507,203535,Kenyon College
Rose Brintlinger Fealy 1 0,X 0 0,Trustee,rose,314379507,203535,Kenyon College
Steven B Feirson 1 0,X 0 0,Trustee,steven,314379507,203535,Kenyon College
Samuel N Fischer 1 0,X 0 0,Trustee,samuel,314379507,203535,Kenyon College
Donald A Fischman MD 1 0,X 0 0,Trustee,donald,314379507,203535,Kenyon College
Nina P Freedman 1 0,X 0 0,Trustee,nina,314379507,203535,Kenyon College
Judith Gilbert 1 0,X 0 0,Trustee,judith,314379507,203535,Kenyon College
Paul J Goldberger 1 0,X 0 0,Trustee,paul,314379507,203535,Kenyon College
Robert W Goldman 1 0,X 0 0,Trustee,robert,314379507,203535,Kenyon College
Hope C Harrod 1 0,X 0 0,Trustee,hope,314379507,203535,Kenyon College
Aileen C Hefferren 1 0,X 0 0,Trustee,aileen,314379507,203535,Kenyon College
Pamela Feitler Hoehn—Saric 1 0,X 0 0,Trustee,pamela,314379507,203535,Kenyon College
The Rt Rev Mark Hollingsworth Jr 1 0,X 0 0,Trustee,mark,314379507,203535,Kenyon College
Andy H Hull 1 0,X 0 0,Trustee,andy,314379507,203535,Kenyon College
Larry H James 1 0,X 0 0,Trustee,larry,314379507,203535,Kenyon College
Ashley Rowatt Karpinos MD 1 0,X 0 0,Trustee,ashley,314379507,203535,Kenyon College
Victoria Smith McKenZIe 1 0,X 0 0,Trustee,victoria,314379507,203535,Kenyon College
DaVId R Meuse 1 0,X 0 0,Trustee,david,314379507,203535,Kenyon College
Roger Novak 1 0,X 0 0,Trustee,roger,314379507,203535,Kenyon College
James F Parker 1 0,X 0 0,Trustee,james,314379507,203535,Kenyon College
Elaina H Richardson 1 0,X 0 0,Trustee,elaina,314379507,203535,Kenyon College
Alan E Rothenberg 1 0,X 0 0,Trustee,alan,314379507,203535,Kenyon College
R Todd Ruppert 1 0,X 0 0,Trustee,todd,314379507,203535,Kenyon College
Deborah Ratner Salzberg 1 0,X 0 0,Trustee,deborah,314379507,203535,Kenyon College
Pierce E Scranton Jr MD 1 0,X 0 0,Trustee,pierce,314379507,203535,Kenyon College
William T Spitz 1 0,X 0 0,Trustee,william,314379507,203535,Kenyon College
L'Quentus Thomas 1 0,X 0 0,Trustee,thomas,314379507,203535,Kenyon College
DaVId LTrautman 1 0,X 0 0,Trustee,david,314379507,203535,Kenyon College
Geraldine Coleman Tucker 1 0,X 0 0,Trustee,geraldine,314379507,203535,Kenyon College
Charles P Waite Jr 1 0,X 0 0,Trustee,charles,314379507,203535,Kenyon College
Jennifer Rudolph Walsh 1 0,X 0 0,Trustee,jennifer,314379507,203535,Kenyon College
Margaret Tcheng Ware 1 0,X 0 0,Trustee,margaret,314379507,203535,Kenyon College
Bruce D White 1 0,X 0 0,Trustee,bruce,314379507,203535,Kenyon College
Matthew A Winkler 1 0,X 0 0,Trustee,matthew,314379507,203535,Kenyon College
Sean M Decatur 40 0,"X X 166,474 35,661",PreSIdent & Trustee,sean,314379507,203535,Kenyon College
Todd E Burson 40 0,"x 109,160 33,512",Assoc VP Finance,todd,314379507,203535,Kenyon College
Sarah H Kahrl 40 0,"x 361,527 50,524",VP Coll Relations,sarah,314379507,203535,Kenyon College
VP Coll Relations,Joseph L Klesner 40 0,"x 146,463 41,761",coll,314379507,203535,Kenyon College
Joseph L Klesner 40 0,"x 146,463 41,761",Provost,joseph,314379507,203535,Kenyon College
Mark J Kohlman 40 0,"x 148,185 41,884",Chief Bus Officer,mark,314379507,203535,Kenyon College
Kathryn A Lake 40 0,"x 61,561 15,868",Asst Sec to Boa rd,kathryn,314379507,203535,Kenyon College
Asst Sec to Boa rd,Joseph G Nelson 40 0,"x 219,829 93,190",boa,314379507,203535,Kenyon College
Joseph G Nelson 40 0,"x 219,829 93,190",VP Finance,joseph,314379507,203535,Kenyon College
Shirley F O'Brien 40 0,"x 106,927 12,323",Controller,shirley,314379507,203535,Kenyon College
Jennifer Britz 40 0,"x 256,000 39,197",Dean of AdmISSIOnS,jennifer,314379507,203535,Kenyon College
Peter M Rutkoff 40 0,"x 180,245 15,334",Prof Am Studies,peter,314379507,203535,Kenyon College
Howard L Sacks 40 0,"x 167,945 37,100",Prof Sociology,howard,314379507,203535,Kenyon College
Gregory P Spaid 40 0,"X 159,485 0 26,365",Prof of Art,gregory,314379507,203535,Kenyon College
Stephen Archer 40 0,"X 162,175 0 48,977",Director of Investments,stephen,314379507,203535,Kenyon College
DaVId H Lynn 40 0,"x 60,634 103,963 20,986",Editor Kenyon ReVIew,david,314379507,203535,Kenyon College
Editor Kenyon ReVIew,Teri LBlanchard 40 0,"X 117,026 0 30,806",kenyon,314379507,203535,Kenyon College
Teri LBlanchard 40 0,"X 117,026 0 30,806",Former Assoc VP Fin,teri,314379507,203535,Kenyon College
5 Georgia Nugent 40 0,"X 584,321 0 160,855",Former PreSIdent,georgia,314379507,203535,Kenyon College
