line1,line2,line3,key,fein,unitid,institutionname
__(3)_'_r_rie_l\fl9_s_t__lgev. Frederick C_a_r_1-_ipbell,Vice Chancellor 1 Hour / v/ 0 0 0,(3) Monsignor Christopher Schreck,frederick,314379535,205027,Pontifical College Josephinum
(3) Monsignor Christopher Schreck,Rector/President 40+Hours / v/ 56973 0 18599,(4) John Erwin _ __,christopher,314379535,205027,Pontifical College Josephinum
(4) John Erwin _ __,Treasurer 40+Hours / v/ 73918 0 13049,_.(§l_|_-2y_ann Brush.-- .,john,314379535,205027,Pontifical College Josephinum
"""QM/lost Rev. David Chem",1 Hour / 0 0 0,-.(§l.M9§t-R§iL-.R°nald Gainer - ______ --,david,314379535,205027,Pontifical College Josephinum
-.(§l.M9§t-R§iL-.R°nald Gainer - ______ --,1 Hour / o o o,__(9)_s_i_s_ter Mary Sarah Galbraith OP.,gainer,314379535,205027,Pontifical College Josephinum
__(9)_s_i_s_ter Mary Sarah Galbraith OP.,1 Hour 1/ o o o,".(19)_M9§!B§Y:.B°""a'd He'ZOQ",mary,314379535,205027,Pontifical College Josephinum
(12) Mr._ Rick Jeric,1 Hour / 0 0 0,Donna Killoughey _______ _-,rick,314379535,205027,Pontifical College Josephinum
Donna Killoughey _______ _-,1 Hour 1/ 0 0 0,114.)!!!9.5!-Raelsrmkmllpy ........................................ __,donna,314379535,205027,Pontifical College Josephinum
Mon5ignor Kevin McMahon,40+Hours / 60707 0 21000,$1918.91;JsltBjmslspash ........................ -_,kevin,314379535,205027,Pontifical College Josephinum
John Sauer __ ___________________ __,1 Hour / o o o,I161!!!ts-l€aihleen_§9h9smalsgt _____________________________________ __,john,314379535,205027,Pontifical College Josephinum
(21) Most Reverend James Wall _____ __,1 Hour / o o 0,l2?) ........................................................ --,most,314379535,205027,Pontifical College Josephinum
