line1,line2,line3,key,fein,unitid,institutionname
ALICE DACHOWSKI 1 00,X X 0 0 0,VICE—CHAIR,alice,314379537,205203,University of Rio Grande
GARY ROACH 1 00,X X 0 0 0,TREASURER,gary,314379537,205203,University of Rio Grande
JACK FINCH 1 00,X X 0 0 0,BOARD CHAIR,jack,314379537,205203,University of Rio Grande
KAY V ERVIN 1 00,X X 0 0 0,SECRETARY,kay,314379537,205203,University of Rio Grande
BETH EVANS 1 00,X 0 0 0,BOARD MEMBER,beth,314379537,205203,University of Rio Grande
BRENT SAUNDERS 1 00,X 0 0 0,BOARD MEMBER,brent,314379537,205203,University of Rio Grande
CLYDE M EVANS 1 00,X 0 0 0,BOARD MEMBER,clyde,314379537,205203,University of Rio Grande
DANIEL WHITELEY 1 00,X 0 0 0,BOARD MEMBER,daniel,314379537,205203,University of Rio Grande
DAVID WILHELM 1 00,X 0 0 0,BOARD MEMBER,david,314379537,205203,University of Rio Grande
DON WOOD 1 00,X 0 0 0,BOARD MEMBER,don,314379537,205203,University of Rio Grande
JAMES CALDWELL 1 00,X 0 0 0,BOARD MEMBER,james,314379537,205203,University of Rio Grande
JEFFREY E SMITH 1 00,X 0 0 0,BOARD MEMBER,jeffrey,314379537,205203,University of Rio Grande
JOE EULBERG 1 00,X 0 0 0,BOARD MEMBER,joe,314379537,205203,University of Rio Grande
JOHN D KIDD 1 00,X 0 0 0,BOARD MEMBER,john,314379537,205203,University of Rio Grande
LARRY GUGLIELMI 1 00,X 0 0 0,BOARD MEMBER,larry,314379537,205203,University of Rio Grande
MARY PIERCE 1 00,X 0 0 0,BOARD MEMBER,mary,314379537,205203,University of Rio Grande
MATT DOLAN 1 00,X 0 0 0,BOARD MEMBER,matt,314379537,205203,University of Rio Grande
MEL SIMON 1 00,X 0 0 0,BOARD MEMBER,mel,314379537,205203,University of Rio Grande
MICHAEL REARDON 1 00,X 0 0 0,BOARD MEMBER,michael,314379537,205203,University of Rio Grande
NED RIEGEL 1 00,X 0 0 0,BOARD MEMBER,riegel,314379537,205203,University of Rio Grande
PETREA A BROWN 1 00,X 0 0 0,BOARD MEMBER,petrea,314379537,205203,University of Rio Grande
PHILLIP SATTERFIELD 1 00,X 0 0 0,BOARD MEMBER,phillip,314379537,205203,University of Rio Grande
RICHARD LEGRANDE 1 00,X 0 0 0,BOARD MEMBER,richard,314379537,205203,University of Rio Grande
ROBERT FOSTER 1 00,X 0 0 0,BOARD MEMBER,robert,314379537,205203,University of Rio Grande
RONALD GLOVER 1 00,X 0 0 0,BOARD MEMBER,ronald,314379537,205203,University of Rio Grande
STACIE VAUGHN HUTTON 1 00,X 0 0 0,BOARD MEMBER,stacie,314379537,205203,University of Rio Grande
STEVEN CHAPMAN 1 00,X 0 0 0,BOARD MEMBER,steven,314379537,205203,University of Rio Grande
THOMAS DAVISSON 1 00,X 0 0 0,BOARD MEMBER,thomas,314379537,205203,University of Rio Grande
BARBARA GELLMAN—DANLEY 40 00,"X 338,871 0 69,368",PRESIDENT,barbara,314379537,205203,University of Rio Grande
KENNETH PORADA 40 00,"x 70,279 0 13,155",VP ACADEMIC AFFAIRS & PROVOST,kenneth,314379537,205203,University of Rio Grande
PAUL HARRISON 40 00,"X 156,411 0 61,815",EXECUTIVE VICE PRESIDENT,paul,314379537,205203,University of Rio Grande
TIMOTHY PRUETT 40 00,"X 120,720 0 14,714",CHIEF FINANCIAL OFFICER,timothy,314379537,205203,University of Rio Grande
ZAKI SHARIF 40 00,"X 104,928 0 10,637",DEAN SCHOOL OF PROFESSIONAL STUDIES,zaki,314379537,205203,University of Rio Grande
