line1,line2,line3,key,fein,unitid,institutionname
RICHARD MAXWELL 1 00,X X 0 0 0,VICE CHAIR,richard,314379560,204617,Ohio Dominican University
SR JANICE BACHMAN 1 00,X X 0 0 0,TREASURER,janice,314379560,204617,Ohio Dominican University
THOMAS MUELLER 1 00,X X 0 0 0,BOARD CHAIR,thomas,314379560,204617,Ohio Dominican University
ANN T GALLAGHER 1 00,X 0 0 0,TRUSTEE,ann,314379560,204617,Ohio Dominican University
CHARLES GEHRING 1 00,X 0 0 0,TRUSTEE,charles,314379560,204617,Ohio Dominican University
DR STERLING HEDRICK 1 00,X 0 0 0,TRUSTEE,sterling,314379560,204617,Ohio Dominican University
GUY REECE II 1 00,X 0 0 0,TRUSTEE,guy,314379560,204617,Ohio Dominican University
JAMES YUSKEWICH 1 00,X 0 0 0,TRUSTEE,james,314379560,204617,Ohio Dominican University
JOHN F KELLEY III 1 00,X 0 0 0,TRUSTEE,john,314379560,204617,Ohio Dominican University
JONATHAN BEARD 1 00,X 0 0 0,TRUSTEE,jonathan,314379560,204617,Ohio Dominican University
JONATHAN MICHAEL 1 00,X 0 0 0,TRUSTEE,jonathan,314379560,204617,Ohio Dominican University
KAREN 5 DAYS 1 00,X 0 0 0,TRUSTEE,karen,314379560,204617,Ohio Dominican University
MANUEL MARTINEZ PHD 1 00,"x 58,732 0 8,255",TRUSTEE (FACULTY),martinez,314379560,204617,Ohio Dominican University
MARGARET CORBETI' SULLIVAN 1 00,X 0 0 0,TRUSTEE,margaret,314379560,204617,Ohio Dominican University
MARGARET CORBETI' SULLIVAN 1 00,X 0 0 0,TRUSTEE,margaret,314379560,204617,Ohio Dominican University
MARK MILLER 1 00,X 0 0 0,TRUSTEE (STUDENT),mark,314379560,204617,Ohio Dominican University
NANCY RECCHIE 1 00,"X 2,200 0 0",TRUSTEE,nancy,314379560,204617,Ohio Dominican University
PATRICK MCCURDY 1 00,X 0 0 0,TRUSTEE,patrick,314379560,204617,Ohio Dominican University
RALPH BREITFELLER 1 00,X 0 0 0,TRUSTEE,ralph,314379560,204617,Ohio Dominican University
REV FREDERICK F CAMPBELL 1 00,X 0 0 0,TRUSTEE,frederick,314379560,204617,Ohio Dominican University
REV MSGR JOSEPH HENDRICKS 1 00,X 0 0 0,TRUSTEE,joseph,314379560,204617,Ohio Dominican University
ROBERT WEILER 1 00,X 0 0 0,TRUSTEE,robert,314379560,204617,Ohio Dominican University
SR BARBARA RAPP 1 00,X 0 0 0,TRUSTEE,barbara,314379560,204617,Ohio Dominican University
SR BARBARA SULLIVAN 1 00,X 0 0 0,TRUSTEE,barbara,314379560,204617,Ohio Dominican University
SR CATHERINE MAHADY 1 00,X 0 0 0,TRUSTEE,catherine,314379560,204617,Ohio Dominican University
SR JOAN SCANLON 1 00,X 0 0 0,TRUSTEE,joan,314379560,204617,Ohio Dominican University
SR JOANNE CANIGLIA 1 00,X 0 0 0,TRUSTEE,joanne,314379560,204617,Ohio Dominican University
SR KATHLEEN CANNON 1 00,X 0 0 0,TRUSTEE,kathleen,314379560,204617,Ohio Dominican University
SR MARIA CIRIELLO 1 00,X 0 0 0,TRUSTEE,maria,314379560,204617,Ohio Dominican University
SR MARY FAITH GEELAN 1 00,X 0 0 0,TRUSTEE,mary,314379560,204617,Ohio Dominican University
SR MARY FAITH GEELAN OP 1 00,X 0 0 0,TRUSTEE,mary,314379560,204617,Ohio Dominican University
THOMAS WINTERS 1 00,"X 1,500 0 0",TRUSTEE,thomas,314379560,204617,Ohio Dominican University
WILLIAM EBBING 1 00,X 0 0 0,TRUSTEE,william,314379560,204617,Ohio Dominican University
CANDIE LESTER 40 00,"x 63,045 0 8,542",SECRETARY,candie,314379560,204617,Ohio Dominican University
DAVID KOSANOVIC 40 00,"X 158,882 0 22,732",CFO,david,314379560,204617,Ohio Dominican University
PETER CIMBOLIC 40 00,"X 390,118 0 110,269",PRESIDENT,peter,314379560,204617,Ohio Dominican University
FREDERICK LASSITER 40 00,"X 115,357 0 31,067",CIO,frederick,314379560,204617,Ohio Dominican University
MARY ALICE MILLER 40 00,"X 122,593 0 27,858",VICE PRESIDENT ADVANCEMENT,mary,314379560,204617,Ohio Dominican University
RONALD CARSTENs 40 00,"X 108,361 0 26,338",FACULTY,ronald,314379560,204617,Ohio Dominican University
THERESA HOLLERAN 40 00,"X 134,864 0 26,766",VICE PRESIDENT ACADEMIC AFFAIRS,theresa,314379560,204617,Ohio Dominican University
