line1,line2,line3,key,fein,unitid,institutionname
ROBERT L NIEHOFF S] 50 00,X X 0 0 0,PRESIDENT,robert,340714681,203368,John Carroll University
DAVID W SHORT 5 00,X 0 0 0,CHAIR OF THE,david,340714681,203368,John Carroll University
NANCY CUNNINGHAM BENACCI 1 00,X 0 0 0,DIRECTOR,nancy,340714681,203368,John Carroll University
BARBARA BROWN 1 00,X 0 0 0,DIRECTOR,barbara,340714681,203368,John Carroll University
REV MICHAEL P CARUSO SJ 2 75,X 0 0 0,DIRECTOR,michael,340714681,203368,John Carroll University
REV GERALD F CAVANAGH SJ 1 00,X 0 0 0,DIRECTOR,gerald,340714681,203368,John Carroll University
JOAN M CROCKETT 1 00,X 0 0 0,DIRECTOR,joan,340714681,203368,John Carroll University
WILLIAM P DONNELLY 2 75,X 0 0 0,DIRECTOR,william,340714681,203368,John Carroll University
KEVIN J EMBACH S] MD 1 00,X 0 0 0,DIRECTOR,kevin,340714681,203368,John Carroll University
TERRENCE P FERGUS 1 00,X 0 0 0,DIRECTOR,terrence,340714681,203368,John Carroll University
REV JOHN P FITZGIBBONS SJ 1 00,X 0 0 0,DIRECTOR,john,340714681,203368,John Carroll University
REV HOWARD J GRAY SJ 2 75,X 0 0 0,DIRECTOR,howard,340714681,203368,John Carroll University
DR EVELYN JENKINS GUNN 1 00,X 0 0 0,DIRECTOR,evelyn,340714681,203368,John Carroll University
ROBERT A HAGER 2 75,X 0 0 0,DIRECTOR,robert,340714681,203368,John Carroll University
ANNETTE L HAILE 1 00,X 0 0 0,DIRECTOR,annette,340714681,203368,John Carroll University
GENERAL CARTER F HAM 1 00,X 0 0 0,DIRECTOR,carter,340714681,203368,John Carroll University
HOWARD W HODDY HANNA III 1 50,X 0 0 0,DIRECTOR,howard,340714681,203368,John Carroll University
MICHAEL L HARDY 1 00,X 0 0 0,DIRECTOR,michael,340714681,203368,John Carroll University
HAROLD F HAWK JR 1 25,X 0 0 0,DIRECTOR,harold,340714681,203368,John Carroll University
ROBERT E HELTZELJR 2 00,X 0 0 0,DIRECTOR,robert,340714681,203368,John Carroll University
ROBERT W HOSTOFFER DO 1 00,X 0 0 0,DIRECTOR,robert,340714681,203368,John Carroll University
WILLIAM E KAHL 1 00,X 0 0 0,DIRECTOR,william,340714681,203368,John Carroll University
RICHARD] KRAMER 1 00,X 0 0 0,DIRECTOR,kramer,340714681,203368,John Carroll University
TERESA K LEWANDOWSKI 1 00,X 0 0 0,DIRECTOR,teresa,340714681,203368,John Carroll University
THOMAS B LEWIS 2 00,X 0 0 0,DIRECTOR,thomas,340714681,203368,John Carroll University
RICHARD E MAROUN 1 00,X 0 0 0,DIRECTOR,richard,340714681,203368,John Carroll University
JAMES M MYERS 1 00,X 0 0 0,DIRECTOR,james,340714681,203368,John Carroll University
DAVID M O'BRIEN 1 00,X 0 0 0,DIRECTOR,david,340714681,203368,John Carroll University
GERALD F O'CONNELL 3 00,X 0 0 0,DIRECTOR,gerald,340714681,203368,John Carroll University
MICHAEL B PETRAS JR 1 00,X 0 0 0,DIRECTOR,michael,340714681,203368,John Carroll University
ARCHBISHOP PATRICK C PINDER 1 00,X 0 0 0,DIRECTOR,patrick,340714681,203368,John Carroll University
BARBARA S SCHUBERT 1 50,X 0 0 0,DIRECTOR,barbara,340714681,203368,John Carroll University
REV MICHAEL JL SHEERAN SJ 2 00,X 0 0 0,DIRECTOR,michael,340714681,203368,John Carroll University
RAYMOND E SMILEY 1 25,X 0 0 0,DIRECTOR,raymond,340714681,203368,John Carroll University
REV LORN J SNOW SJ 1 00,X 0 0 0,DIRECTOR,snow,340714681,203368,John Carroll University
TERRANCE C SULLIVAN 1 00,X 0 0 0,DIRECTOR,terrance,340714681,203368,John Carroll University
STEPHEN M TODD 1 00,X 0 0 0,DIRECTOR,stephen,340714681,203368,John Carroll University
JOHN O WINCHESTER 1 00,X 0 0 0,DIRECTOR,john,340714681,203368,John Carroll University
DOREEN K RILEY 50 00,"X 214,662 0 30,959",VP ADVANCEME,doreen,340714681,203368,John Carroll University
JOHN T DAY 50 00,"X 207,999 0 30,745",ACADEMIC VP,john,340714681,203368,John Carroll University
RICHARD F MAUSSER 50 00,"X 181,731 0 83,884",VP FINANCE/T,richard,340714681,203368,John Carroll University
JONATHAN E SMITH 50 00,"X 150,417 0 18,471",VP/EXEC ASST,jonathan,340714681,203368,John Carroll University
MARK D MCCARTHY 50 00,"X 147,273 0 24,410",VP STUDENT A,mark,340714681,203368,John Carroll University
BRIAN G WILLIAMS 50 00,"X 140,194 0 32,076",VP FOR ENROL,brian,340714681,203368,John Carroll University
PAULV MURPHY 50 00,"X 109,379 0 30,714",VP MISSION/I,murphy,340714681,203368,John Carroll University
JEROME DESANTO 50 00,X 0 0 0,EXECUTIVE VI,jerome,340714681,203368,John Carroll University
EXECUTIVE VI,KAREN SCHUELE 50 00,"X 192,561 0 68,022",vi,340714681,203368,John Carroll University
KAREN SCHUELE 50 00,"X 192,561 0 68,022",DEAN,karen,340714681,203368,John Carroll University
ROBERT BLOOM 40 00,"X 182,440 0 18,009",PROFESSOR,robert,340714681,203368,John Carroll University
LEROY BROOKS 40 00,"X 166,391 0 28,072",PROFESSOR,leroy,340714681,203368,John Carroll University
ALBERT NAGY 40 00,"X 165,912 0 32,917",PROFESSOR,albert,340714681,203368,John Carroll University
MICHAEL BESTUL 40 00,"X 152,570 0 59,195",CIO (TECHNOL,michael,340714681,203368,John Carroll University
PAULR MURPHY 40 00,"X 151,096 0 22,593",PROFESSOR,murphy,340714681,203368,John Carroll University
