line1,line2,line3,key,fein,unitid,institutionname
GARRY ANDERSON 1 0,X 0 0 0,TRUSTEE,garry,340737794,203775,Malone University
STANLEY ANDERSON 1 0,X 0 0 0,TRUSTEE,stanley,340737794,203775,Malone University
MARK BENEDICT 1 0,X 0 0 0,TRUSTEE,mark,340737794,203775,Malone University
DANIEL CALE 1 0,X 0 0 0,TRUSTEE,daniel,340737794,203775,Malone University
JAMES CHARMLEY 1 0,X 0 0 0,TRUSTEE,james,340737794,203775,Malone University
H DAVID BRANDT 1 0,X 0 0 0,TRUSTEE,david,340737794,203775,Malone University
THOMAS CRAWFORD 1 0,X 0 0 0,TRUSTEE,thomas,340737794,203775,Malone University
CECILE FRANSMAN 1 0,X 0 0 0,TRUSTEE,cecile,340737794,203775,Malone University
SHU—LING SHARON KAO—HUANG 1 0,X 0 0 0,TRUSTEE,sharon,340737794,203775,Malone University
DANIEL KORMAN 1 0,X 0 0 0,TRUSTEE,daniel,340737794,203775,Malone University
MICHAEL MAY 1 0,X 0 0 0,TRUSTEE,michael,340737794,203775,Malone University
DARLEEN M055 1 0,X 0 0 0,TRUSTEE,darleen,340737794,203775,Malone University
FRANK RAYMOND 1 0,X 0 0 0,TRUSTEE,frank,340737794,203775,Malone University
GERALD SMELTZER 1 0,X 0 0 0,TRUSTEE,gerald,340737794,203775,Malone University
GEORGE SUTTON 1 0,X 0 0 0,TRUSTEE,george,340737794,203775,Malone University
WILLIAM THORLA 1 0,X 0 0 0,TRUSTEE,william,340737794,203775,Malone University
JOHN WILLIAMS JR 1 0,X 0 0 0,TRUSTEE,john,340737794,203775,Malone University
DAVID LINTON 1 0,X 0 0 0,TRUSTEE,david,340737794,203775,Malone University
RHONDA MITCHELL 1 0,X 0 0 0,TRUSTEE,rhonda,340737794,203775,Malone University
RODNEY NEUENSCHWANDER 1 0,X 0 0 0,TRUSTEE,rodney,340737794,203775,Malone University
ROBERT WAFULA 1 0,X 0 0 0,TRUSTEE,robert,340737794,203775,Malone University
DAVID RAWSON 1 0,X 0 0 0,TRUSTEE,david,340737794,203775,Malone University
RB HOLMES JR 1 0,X 0 0 0,TRUSTEE,holmes,340737794,203775,Malone University
BRENDA SMITH 1 0,X 0 0 0,TRUSTEE,brenda,340737794,203775,Malone University
DANIEL LAHAIE 1 0,X 0 0 0,TRUSTEE,daniel,340737794,203775,Malone University
LYNN PIERCE 1 0,X 0 0 0,TRUSTEE,lynn,340737794,203775,Malone University
MARK ROSE 1 0,X 0 0 0,TRUSTEE,mark,340737794,203775,Malone University
MERVIN YODER 1 0,X 0 0 0,TRUSTEE,mervin,340737794,203775,Malone University
WAYNE EVANS 1 0,X 0 0 0,TRUSTEE,wayne,340737794,203775,Malone University
WAYNE ICKES 1 0,X 0 0 0,TRUSTEE,wayne,340737794,203775,Malone University
DAVID MURRAY 1 0,X 0 0 0,TRUSTEE,david,340737794,203775,Malone University
DR CHRISTOPHER ABRAMS 50 0,"x 99,700 0 20,784",VP FOR STUDENT AFFAIRS,christopher,340737794,203775,Malone University
HOWARD TAYLOR 50 0,"X 141,009 0 22,944",VP OF ADVANCEMENT,howard,340737794,203775,Malone University
JOY BRATHWAITE 50 0,"X 121,800 0 22,228",VP FOR FINANCE & BUS AFFAIRS,joy,340737794,203775,Malone University
DR DONALD TUCKER 50 0,"X 124,800 0 22,468",PROVOST,donald,340737794,203775,Malone University
DR DAVID KING 50 0,"X 198,699 0 41,028",PRESIDENT,david,340737794,203775,Malone University
STEPHEN WEINGART 50 0,"x 89,900 0 4,721",VP ADVANCEMENT,stephen,340737794,203775,Malone University
