line1,line2,line3,key,fein,unitid,institutionname
MR RICK JAMES 1 0,X 0 0,BOARD CHAIR,rick,350715530,414878,Trine University-Regional/Non-Traditional Campuses
MR JACK SHAW 1 0,X 0 0,BOARD VICE—CHAIR,jack,350715530,414878,Trine University-Regional/Non-Traditional Campuses
DR RALPH TRINE 1 0,X 0 0,BOARD SECRETARY,ralph,350715530,414878,Trine University-Regional/Non-Traditional Campuses
DR JERRY ALLEN 1 0,X 0 0,BOARD MEMBER,jerry,350715530,414878,Trine University-Regional/Non-Traditional Campuses
MR JAMES BOCK 1 0,X 0 0,BOARD MEMBER,james,350715530,414878,Trine University-Regional/Non-Traditional Campuses
MR LYNN BROOKS 1 0,X 0 0,BOARD MEMBER,lynn,350715530,414878,Trine University-Regional/Non-Traditional Campuses
DR KEITH BUSSE 1 0,X 0 0,BOARD MEMBER,keith,350715530,414878,Trine University-Regional/Non-Traditional Campuses
MR JAMES FABIANI 1 0,X 0 0,BOARD MEMBER,james,350715530,414878,Trine University-Regional/Non-Traditional Campuses
DR LAWRENCE FRANKS 1 0,X 0 0,BOARD MEMBER,lawrence,350715530,414878,Trine University-Regional/Non-Traditional Campuses
DR TOMAS FURTH 1 0,X 0 0,BOARD MEMBER,tomas,350715530,414878,Trine University-Regional/Non-Traditional Campuses
DR WILLIAM GETTIG 1 0,X 0 0,BOARD MEMBER,william,350715530,414878,Trine University-Regional/Non-Traditional Campuses
DR JOHN HESTER 1 0,X 0 0,BOARD MEMBER,john,350715530,414878,Trine University-Regional/Non-Traditional Campuses
MR LOUIS HOLTZ 1 0,X 0 0,BOARD MEMBER,louis,350715530,414878,Trine University-Regional/Non-Traditional Campuses
MR DENNIS KRUSE 1 0,X 0 0,BOARD MEMBER,dennis,350715530,414878,Trine University-Regional/Non-Traditional Campuses
MR STEPHEN LAHOOD 1 0,X 0 0,BOARD MEMBER,stephen,350715530,414878,Trine University-Regional/Non-Traditional Campuses
MR LARRY LEE 1 0,X 0 0,BOARD MEMBER,larry,350715530,414878,Trine University-Regional/Non-Traditional Campuses
DR ALAN MCGEE MD 1 0,X 0 0,BOARD MEMBER,alan,350715530,414878,Trine University-Regional/Non-Traditional Campuses
MR MIKE MCKE‘I'I'A III 1 0,X 0 0,BOARD MEMBER,mike,350715530,414878,Trine University-Regional/Non-Traditional Campuses
MR RICHARD OEDER 1 0,X 0 0,BOARD MEMBER,richard,350715530,414878,Trine University-Regional/Non-Traditional Campuses
DR JOHN PITI'MAN 1 0,X 0 0,BOARD MEMBER,john,350715530,414878,Trine University-Regional/Non-Traditional Campuses
MR LARRY REINERS 1 0,X 0 0,BOARD MEMBER,larry,350715530,414878,Trine University-Regional/Non-Traditional Campuses
MR MITCHEL RHOADS 1 0,X 0 0,BOARD MEMBER,mitchel,350715530,414878,Trine University-Regional/Non-Traditional Campuses
MR IAN ROLLAND 1 0,X 0 0,BOARD MEMBER,ian,350715530,414878,Trine University-Regional/Non-Traditional Campuses
MR CLIFFORD RYAN 1 0,X 0 0,BOARD MEMBER,clifford,350715530,414878,Trine University-Regional/Non-Traditional Campuses
MR WAYNE SHIVE 1 0,X 0 0,BOARD MEMBER,wayne,350715530,414878,Trine University-Regional/Non-Traditional Campuses
DR SHERI TRINE 1 0,X 0 0 0,BOARD MEMBER,sheri,350715530,414878,Trine University-Regional/Non-Traditional Campuses
MS THERESA WAGLER 1 0,X 0 0 0,BOARD MEMBER,theresa,350715530,414878,Trine University-Regional/Non-Traditional Campuses
R WYATT WEAVER JR MD 1 0,X 0 0 0,BOARD MEMBER,wyatt,350715530,414878,Trine University-Regional/Non-Traditional Campuses
DR EARL D BROOKS II 40 0,"X 462,032 0 68,983",PRESIDENT,earl,350715530,414878,Trine University-Regional/Non-Traditional Campuses
MR MICHAEL BOCK 40 0,"X 123,795 0 15,475",SR VICE PRESIDENT,michael,350715530,414878,Trine University-Regional/Non-Traditional Campuses
MR JOHN SHANNON 40 0,"X 107,427 0 17,316",VP ACADEMIC AFFAIRS,john,350715530,414878,Trine University-Regional/Non-Traditional Campuses
MRS JODY GREER 40 0,"x 96,304 0 18,256",VP FINANCE,jody,350715530,414878,Trine University-Regional/Non-Traditional Campuses
MR KENT STUCKY 40 0,"X 134,904 0 22,282",V P FOR DEVELOPMENT,kent,350715530,414878,Trine University-Regional/Non-Traditional Campuses
DR MAX BAUMGARTNER 40 0,"X 108,454 0 18,214","DEAN, SCHOOL OF HEALTH SCIENCE",max,350715530,414878,Trine University-Regional/Non-Traditional Campuses
DR JOHN WAGNER 40 0,"X 107,244 0 13,220","CHAIR, CHEM & BIOPROCESS ENG",john,350715530,414878,Trine University-Regional/Non-Traditional Campuses
"CHAIR, CHEM & BIOPROCESS ENG",VINROD SHARMA 40 0,"X 123,579 0 14,553",eng,350715530,414878,Trine University-Regional/Non-Traditional Campuses
VINROD SHARMA 40 0,"X 123,579 0 14,553",DEAN — SCHOOL OF ENGINEERING,sharma,350715530,414878,Trine University-Regional/Non-Traditional Campuses
DR JEAN DELLER 40 0,"X 102,967 0 13,791",ASST V P PROGRAM DEVELOPMENT,jean,350715530,414878,Trine University-Regional/Non-Traditional Campuses
