line1,line2,line3,key,fein,unitid,institutionname
(1) ARTHUR E SNYDER 45 0,"X X 398,477 0 77,152",PRESIDENT,arthur,350845258,151290,Indiana Institute of Technology
(2) ROBERT A WAGNER 1 0,X X 0 0 0,TRUSTEE,robert,350845258,151290,Indiana Institute of Technology
(3) JEANNE E LONGSWORTH 1 0,X 0 0 0,TRUSTEE,jeanne,350845258,151290,Indiana Institute of Technology
(4) CHERI A BECKER 1 0,X 0 0 0,TRUSTEE,cheri,350845258,151290,Indiana Institute of Technology
(5) JANET C CHRZAN 1 0,X X 0 0 0,TRUSTEE,janet,350845258,151290,Indiana Institute of Technology
(6) JEFFREY LWALLS 45 0,"X 120,056 0 35,474",FACULTY REPRESENTATIVE,jeffrey,350845258,151290,Indiana Institute of Technology
(7) H ROBERT GILL 1 0,X 0 0 0,TRUSTEE,robert,350845258,151290,Indiana Institute of Technology
(8) DIANE S HUMPHREY 1 0,X 0 0 0,TRUSTEE,diane,350845258,151290,Indiana Institute of Technology
(9) ERIC] JENKINSON 1 0,X 0 0 0,TRUSTEE,jenkinson,350845258,151290,Indiana Institute of Technology
(10) GREGG C SENGSTACK 1 0,X 0 0 0,SECRETARY,gregg,350845258,151290,Indiana Institute of Technology
(11) NICOLE R TURNER—RIDLEY 1 0,X 0 0 0,TRUSTEE,nicole,350845258,151290,Indiana Institute of Technology
(13) MICHAEL H WOOD 1 0,X 0 0 0,TRUSTEE,michael,350845258,151290,Indiana Institute of Technology
(14) MICHAEL BROWNING 1 0,X 0 0 0,TRUSTEE,michael,350845258,151290,Indiana Institute of Technology
(15) RICHARD SCHUL 1 0,X 0 0 0,TRUSTEE,richard,350845258,151290,Indiana Institute of Technology
(16) TERRY VAN DAELE 1 0,X 0 0 0,ALUMNI REPRESENTATIVE,terry,350845258,151290,Indiana Institute of Technology
(17) PAUL CHODAK 1 0,X 0 0 0,TRUSTEE,paul,350845258,151290,Indiana Institute of Technology
(18) JUDY K ROY 45 0,"X 162,030 0 38,760",TREASURER,judy,350845258,151290,Indiana Institute of Technology
(19) PETER ALEXANDER 45 0,"X 258,044 0 40,914",DEAN — LAW SCHOOL,peter,350845258,151290,Indiana Institute of Technology
(20) ANDRE DOUGLAS CUMMINGS 45 0,"X 168,721 0 35,724",INTERIM DEAN — LAW SCHOOL,andre,350845258,151290,Indiana Institute of Technology
(21) MARK H RICHTER 45 0,"X 136,416 0 40,925",VP — SPECIAL PROJECTS,mark,350845258,151290,Indiana Institute of Technology
(22) STEPHEN P DUSSEAU 45 0,"X 144,478 0 43,343",PROFESSOR,stephen,350845258,151290,Indiana Institute of Technology
(23) VICTORIA DUKE—DAWSON 45 0,"X 133,140 0 39,942",PROFESSOR,victoria,350845258,151290,Indiana Institute of Technology
(24) STEVEN HERENDEEN 45 0,"X 132,097 0 39,629",VP — ENROLLMENT MANAGEMENT,steven,350845258,151290,Indiana Institute of Technology
(25) GUADALUPE LUNA 45 0,"X 141,706 0 42,512",INTERIM AD — LAW SCHOOL,guadalupe,350845258,151290,Indiana Institute of Technology
"FERGUSON ADVERTISING, 347 WEST BERRY FORT WAYNE IN 46802 ADVERTISING 1,872,857","SECURITAS SECURITY SERVICES USA INC, 2 CAMPUS DRIVE PAPISPPANY NH 07054 SECURITY SERVICES 429,589","JENZABAR INC, 101 HUNTINGTON AVE SUITE 2200 BOSTON MA 02199 SOFTWARE SUPPORT 270,194",ferguson,350845258,151290,Indiana Institute of Technology
"JENZABAR INC, 101 HUNTINGTON AVE SUITE 2200 BOSTON MA 02199 SOFTWARE SUPPORT 270,194","BARKER EDUCATIONAL SERVICES LLC, 309 W ELLIOT RD TEMPE AZ 85284 STUDENT RECRUITING 232,664","STUDENT RECRUITING 129,100",huntington,350845258,151290,Indiana Institute of Technology
