line1,line2,line3,key,fein,unitid,institutionname
JAMES L EDWARDS 40 00,"X X 188,206 0 52,134",PRESIDENT,james,350867954,150066,Anderson University
D KYLE DE FUR 1 00,X 0 0 0,TRUSTEE,kyle,350867954,150066,Anderson University
DALE M FONTENOT 1 00,X 0 0 0,TRUSTEE,dale,350867954,150066,Anderson University
DANIEL COURTNEY 1 00,X 0 0 0,TRUSTEE,daniel,350867954,150066,Anderson University
DAVID E COX 1 00,X 0 0 0,TRUSTEE,david,350867954,150066,Anderson University
DAVID E MARKLE 1 00,X 0 0 0,TRUSTEE,david,350867954,150066,Anderson University
DENNIS D CARROLL 1 00,X 0 0 0,"TRUSTEE, VICE CHAIR",dennis,350867954,150066,Anderson University
DIANA L SWOOPE 1 00,X 0 0 0,TRUSTEE,diana,350867954,150066,Anderson University
JAMES R COOK 1 00,X 0 0 0,TRUSTEE,james,350867954,150066,Anderson University
JAMES W GIESLER 1 00,X 0 0 0,TRUSTEE,james,350867954,150066,Anderson University
JAYNE A GRANDISON 1 00,X 0 0 0,TRUSTEE,jayne,350867954,150066,Anderson University
KAY J CONFER 1 00,X 0 0 0,TRUSTEE,kay,350867954,150066,Anderson University
KERRY B ROBINSON 1 00,X 0 0 0,TRUSTEE,kerry,350867954,150066,Anderson University
KEVIN W EARLEY 1 00,X 0 0 0,TRUSTEE,kevin,350867954,150066,Anderson University
KIMBERLY JOHNSON 1 00,X 0 0 0,TRUSTEE,kimberly,350867954,150066,Anderson University
LARRY J LILLY 1 00,X 0 0 0,TRUSTEE,larry,350867954,150066,Anderson University
LAURA PIRES—HESTER 1 00,X 0 0 0,TRUSTEE,laura,350867954,150066,Anderson University
LLOYD SCHNUCK JR 1 00,X 0 0 0,TRUSTEE,lloyd,350867954,150066,Anderson University
LOIS SETTLEMEYER 1 00,X 0 0 0,TRUSTEE,lois,350867954,150066,Anderson University
LOUIS E GERIG 1 00,X 0 0 0,"TRUSTEE, CHAIR",louis,350867954,150066,Anderson University
MARTIN D GRUBBS 1 00,X 0 0 0,TRUSTEE,martin,350867954,150066,Anderson University
PAT SEASOR BAILEY 1 00,X 0 0 0,TRUSTEE,pat,350867954,150066,Anderson University
RALPH E WELTON 1 00,X 0 0 0,TRUSTEE,ralph,350867954,150066,Anderson University
RAYMOND CHIN 1 00,X 0 0 0,TRUSTEE,raymond,350867954,150066,Anderson University
RODNEY STAFFORD 1 00,X 0 0 0,TRUSTEE,rodney,350867954,150066,Anderson University
SANDI PATTY PESLIS 1 00,X 0 0 0,TRUSTEE,sandi,350867954,150066,Anderson University
STEVE LEWIS 1 00,X 0 0 0,TRUSTEE,steve,350867954,150066,Anderson University
THOMAS SCOTT 1 00,X 0 0 0,TRUSTEE,thomas,350867954,150066,Anderson University
THOMAS W BATES 1 00,X 0 0 0,TRUSTEE,thomas,350867954,150066,Anderson University
VERNON K SMITH 1 00,X 0 0 0,TRUSTEE,vernon,350867954,150066,Anderson University
WILLIAM J GAlTHER 1 00,X 0 0 0,TRUSTEE,william,350867954,150066,Anderson University
DANA S STUART 40 00,"x 94,367 0 17,777",VICE PRESIDENT FOR FINANCE AND TREASURER,dana,350867954,150066,Anderson University
DAVID L SEBASTIAN 40 00,"x 57,224 0 62,166",DEAN OF THE SCHOOL OF THEOLOGY,david,350867954,150066,Anderson University
MARIE S MORRIS 40 00,"X 119,514 0 46,262",PROVOST AND VICE PRESIDENT OF CORPORATION,marie,350867954,150066,Anderson University
ROBERT L COFFMAN 40 00,VICE PRESIDENT FOR ADVANCEMENT AND SECRETARY X 101’368 0 10’967,FOR CORPORATION,robert,350867954,150066,Anderson University
RONDA REEMER 40 00,"x 42,078 0 2,149",EXECUTIVE ASSISTANT TO THE PRESIDENT,ronda,350867954,150066,Anderson University
VANESSA TIJERINA 40 00,"x 59,447 0 11,730",ASSISTANT TREASURER AND CONTROLLER,vanessa,350867954,150066,Anderson University
CHARLES E STALEY 14 00,"x 40,000 76,280 38,586",SPECIAL ASST PRESIDENT,charles,350867954,150066,Anderson University
