line1,line2,line3,key,fein,unitid,institutionname
CHRISTINE FIELDS 2 00,X X 0 0 0,CHAIR OF THE BOARD,christine,350868086,150604,Franklin College
DEVIN ANDERSON 2 00,X X 0 0 0,VICE CHAIR,devin,350868086,150604,Franklin College
JAMES DUE 2 00,X X 0 0 0,VICE CHAIR,james,350868086,150604,Franklin College
JAMES NAPOLITAN 2 00,X X 0 0 0,VICE CHAIR,james,350868086,150604,Franklin College
JOHN AULD JR 2 00,X X 0 0 0,VICE CHAIR,john,350868086,150604,Franklin College
PETER CANGANY 2 00,X X 0 0 0,VICE CHAIR,peter,350868086,150604,Franklin College
ROBERT DEVOSS 2 00,X X 0 0 0,VICE CHAIR,robert,350868086,150604,Franklin College
ROBERT SCHAFSTALL 2 00,X X 0 0 0,TREASURER,robert,350868086,150604,Franklin College
STEPHEN HUDDLESTON 2 00,"X X 1,950 0 0",SECRETARY,stephen,350868086,150604,Franklin College
SUSAN WILLIAMS 2 00,X X 0 0 0,VICE CHAIR,susan,350868086,150604,Franklin College
THERESSA WRIGHT 2 00,X X 0 0 0,VICE CHAIR,theressa,350868086,150604,Franklin College
WILLIAM BROWN 2 00,X X 0 0 0,VICE CHAIR,william,350868086,150604,Franklin College
WILLIAM RECEVEUR III 2 00,X X 0 0 0,VICE CHAIR,william,350868086,150604,Franklin College
CAROL TUMEY 2 00,"X 1,625 0 0",TRUSTEE,carol,350868086,150604,Franklin College
CONSTANCE VAN VALER 2 00,X 0 0 0,TRUSTEE,constance,350868086,150604,Franklin College
DAN THOMASSON 2 00,X 0 0 0,TRUSTEE,dan,350868086,150604,Franklin College
DANIEL HANN 2 00,X 0 0 0,TRUSTEE,daniel,350868086,150604,Franklin College
DEAN ABPLANALP 2 00,X 0 0 0,TRUSTEE,abplanalp,350868086,150604,Franklin College
DEBORAH DAVIS 2 00,X 0 0 0,TRUSTEE (PARTIAL YEAR),deborah,350868086,150604,Franklin College
DOUGLAS TILLMAN 2 00,X 0 0 0,TRUSTEE,douglas,350868086,150604,Franklin College
JACK LAUGLE 2 00,X 0 0 0,TRUSTEE,jack,350868086,150604,Franklin College
JAMES FRISCHE 2 00,X 0 0 0,TRUSTEE,james,350868086,150604,Franklin College
JANE REPP 2 00,X 0 0 0,TRUSTEE,jane,350868086,150604,Franklin College
JEFFERY HOLT 2 00,X 0 0 0,TRUSTEE,jeffery,350868086,150604,Franklin College
JOHN CHIAROTTI 2 00,X 0 0 0,TRUSTEE,john,350868086,150604,Franklin College
JOHN DICKERSON 2 00,X 0 0 0,TRUSTEE,john,350868086,150604,Franklin College
JOHN TALLEY 2 00,X 0 0 0,TRUSTEE,john,350868086,150604,Franklin College
KATHARINE KRUSE 2 00,X 0 0 0,TRUSTEE,katharine,350868086,150604,Franklin College
MARK HARRISON 2 00,X 0 0 0,TRUSTEE,mark,350868086,150604,Franklin College
MARY ANN COLLIER 2 00,X 0 0 0,TRUSTEE,mary,350868086,150604,Franklin College
MICHAEL O'DELL 2 00,X 0 0 0,TRUSTEE,michael,350868086,150604,Franklin College
PAMELA HICKS 2 00,X 0 0 0,TRUSTEE (PARTIAL YEAR),pamela,350868086,150604,Franklin College
PHILIP POWELL 2 00,X 0 0 0,TRUSTEE,philip,350868086,150604,Franklin College
R MARTIN UMBARGER 2 00,X 0 0 0,TRUSTEE,martin,350868086,150604,Franklin College
RAFAEL SANCHEZ JR 2 00,X 0 0 0,TRUSTEE,rafael,350868086,150604,Franklin College
ROBERT BROWN 2 00,X 0 0 0,TRUSTEE,robert,350868086,150604,Franklin College
SCOTT GUDEMAN 2 00,X 0 0 0,TRUSTEE,scott,350868086,150604,Franklin College
SUSAN DEVOSS 2 00,X 0 0 0,TRUSTEE,susan,350868086,150604,Franklin College
V VON BOLL 2 00,X 0 0 0,TRUSTEE,von,350868086,150604,Franklin College
WORTHE HOLT JR 2 00,X 0 0 0,TRUSTEE,holt,350868086,150604,Franklin College
ALAN HILL 40 00,"X 145,625 0 41,525",VICE PRESIDENT FOR ENROLLMENT & MARKETING,alan,350868086,150604,Franklin College
DANIEL SCHLUGE 40 00,"x 131,852 0 2,575",VICE PRESIDENT FOR BUSINESS & FINANCE,daniel,350868086,150604,Franklin College
DAVID BRAILOW 40 00,"X 128,500 0 36,031",VICE PRESIDENT FOR ACADEMIC AFFAIRS,david,350868086,150604,Franklin College
GAIL LOWRY 40 00,"X 131,893 0 22,873",VICE PRESIDENT FOR INSTITUTIONAL ADVANCEMENT,gail,350868086,150604,Franklin College
JAMES MOSELEY 40 00,"X 263,606 0 75,473",PRESIDENT,james,350868086,150604,Franklin College
LISA FEARS 40 00,"X 107,500 0 20,144","VICE PRESIDENT FOR PLANNING, PLANT & TECHNOLOGY",lisa,350868086,150604,Franklin College
"VICE PRESIDENT FOR PLANNING, PLANT & TECHNOLOGY",ELLIS HALL 40 00,"X 110,200 0 21,239",plant,350868086,150604,Franklin College
ELLIS HALL 40 00,"X 110,200 0 21,239",DEAN OF STUDENTS,ellis,350868086,150604,Franklin College
TIM GARNER 40 00,ASSOCIATE VICE PRESIDENT OF ACADEMIC AFFAIRS & X 112’300 0 15’671,INSTITUTIONAL ENGAGEMENT,tim,350868086,150604,Franklin College
