line1,line2,line3,key,fein,unitid,institutionname
SUE DEWINE 50 0,"X X 296,962 30,984",PRESIDENT,sue,350868096,150756,Hanover College
JAMES R DODSON 1 0,X 0,BOARD MEMBER,james,350868096,150756,Hanover College
GARY B MONTGOMERY 1 0,X 0,BOARD MEMBER,gary,350868096,150756,Hanover College
KENNETH LGLADISH 1 0,X 0,BOARD MEMBER,kenneth,350868096,150756,Hanover College
RICHARD L HALL 1 0,X 0,BOARD MEMBER,richard,350868096,150756,Hanover College
MARK A LEVETI' 1 0,X X 0,VICE CHAIRMAN,mark,350868096,150756,Hanover College
MARK WILLIAMS 1 0,X 0,BOARD MEMBER,mark,350868096,150756,Hanover College
ROBERT F MUHLHAUSER JR 1 0,X 0,BOARD MEMBER,robert,350868096,150756,Hanover College
PHILLIP D SCOTT 1 0,X X 0,CHAIRMAN,phillip,350868096,150756,Hanover College
WILLIAM SHREWSBERRY JR 1 0,X 0,BOARD MEMBER,william,350868096,150756,Hanover College
JAMES B STURGES 1 0,X 0,BOARD MEMBER,james,350868096,150756,Hanover College
JOHN C TRIMBLE 1 0,X 0,BOARD MEMBER,john,350868096,150756,Hanover College
PATRICIA STOCKTON HAGENAH 1 0,X 0,BOARD MEMBER,patricia,350868096,150756,Hanover College
REETA HEM GUPTA BRENDAMOUR 1 0,X 0,BOARD MEMBER,hem,350868096,150756,Hanover College
DR CAROL GODFREY GREEN 1 0,X 0,BOARD MEMBER,carol,350868096,150756,Hanover College
BRENDA IGO TOWNES MD 1 0,X 0,BOARD MEMBER,brenda,350868096,150756,Hanover College
JAMES K WARD 1 0,X 0,BOARD MEMBER,james,350868096,150756,Hanover College
MATT FORRESTER 1 0,X 0,BOARD MEMBER,matt,350868096,150756,Hanover College
MARK GABRIEL 1 0,X 0,BOARD MEMBER,mark,350868096,150756,Hanover College
DR KRISTINE RECTOR GLEASON 1 0,X 0,BOARD MEMBER,kristine,350868096,150756,Hanover College
J JOSEPH HALE JR 1 0,X 0,BOARD MEMBER,joseph,350868096,150756,Hanover College
ROSS HUBBARD 1 0,X 0,BOARD MEMBER,ross,350868096,150756,Hanover College
VERONICA WITI' MARTIN 1 0,X 0,BOARD MEMBER,veronica,350868096,150756,Hanover College
JAMES L CHIP PEASE 1 0,X 0,BOARD MEMBER,james,350868096,150756,Hanover College
RICHARD A SHEARER 1 0,X 0,BOARD MEMBER,richard,350868096,150756,Hanover College
STEPHEN K SMITH 1 0,X 0 0 0,BOARD MEMBER,stephen,350868096,150756,Hanover College
MICHAEL B ZEDDIES 1 0,X 0 0 0,BOARD MEMBER,michael,350868096,150756,Hanover College
CHRIS WELKER 1 0,X 0 0 0,BOARD MEMBER,chris,350868096,150756,Hanover College
J BARTON LUEDEKE PHD 1 0,X 0 0 0,BOARD MEMBER,barton,350868096,150756,Hanover College
REVEREND LJOHN GABLE 1 0,X 0 0 0,BOARD MEMBER,gable,350868096,150756,Hanover College
JAMES R GAUNT 1 0,X 0 0 0,BOARD MEMBER,james,350868096,150756,Hanover College
GEOFFREY R LORENZ 1 0,X 0 0 0,BOARD MEMBER,geoffrey,350868096,150756,Hanover College
DIMA ELISSA 1 0,X 0 0 0,BOARD MEMBER,dima,350868096,150756,Hanover College
GREG WILLMAN 1 0,X 0 0 0,BOARD MEMBER,greg,350868096,150756,Hanover College
J MICHAEL BRUCE 50 0,"X 151,397 0 19,852",VP—BUSINESS AFFAIRS,michael,350868096,150756,Hanover College
DENNIS HUNT 50 0,"X 159,893 0 15,466",VP—DEVELOPMENT,dennis,350868096,150756,Hanover College
G DAVID YEAGER 50 0,"X 100,163 0 21,401",VP—STUDENT AFFAIRS,david,350868096,150756,Hanover College
GERALD R JOHNSON 50 0,"x 120,511 0 6,026",EXEC DIR OF BUSINESS SCHOOL,gerald,350868096,150756,Hanover College
STEVEN H JOBE 50 0,"X 124,310 0 21,084",ACADEMIC DEAN,steven,350868096,150756,Hanover College
JONATHAN MILLER 50 0,"X 108,409 0 18,331",MEN'S BASKETBALL COACH,jonathan,350868096,150756,Hanover College
