line1,line2,line3,key,fein,unitid,institutionname
KELLY K SAVAGE 2 0,X 0 0 0,CHAIR,kelly,350868101,150941,Huntington University
HERBERT A SCHUMM 2 0,X 0 0 0,VICE CHAIR,herbert,350868101,150941,Huntington University
NANCY L HULL 2 0,X 0 0 0,SECRETARY,nancy,350868101,150941,Huntington University
LARS P ANDERSEN 2 0,X,BOARD MEMBER,lars,350868101,150941,Huntington University
RONALD P BAKER 2 0,X 0 0 0,BOARD MEMBER,ronald,350868101,150941,Huntington University
J MICHAEL CALEY 2 0,X 0 0 0,BOARD MEMBER,michael,350868101,150941,Huntington University
CAROL A CLARK 2 0,X 0 0 0,ACADEMIC PROGRAMS CHAIR,carol,350868101,150941,Huntington University
JERRY L CLORE 2 0,X 0 0 0,BOARD MEMBER,jerry,350868101,150941,Huntington University
THOMAS A CLOUNIE 2 0,X 0 0 0,BOARD MEMBER,thomas,350868101,150941,Huntington University
CANDACE E CURIE 2 0,X 0 0 0,ADVANCEMENT CHAIR,candace,350868101,150941,Huntington University
GARY L DILLEY 2 0,X 0 0 0,BOARD MEMBER,gary,350868101,150941,Huntington University
RONALD J FREEMAN 2 0,X 0 0 0,BOARD MEMBER,ronald,350868101,150941,Huntington University
RAE GONTERMAN 2 0,X 0 0 0,BOARD MEMBER,rae,350868101,150941,Huntington University
OWEN C GORDON 2 0,X 0 0 0,BOARD MEMBER,owen,350868101,150941,Huntington University
DALE L HAUPERT 2 0,X 0 0 0,BOARD MEMBER,dale,350868101,150941,Huntington University
CALVIN D HAWKINS 2 0,X 0 0 0,BOARD MEMBER,calvin,350868101,150941,Huntington University
DALTON M JENKINS 2 0,X 0 0 0,BOARD MEMBER,dalton,350868101,150941,Huntington University
NANCY LAMPORT LASSE 2 0,X 0 0 0,BOARD MEMBER,nancy,350868101,150941,Huntington University
LARRY L LANCE 2 0,X 0 0 0,BOARD MEMBER,larry,350868101,150941,Huntington University
MONTE J LIGHTNER 2 0,X 0 0 0,BOARD MEMBER,monte,350868101,150941,Huntington University
EMMETI' W LIPPE 2 0,X 0 0 0,BOARD MEMBER,lippe,350868101,150941,Huntington University
RICHARD D MERILLAT 2 0,X 0 0 0,BOARD MEMBER,richard,350868101,150941,Huntington University
LARRY M NEW 2 0,X 0 0 0,BOARD MEMBER,larry,350868101,150941,Huntington University
BRIAN D NOFZINGER 2 0,X 0 0 0,BOARD MEMBER,brian,350868101,150941,Huntington University
CHAD S PRYOR 2 0,X 0 0 0,BOARD MEMBER,chad,350868101,150941,Huntington University
EDWARD E SOUERS 2 0,X 0 0 0,BOARD MEMBERS,edward,350868101,150941,Huntington University
BOARD MEMBERS,THOMAS LTYLER 2 0,X 0 0 0,members,350868101,150941,Huntington University
THOMAS LTYLER 2 0,X 0 0 0,BOARD MEMBER,thomas,350868101,150941,Huntington University
EDWARD C VESSELS 2 0,X 0 0 0,BOARD MEMBER,edward,350868101,150941,Huntington University
W PHILLIP WHIPPLE 2 0,X 0 0 0,BOARD MEMBER,phillip,350868101,150941,Huntington University
LUTHER WHITFIELD 2 0,X 0 0 0,BOARD MEMBER,luther,350868101,150941,Huntington University
C ROBIN WRIGHT 2 0,X 0 0 0,BOARD MEMBER,robin,350868101,150941,Huntington University
ETHEL P WYNDER 2 0,X 0 0 0,BOARD MEMBER,ethel,350868101,150941,Huntington University
BROOKS FETTERS 2 0,X 0 0 0,BOARD MEMBER,brooks,350868101,150941,Huntington University
LUKE M MCCONNELL 1 0,X 0 0 0,STUDENT SENATE REPRESENTATIVE,luke,350868101,150941,Huntington University
STUDENT SENATE REPRESENTATIVE,VINCENT HAUPERT 50 0,"x 81,707 0 21,652",senate,350868101,150941,Huntington University
VINCENT HAUPERT 50 0,"x 81,707 0 21,652",VP FOR ADVANCEMENT,vincent,350868101,150941,Huntington University
JEFFREY BERGGREN 50 0,"X 101,363 0 47,528",SENIOR VP FOR ENROLLMENT,jeffrey,350868101,150941,Huntington University
RONALD COFFEY 50 0,"x 81,471 0 21,597",VP FOR STUDENT LIFE,ronald,350868101,150941,Huntington University
ANN MCPHERREN 50 0,"x 96,643 0 23,117",SENIOR VP STRATEGY/ADULT PROG,ann,350868101,150941,Huntington University
DELBERT DOUGHTY II 50 0,"x 94,983 0 37,340",INTERIM SR VP FOR ACAD AFFAIRS,delbert,350868101,150941,Huntington University
JULIE HENDRYX LEFT 6114 50 0,"x 93,228 22,901",INTERIM VP FOR BUS & FINANCE,julie,350868101,150941,Huntington University
SHERILYN EMBERTON 50 0,"X 107,346 0 60,280",PRESIDENT,sherilyn,350868101,150941,Huntington University
G BLAIR DOWDEN 50 0,"X 296,735 0 28,273",POST PRESIDENCY CONSULTANT,blair,350868101,150941,Huntington University
