line1,line2,line3,key,fein,unitid,institutionname
GREGORY HESS 50 0,"X X 192,052 0 52,721",PRESIDENT & TRUSTEE(7/13—12/13,gregory,350868202,152673,Wabash College
FRED RUEBECK 20 0,"X X 50,000 0 0",CHIEF INVESTMENT OFFICER,fred,350868202,152673,Wabash College
JAY R ALLEN 1 0,X,TRUSTEE,jay,350868202,152673,Wabash College
ALLAN ANDERSON 1 0,X,TRUSTEE,allan,350868202,152673,Wabash College
JOSEPH BARNETTE JR 1 0,X,TRUSTEE,joseph,350868202,152673,Wabash College
STEPHEN BOWEN 1 0,X,TRUSTEE,stephen,350868202,152673,Wabash College
DAVID BROECKER 1 0,X,TRUSTEE,david,350868202,152673,Wabash College
RICHARD CALACCI 1 0,X,TRUSTEE,richard,350868202,152673,Wabash College
KEVIN CLIFFORD 1 0,X,TRUSTEE,kevin,350868202,152673,Wabash College
JAMES CUMMING 1 0,X,TRUSTEE,james,350868202,152673,Wabash College
JAMES DAVLIN 1 0,X,TRUSTEE,james,350868202,152673,Wabash College
JOHN FOX JR 1 0,X,TRUSTEE,john,350868202,152673,Wabash College
ROBERT GRAND 1 0,X,TRUSTEE,robert,350868202,152673,Wabash College
TED GROSSNICKLE 1 0,X,TRUSTEE,ted,350868202,152673,Wabash College
THEODORE HOLLAND 1 0,X,TRUSTEE,theodore,350868202,152673,Wabash College
PETER KENNEDY III 1 0,X,TRUSTEE,peter,350868202,152673,Wabash College
JAMES KILBANE 1 0,X,TRUSTEE,james,350868202,152673,Wabash College
RADE KLJAJIC 1 0,X,TRUSTEE,rade,350868202,152673,Wabash College
DAVID LEWIS 1 0,X,TRUSTEE,david,350868202,152673,Wabash College
HARRY MCNAUGHT JR 1 0,X,TRUSTEE,harry,350868202,152673,Wabash College
ALEX MILLER 1 0,X,TRUSTEE,alex,350868202,152673,Wabash College
KELLY PFLEDDERER 1 0,X,TRUSTEE,kelly,350868202,152673,Wabash College
GARY REAMEY 1 0,X,TRUSTEE,gary,350868202,152673,Wabash College
JOHN SCHROEDER 1 0,X,TRUSTEE,john,350868202,152673,Wabash College
DAVID SHANE 1 0,X,TRUSTEE,david,350868202,152673,Wabash College
K DONALD SHELBOURNE 1 0,X,TRUSTEE,donald,350868202,152673,Wabash College
WALTER SNODELL III 1 0,X,TRUSTEE,walter,350868202,152673,Wabash College
JOSEPH TURK 1 0,X,TRUSTEE,joseph,350868202,152673,Wabash College
WILLIAM WHEELER 1 0,X,TRUSTEE,william,350868202,152673,Wabash College
FREDERICK WILSON JR 1 0,X,TRUSTEE,frederick,350868202,152673,Wabash College
PETER WILSON 1 0,X,TRUSTEE,peter,350868202,152673,Wabash College
PAUL WOOLLS 1 0,X,TRUSTEE,paul,350868202,152673,Wabash College
RAY JOVANOVICH 1 0,X,TRUSTEE,ray,350868202,152673,Wabash College
JEFFERY PERKINS 1 0,X,TRUSTEE,jeffery,350868202,152673,Wabash College
JAMES P WILLIAMS JR 1 0,X,TRUSTEE,james,350868202,152673,Wabash College
PATRICK WHITE 50 0,"X X 275,619 59,931",FORMER PRESIDENT (1/13—6/13),patrick,350868202,152673,Wabash College
GARY PHILLIPS 50 0,"X 178,387 0 28,118",DEAN OF COLLEGE,gary,350868202,152673,Wabash College
LARRY GRIFFITH 50 0,"X 169,576 0 27,195",TREASURER AND CFO,larry,350868202,152673,Wabash College
STEVEN KLEIN 50 0,"X 149,478 0 26,013",DEAN OF ADMISSIONS,steven,350868202,152673,Wabash College
MICHAEL RATERS 50 0,"X 112,854 0 56,871",DEAN OF STUDENTS,michael,350868202,152673,Wabash College
JAMES AMIDON 50 0,"X 110,506 0 21,091",SECRETARY OF COLLEGE,james,350868202,152673,Wabash College
DWIGHT WATSON 50 0,"X 116,417 0 18,074",PROFESSOR OF THEATER,dwight,350868202,152673,Wabash College
CHARLES BLAICH 50 0,"X 137,060 0 89,165",DIRECTOR OF CILA & HEDS,charles,350868202,152673,Wabash College
L DAVID POLLEY 50 0,"X 111,166 0 18,588",PROFESSOR OF BIOLOGY,david,350868202,152673,Wabash College
RICHARD DALLINGER 50 0,"X 106,510 0 20,674",PROFESSOR OF CHEMISTRY,richard,350868202,152673,Wabash College
