line1,line2,line3,key,fein,unitid,institutionname
ANTHES PAUL 1 0,X 0 0 0,TRUSTEE 0 0,anthes,350885591,151801,Indiana Wesleyan University-Marion
BICKEL DANIEL 1 0,X 0 0 0,TRUSTEE 0 0,bickel,350885591,151801,Indiana Wesleyan University-Marion
BOYLE DAVID 1 0,X 0 0 0,TRUSTEE 0 0,boyle,350885591,151801,Indiana Wesleyan University-Marion
BRAY JOHN 1 0,X 0 0 0,TRUSTEE 0 0,john,350885591,151801,Indiana Wesleyan University-Marion
CADY DON 1 0,X 0 0 0,TRUSTEE 0 0,cady,350885591,151801,Indiana Wesleyan University-Marion
CARMICHAEL MICHAEL 1 0,X 0 0 0,TRUSTEE 0 0,carmichael,350885591,151801,Indiana Wesleyan University-Marion
CONRAD CHRISTOPHER 1 0,X 0 0 0,TRUSTEE 0 0,conrad,350885591,151801,Indiana Wesleyan University-Marion
DENEFF STEVE 1 0,X 0 0 0,TRUSTEE 0 0,steve,350885591,151801,Indiana Wesleyan University-Marion
ECKART MARK 1 0,X 0 0 0,TRUSTEE 0 0,eckart,350885591,151801,Indiana Wesleyan University-Marion
EMERY STEVEN 1 0,X 0 0 0,TRUSTEE 0 0,emery,350885591,151801,Indiana Wesleyan University-Marion
EVANS MALCOLM 1 0,X 0 0 0,TRUSTEE 0 0,evans,350885591,151801,Indiana Wesleyan University-Marion
FREEMAN JEFF 1 0,X 0 0 0,TRUSTEE 0 0,freeman,350885591,151801,Indiana Wesleyan University-Marion
HINES BARRY 1 0,X 0 0 0,TRUSTEE 0 0,barry,350885591,151801,Indiana Wesleyan University-Marion
HOLLENBACK KAREN 1 0,X 0 0 0,TRUSTEE 0 0,hollenback,350885591,151801,Indiana Wesleyan University-Marion
MEEKS MARK 1 0,X 0 0 0,TRUSTEE 0 0,meeks,350885591,151801,Indiana Wesleyan University-Marion
MYERS KEVIN 1 0,X 0 0 0,TRUSTEE 0 0,myers,350885591,151801,Indiana Wesleyan University-Marion
OTI' DONALD 1 0,X 0 0 0,TRUSTEE 0 0,donald,350885591,151801,Indiana Wesleyan University-Marion
OTI' GARY 1 0,X 0 0 0,TRUSTEE 0 0,gary,350885591,151801,Indiana Wesleyan University-Marion
RAY PETRA 1 0,X 0 0 0,TRUSTEE 0 0,ray,350885591,151801,Indiana Wesleyan University-Marion
SCHMIDT THOMAS 1 0,X 0 0 0,TRUSTEE 0 0,schmidt,350885591,151801,Indiana Wesleyan University-Marion
SHEPHERD CARL 1 0,X 0 0 0,TRUSTEE 0 0,shepherd,350885591,151801,Indiana Wesleyan University-Marion
SLOAN DALE 1 0,X 0 0 0,TRUSTEE 0 0,sloan,350885591,151801,Indiana Wesleyan University-Marion
SMITH EVRETI' 1 0,X 0 0 0,TRUSTEE 0 0,smith,350885591,151801,Indiana Wesleyan University-Marion
WILLIS ARON 1 0,X 0 0 0,TRUSTEE 0 0,willis,350885591,151801,Indiana Wesleyan University-Marion
GREEN BARBARA 1 0,X 0 0 0,TRUSTEE — UNTIL APRIL 2014 0 0,barbara,350885591,151801,Indiana Wesleyan University-Marion
HALL NORRIS 1 0,X 0 0 0,TRUSTEE 0 0,hall,350885591,151801,Indiana Wesleyan University-Marion
HOOVER ED 1 0,X 0 0 0,TRUSTEE — UNTIL APRIL 2014 0 0,hoover,350885591,151801,Indiana Wesleyan University-Marion
TRUSTEE — UNTIL APRIL 2014 0 0,QUINN PAULA 1 0,X 0 0 0,april,350885591,151801,Indiana Wesleyan University-Marion
QUINN PAULA 1 0,X 0 0 0,TRUSTEE — UNTIL DECEMBER 2013 0 0,quinn,350885591,151801,Indiana Wesleyan University-Marion
TRUSTEE — UNTIL DECEMBER 2013 0 0,STOREY JOHN 1 0,X 0 0 0,december,350885591,151801,Indiana Wesleyan University-Marion
STOREY JOHN 1 0,X 0 0 0,TRUSTEE — UNTIL DECEMBER 2013 0 0,storey,350885591,151801,Indiana Wesleyan University-Marion
TRUSTEE — UNTIL DECEMBER 2013 0 0,WRIGHT DAVID 40 0,"X 190,264 0 55,348",december,350885591,151801,Indiana Wesleyan University-Marion
WRIGHT DAVID 40 0,"X 190,264 0 55,348",PRESIDENT — STARTED JULY 2013 0 0,wright,350885591,151801,Indiana Wesleyan University-Marion
PRESIDENT — STARTED JULY 2013 0 0,KILTY DUANE 40 0,"X 151,291 0 28,974",july,350885591,151801,Indiana Wesleyan University-Marion
KILTY DUANE 40 0,"X 151,291 0 28,974",CFO — UNTIL MARCH 2014 0 0,kilty,350885591,151801,Indiana Wesleyan University-Marion
SCHOONMAKER NANCY 40 0,X 0 0 0,CFO — STARTED MARCH 2014 0 0,schoonmaker,350885591,151801,Indiana Wesleyan University-Marion
HAHN AUDREY 40 0,"X 129,849 0 20,062",CEO/NON—RESIDENTIAL CAMPUS 0 0,hahn,350885591,151801,Indiana Wesleyan University-Marion
NEWMAN J KEITH 40 0,"X 136,414 0 31,894",CEO/RESIDENTIAL CAMPUS 0 0,newman,350885591,151801,Indiana Wesleyan University-Marion
LINDSAY LARRY 40 0,"X 117,863 0 24,332",INTERIM PROVOST 0 0,lindsay,350885591,151801,Indiana Wesleyan University-Marion
SMITH HENRY 40 0,"X 311,938 0 59,994",PRESIDENT — UNTILJUNE 2013 0 0,smith,350885591,151801,Indiana Wesleyan University-Marion
AlTCHISON BRIDGET 40 0,"X 119,534 0 78,365",DEAN OF INTERNATIONAL PROGRAMS 0 0,bridget,350885591,151801,Indiana Wesleyan University-Marion
