line1,line2,line3,key,fein,unitid,institutionname
Patrick Arbor 1 0,X,Trustee (re5igned Nov 2013) 0 0,patrick,361408475,146719,Loyola University Chicago
Robert M Beavers Jr 1 0,X,Trustee 0 0,robert,361408475,146719,Loyola University Chicago
James P Bouchard 1 0,X,Trustee 0 0,james,361408475,146719,Loyola University Chicago
William A Brandt Jr 1 0,X,Trustee 0 0,william,361408475,146719,Loyola University Chicago
Michael] Carbon 1 0,X,Trustee (re5ig ned June 2014) 0 0,carbon,361408475,146719,Loyola University Chicago
Ronald E Daly 1 0,X,Trustee (re5ig ned June 2014) 0 0,ronald,361408475,146719,Loyola University Chicago
Charles W Denny 1 0,X,Trustee 0 0,charles,361408475,146719,Loyola University Chicago
Melanie C Dreher 1 0,X,Trustee 0 0,melanie,361408475,146719,Loyola University Chicago
Mary Judith Duchossms 1 0,X,Trustee 0 0,mary,361408475,146719,Loyola University Chicago
Paul] Fitzgerald SJ 1 0,X,Trustee 0 0,fitzgerald,361408475,146719,Loyola University Chicago
Michael J Garanzmi SJ 40 0,X X 0 0,"PreSIdent & CEO, Trustee 0 0",michael,361408475,146719,Loyola University Chicago
Thomas P Greene SJ 1 0,X,Trustee 0 0,thomas,361408475,146719,Loyola University Chicago
Joth Hartman 1 0,X,Trustee 0 0,hartman,361408475,146719,Loyola University Chicago
Marvm Herman 1 0,X,Trustee 0 0,herman,361408475,146719,Loyola University Chicago
Patrick J Kelly 1 0,X,Trustee 0 0,patrick,361408475,146719,Loyola University Chicago
William G Kistner 1 0,X,Trustee 0 0,william,361408475,146719,Loyola University Chicago
William C Kunkler III 1 0,X,Trustee 0 0,william,361408475,146719,Loyola University Chicago
Patrick C Lynch 1 0,X,Trustee 0 0,patrick,361408475,146719,Loyola University Chicago
Barry C McCabe 1 0,X,Trustee 0 0,barry,361408475,146719,Loyola University Chicago
Patrick McGrath SJ 1 0,X,Trustee 0 0,patrick,361408475,146719,Loyola University Chicago
Carlos Montoya 1 0,X,Trustee 0 0,carlos,361408475,146719,Loyola University Chicago
Allan J NorVIIIe 1 0,X,Trustee 0 0,allan,361408475,146719,Loyola University Chicago
Robert L Parkinson Jr 1 0,X,"Chairman of the Board, Trustee 0 0",robert,361408475,146719,Loyola University Chicago
Scott R Pilarz SJ 1 0,X,Trustee 0 0,scott,361408475,146719,Loyola University Chicago
Michael R Qumlan 1 0,X,"Chairman Emeritus, Trustee 0 0",michael,361408475,146719,Loyola University Chicago
Richard L Rodriguez 1 0,"x 9,000",Trustee 0 0,richard,361408475,146719,Loyola University Chicago
John G Schreiber 1 0,X,Trustee 0 0,john,361408475,146719,Loyola University Chicago
Judith A Scully 1 0,X,Trustee 0 0,judith,361408475,146719,Loyola University Chicago
Michael D Searle 1 0,X,Trustee 0 0,michael,361408475,146719,Loyola University Chicago
NiranJan S Shah 1 0,X,Trustee 0 0,niranjan,361408475,146719,Loyola University Chicago
Smita N Shah 1 0,X,Trustee (re5ig ned June 2014) 0 0,shah,361408475,146719,Loyola University Chicago
Susan S Sher 1 0,X,Trustee 0 0,susan,361408475,146719,Loyola University Chicago
Raymond F Simon 1 0,X,Trustee 0 0,raymond,361408475,146719,Loyola University Chicago
George Andrews Smith 1 0,X,Trustee 0 0,george,361408475,146719,Loyola University Chicago
Brian K Speers 1 0,X,Trustee 0 0,brian,361408475,146719,Loyola University Chicago
Stephen P Squmto 1 0,X,Trustee 0 0,stephen,361408475,146719,Loyola University Chicago
Cynthia Stark 1 0,X,Trustee 0 0,stark,361408475,146719,Loyola University Chicago
Joan E Steel 1 0,X,Trustee 0 0,joan,361408475,146719,Loyola University Chicago
Jackie Taylor Holsten 1 0,X,Trustee 0 0,jackie,361408475,146719,Loyola University Chicago
Mary Tolan 1 0,X,Trustee 0 0,mary,361408475,146719,Loyola University Chicago
Kevm W Wildes SJ 1 0,X,Trustee 0 0,wildes,361408475,146719,Loyola University Chicago
Mary Ann Zollmann BVM 1 0,X,"Vice Chair of Board, Trustee 0 0",mary,361408475,146719,Loyola University Chicago
Steven M Bergfeld 40 0,"X 218,008 0 36,631",Sr VP Advancement & Planning 0 0,steven,361408475,146719,Loyola University Chicago
Pamela G Costas 40 0,"X 206,838 0 28,500",VP General Counsel & Secretary 0 0,pamela,361408475,146719,Loyola University Chicago
Richard L Gamelli MD 40 0,"X 644,314 0 41,428",SR VP/Provost—Health SCIences 0 0,richard,361408475,146719,Loyola University Chicago
Philip D Hale 40 0,"X 178,533 0 35,700",VP for Government Affairs 0 0,philip,361408475,146719,Loyola University Chicago
Jonathan R Heintzelman 40 0,"X 321,472 0 154,654",Sr VP for Advancement 0 0,jonathan,361408475,146719,Loyola University Chicago
Emilio Iodice 40 0,"X 331,999 0 17,070","VP, Dir John Felice Rome CTR 0 0",emilio,361408475,146719,Loyola University Chicago
Eric C Jones 40 0,"X 179,921 0 37,767",Treasurer & C10 0 0,eric,361408475,146719,Loyola University Chicago
Robert D Kelly 40 0,"X 229,413 0 32,042",VP for Student Development 0 0,robert,361408475,146719,Loyola University Chicago
Thomas M Kelly 40 0,"X 265,640 0 77,639",Sr VP Admin Serwces & CHRO 0 0,thomas,361408475,146719,Loyola University Chicago
William G Laird 40 0,"X 321,622 0 41,910",Sr VP for Finance & CFO 0 0,william,361408475,146719,Loyola University Chicago
Wayne MagdZIarz 40 0,"X 298,860 0 39,217",Sr VP for Capital Planning 0 0,wayne,361408475,146719,Loyola University Chicago
Susan M Malisch 40 0,"X 260,361 0 34,936",VP & Chief Information Officer 0 0,susan,361408475,146719,Loyola University Chicago
Ellen Kane Munro 40 0,"X 205,480 0 34,371",Sr VP Gen Counsel/Secretary 0 0,ellen,361408475,146719,Loyola University Chicago
John P Pelissero 40 0,"X 341,656 0 45,098",Provost for LakeSIde Campuses 0 0,john,361408475,146719,Loyola University Chicago
Kelly Shannon 40 0,"X 189,955 0 46,626",VP Univ Marketing & Comm 0 0,kelly,361408475,146719,Loyola University Chicago
Linda Brubaker MD 40 0,"X 386,869 0 48,033","Dean, Stritch School of Med 0 0",linda,361408475,146719,Loyola University Chicago
Kathleen A Getz 40 0,"X 289,450 0 50,137","Dean, School of Busmess 0 0",kathleen,361408475,146719,Loyola University Chicago
Pieter DeTombe 40 0,"X 321,371 0 84,393",Cell & Molecular Phys Chair 0 0,pieter,361408475,146719,Loyola University Chicago
Richard Kennedy 40 0,"X 314,761 0 39,742",Vice Provost for Research 0 0,richard,361408475,146719,Loyola University Chicago
Porter A Moser 40 0,"X 351,852 0 46,772",Head Basketball Coach 0 0,porter,361408475,146719,Loyola University Chicago
