line1,line2,line3,key,fein,unitid,institutionname
organizations 5 a E 8 ‘0 E8 can and related,below dotted % §_ § 7 13 8 g 7 organizations,line) 7 g :4 T: g,can,362167842,148405,Rockford University
(ML. THOMAS HEISER,1 . 00,TRUSTEE 0 . 00 X 0 0 O,thomas,362167842,148405,Rockford University
(SHELEN C. HILL,1 . 00,TRUSTEE 0 . 00 X 0 0 O,hill,362167842,148405,Rockford University
(QTERESA J. INGRASSIA,1 . 00,TRUSTEE O . 00 X 0 0 0,ingrassia,362167842,148405,Rockford University
(UDENNIS W. JOHNSON,1 . 00,TRUSTEE 0 . 00 X 0 0 O,johnson,362167842,148405,Rockford University
(mJAMES KEELING,1 . 00,TRUSTEE 0 . 00 X 0 0 0,keeling,362167842,148405,Rockford University
(MDAN G. LOESCHER,1 . 00,TRUSTEE o . 00 X 0 0 0,loescher,362167842,148405,Rockford University
(10) THOMAS MULDOWNEY,1 . 00,TRUSTEE 0 . 00 X 0 0 0,thomas,362167842,148405,Rockford University
Form 990 (2013) ROCKFORD UNIVERSITY 3 6—2 1 67 8 42 Page 8,"Part VII Section A. Ofﬁcers, Directors, Trustees, Key Employees, and Highest Compensated Employees (continued)",(A) (B) (C) (D) (E) (F),rockford,362167842,148405,Rockford University
(12)SUNIL PURI,1 . 00,TRUSTEE 0 . 00 X 0 0 0,puri,362167842,148405,Rockford University
(13)DAVID RYDELL,1 . 00,TRUSTEE O . 00 X 0 0 0,rydell,362167842,148405,Rockford University
(15) JAMES CLARKE,1 . 00,TRUSTEE 0 . 00 X 0 O 0,james,362167842,148405,Rockford University
(16)JANE R . THOMAS,1 . 00,TRUSTEE 0 . 00 X 0 0 0,thomas,362167842,148405,Rockford University
(17) FRANK E . WALTER,1 . 00,TRUSTEE o . 00 X 0 O 0,frank,362167842,148405,Rockford University
(18)JAMES W . WHITEHEAD,1 . 00,TRUSTEE 0 . 00 X 0 0 0,whitehead,362167842,148405,Rockford University
(19)JONATHAN S . WHITLOCK,1 . 00,TRUSTEE 0 . 00 X 0 0 0,whitlock,362167842,148405,Rockford University
ARAMARK SERVICE 2300 WARRENVILLE RD,"DOWNERS GROVE IL 60515 CAMPUS MAINT 1,519, 651",FIVE BROTHERS CONSTRUCTION PO BOX 436,service,362167842,148405,Rockford University
FIVE BROTHERS CONSTRUCTION PO BOX 436,"ROCKFORD IL 61 105 CONSTRUCTION 236, 826",THE COLLABORATIVE 500 ISON AVE,brothers,362167842,148405,Rockford University
"ROCKFORD IL 61 105 CONSTRUCTION 236, 826",THE COLLABORATIVE 500 ISON AVE,"TOLEDO OH 43604 DESIGN DVLPMNT 212 ,231",rockford,362167842,148405,Rockford University
THE COLLABORATIVE 500 ISON AVE,"TOLEDO OH 43604 DESIGN DVLPMNT 212 ,231",ELLUCIAN COMPANY L . P . 4 COUNTRY VIEW ROAD,ison,362167842,148405,Rockford University
"TOLEDO OH 43604 DESIGN DVLPMNT 212 ,231",ELLUCIAN COMPANY L . P . 4 COUNTRY VIEW ROAD,"MALVERN PA 1 9355 SOFTWARE MAINT 106, 836",toledo,362167842,148405,Rockford University
ELLUCIAN COMPANY L . P . 4 COUNTRY VIEW ROAD,"MALVERN PA 1 9355 SOFTWARE MAINT 106, 836",2 Total number of independent contractors (including but not limited to those listed above) who,view,362167842,148405,Rockford University
"MALVERN PA 1 9355 SOFTWARE MAINT 106, 836",2 Total number of independent contractors (including but not limited to those listed above) who,"received more than $100,000 of compensation from the organization D 4",malvern,362167842,148405,Rockford University
Form 990 (2013) ROCKFORD UNIVERSITY 36—2167842 Page 8,"Part VII Section A. Ofﬁcers, Directors, Trustees, Key Employees, and Highest Compensated Employees (continued)",(A) (B) (C) (D) (E) (F),rockford,362167842,148405,Rockford University
related 33 i g 3 gas 0 (W-2I1099-MISC) organization,organizations a a E 3 m g; a and related,"below dotted g5, g a $3 "" organizations",gas,362167842,148405,Rockford University
(12)JOEL J . MOORE,1 . 00,TRUSTEE 0 . 00 X 0 0 0,moore,362167842,148405,Rockford University
(15)CHRI ST INA ANDERSON,4 O . 0 0,"VP OF BUSINESS & CFO 0.00 x 119,696 0 8,972",ina,362167842,148405,Rockford University
