line1,line2,line3,key,fein,unitid,institutionname
(1) LEWIS SCHMIDT 1 00,X X 0 0 0,CHAIRMAN,lewis,362539399,149639,VanderCook College of Music
(2) JOHN HUSTON 1 00,X X 0 0 0,VICE—CHAIRMAN,john,362539399,149639,VanderCook College of Music
(3) ERICA CHIANNELLI 1 00,X X 0 0 0,SECRETARY,erica,362539399,149639,VanderCook College of Music
(4) GEORGE QUINLAN JR 1 00,X X 0 0 0,IMMEDIATE PAST CHAIRMAN,george,362539399,149639,VanderCook College of Music
(5) JOHN ARMATO 1 00,X 0 0 0,BOARD MEMBER,john,362539399,149639,VanderCook College of Music
(6) SAUL FRIEDGOOD 1 00,X 0 0 0,BOARD MEMBER,saul,362539399,149639,VanderCook College of Music
(7) JON HARRIS 1 00,X 0 0 0,BOARD MEMBER,jon,362539399,149639,VanderCook College of Music
(8) GLENN E HOLTZ 1 00,X 0 0 0,BOARD MEMBER,glenn,362539399,149639,VanderCook College of Music
(9) BARBARA BEACH 1 00,X 0 0 0,BOARD MEMBER,barbara,362539399,149639,VanderCook College of Music
(10) MEAD KILLION 1 00,X 0 0 0,BOARD MEMBER,mead,362539399,149639,VanderCook College of Music
(11) HERMAN KNOLL 1 00,X 0 0 0,BOARD MEMBER,herman,362539399,149639,VanderCook College of Music
(12) PATRICK BENSON 1 00,X 0 0 0,BOARD MEMBER,patrick,362539399,149639,VanderCook College of Music
(13) DAVID MANN 1 00,X 0 0 0,BOARD MEMBER,david,362539399,149639,VanderCook College of Music
(14) LEONARD MCGEE 1 00,X 0 0 0,BOARD MEMBER,leonard,362539399,149639,VanderCook College of Music
(15) CHRISTOPHER D MOTOGAWA 1 00,X 0 0 0,BOARD MEMBER,christopher,362539399,149639,VanderCook College of Music
(16) ROBERT REICH 1 00,X 0 0 0,BOARD MEMBER,robert,362539399,149639,VanderCook College of Music
(17) RAYMOND SPAETH 1 00,X 0 0 0,BOARD MEMBER,raymond,362539399,149639,VanderCook College of Music
(18) CHRIS SWEETLAND 1 00,X 0 0 0,BOARD MEMBER,chris,362539399,149639,VanderCook College of Music
(19) DAVID CHERNOFF 1 00,X 0 0 0,BOARD MEMBER,david,362539399,149639,VanderCook College of Music
(20) SETH COOPER 1 00,X 0 0 0,BOARD MEMBER,seth,362539399,149639,VanderCook College of Music
(21) KIM DANLOW 1 00,X 0 0 0,BOARD MEMBER,kim,362539399,149639,VanderCook College of Music
(22) ALINA HABER—KOVACH 1 00,X 0 0 0,BOARD MEMBER,alina,362539399,149639,VanderCook College of Music
(23) IRWIN KORNFELD 1 00,X 0 0 0,BOARD MEMBER,irwin,362539399,149639,VanderCook College of Music
(24) DANNY WILSON 1 00,X 0 0 0,BOARD MEMBER,danny,362539399,149639,VanderCook College of Music
(25) CHARLES T MENGHINI 40 00,"X 160,818 0 11,897","PRESIDENT, DIR OF BANDS",charles,362539399,149639,VanderCook College of Music
(26) ROSEANNE ROSENTHAL 40 00,"X 98,982 0 691",PROFESSOR OF EDUCATION,roseanne,362539399,149639,VanderCook College of Music
(27) DIANE KELLY 40 00,"x 108,657 0 6,097",CONTROLLER,diane,362539399,149639,VanderCook College of Music
