line1,line2,line3,key,fein,unitid,institutionname
MARY ANN ANDERSON 1 00,X 0 0 0,BOARD MEMBER 1 00,mary,362739299,146755,Trinity College of Nursing & Health Sciences
JOHN BECKEY 1 00,X 0 0 0,BOARD MEMBER 1 00,john,362739299,146755,Trinity College of Nursing & Health Sciences
COSTAS CONSTANTINOU MD 1 00,"x 25,892 0 1,010",BOARD MEMBER 1 00,costas,362739299,146755,Trinity College of Nursing & Health Sciences
PATRICK EIKENBERRY 1 00,X 0 0 0,BOARD MEMBER 1 00,patrick,362739299,146755,Trinity College of Nursing & Health Sciences
PASTOR STACIE FIDLAR 1 00,X 0 0 0,BOARD MEMBER 1 00,pastor,362739299,146755,Trinity College of Nursing & Health Sciences
FARAZ MANAZIR MD 1 00,X 0 0 0,BOARD MEMBER 1 00,faraz,362739299,146755,Trinity College of Nursing & Health Sciences
PETER MCLAUGHLIN 1 00,"X X 0 15,115 0",BOARD CHAIR 1 00,peter,362739299,146755,Trinity College of Nursing & Health Sciences
CHRIS MOEN MD 1 00,X 0 0 0,BOARD MEMBER 1 00,chris,362739299,146755,Trinity College of Nursing & Health Sciences
LINDA NEWBORN 1 00,"X 0 14,539 0",BOARD MEMBER 1 00,linda,362739299,146755,Trinity College of Nursing & Health Sciences
TODD NICHOLSON 1 00,X X 0 0 0,BOARD VICE CHAIR 1 00,todd,362739299,146755,Trinity College of Nursing & Health Sciences
AHMED OKBA MD 100,X 0 0 0,BOARD MEMBER 1 00,ahmed,362739299,146755,Trinity College of Nursing & Health Sciences
COLLEEN RAFFERTY 1 00,X 0 0 0,BOARD MEMBER 1 00,colleen,362739299,146755,Trinity College of Nursing & Health Sciences
FATHER MICHAEL SCHAAB 1 00,X 0 0 0,BOARD MEMBER 1 00,michael,362739299,146755,Trinity College of Nursing & Health Sciences
MARK SCHWIEBERT 1 00,X 0 0 0,BOARD MEMBER 1 00,mark,362739299,146755,Trinity College of Nursing & Health Sciences
RICHARD SEIDLER 40 00,"X X 622,225 0 316,659",BOARD MEMBER/PRESIDENT/CEO 1 00,richard,362739299,146755,Trinity College of Nursing & Health Sciences
JANET SICHTERMAN 1 00,X 0 0 0,BOARD MEMBER 1 00,janet,362739299,146755,Trinity College of Nursing & Health Sciences
KARLA STEELE 1 00,X 0 0 0,BOARD MEMBER 1 00,karla,362739299,146755,Trinity College of Nursing & Health Sciences
TAMARA BYRAM MAHL 40 00,"X 176,811 0 35,357",VP LEGAL & COMPLIANCE 1 00,tamara,362739299,146755,Trinity College of Nursing & Health Sciences
DAVID DEOPERE 1 00,"X 276,600 0 150,774",PRESIDENT RYC & VICE PRESIDENT (TMC) 40 00,david,362739299,146755,Trinity College of Nursing & Health Sciences
PAUL MCLOONE MD 40 00,"x 375,475 4,870 41,590",CMO/CQO 1 00,paul,362739299,146755,Trinity College of Nursing & Health Sciences
GREG PAGLIUZZA JR 40 00,"X 366,950 0 105,703",VP FINANCE/CFO 1 00,greg,362739299,146755,Trinity College of Nursing & Health Sciences
JAY WILLSHER 40 00,"X 357,407 0 140,615",EXEC VP/COO 1 00,jay,362739299,146755,Trinity College of Nursing & Health Sciences
JEAN DOERGE 40 00,"X 266,959 0 37,483",VP QUALITY/CHIEF NURSE EXEC 1 00,jean,362739299,146755,Trinity College of Nursing & Health Sciences
VP QUALITY/CHIEF NURSE EXEC 1 00,CARA FULLER 40 00,"X 196,513 0 32,269",nurse,362739299,146755,Trinity College of Nursing & Health Sciences
CARA FULLER 40 00,"X 196,513 0 32,269",VP HUMAN RESOURCES 1 00,cara,362739299,146755,Trinity College of Nursing & Health Sciences
TAMMY PAUWELS 40 00,"X 168,832 0 18,147",EXEC DIR OUTPATIENT SVCS 1 00,tammy,362739299,146755,Trinity College of Nursing & Health Sciences
KATHERINE PEARSON 40 00,"X 267,650 0 56,039",CHIEF STRATEGY OFFICER 1 00,katherine,362739299,146755,Trinity College of Nursing & Health Sciences
JEFFREY STOLZE TO 313 40 00,"X 168,930 0 13,635",VP HUMAN RESOURCES 1 00,jeffrey,362739299,146755,Trinity College of Nursing & Health Sciences
RANDALL BAY MD 40 00,"X 456,853 0 39,140",PHYSICIAN—ER/TRAUMA 0 00,randall,362739299,146755,Trinity College of Nursing & Health Sciences
PAUL BOLGER MD 40 00,"X 491,089 0 39,223",PHYSICIAN—ER/TRAUMA 0 00,paul,362739299,146755,Trinity College of Nursing & Health Sciences
KEVIN KURTH MD 40 00,"X 498,389 0 28,981",MEDICAL DIRECTOR—ER/TRAUMA 1 00,kevin,362739299,146755,Trinity College of Nursing & Health Sciences
RHONDA SOWARDS MD 40 00,"X 477,357 0 36,069",PHYSICIAN—ER/TRAUMA 0 00,rhonda,362739299,146755,Trinity College of Nursing & Health Sciences
CHAD VANDERLINDEN MD 40 00,"X 486,698 0 44,338",PHYSICIAN—ER/TRAUMA 0 00,chad,362739299,146755,Trinity College of Nursing & Health Sciences
GARY BARGSTADT TO 1209 0 00,"X 0 173,423 14,595",FORMER PRESIDENT VNHA 40 00,gary,362739299,146755,Trinity College of Nursing & Health Sciences
TOM TIBBITI'S TO 610 0 00,"x 0 658,337 5,529",FORMER INTERIM PRESIDENT/CEO 40 00,tom,362739299,146755,Trinity College of Nursing & Health Sciences
KEVIN VERMEER TO 509 0 00,"X 0 823,232 287,543",FORMER VP FINANCE/CFO 40 00,kevin,362739299,146755,Trinity College of Nursing & Health Sciences
CINDA BATES 40 00,"X 155,522 0 30,550",FORMER UTILIZATION MGMT SPECIALIST 0 00,cinda,362739299,146755,Trinity College of Nursing & Health Sciences
KATHLEEN CUNNINGHAM TO 511 0 00,"X 0 225,686 30,709",FORMER VP QUALITY 40 00,kathleen,362739299,146755,Trinity College of Nursing & Health Sciences
RICHARD MURPHY 0 00,"X 147,964 0 27,330",FORMER CFO RYC 40 00,richard,362739299,146755,Trinity College of Nursing & Health Sciences
BOBETTE PATTERSON 40 00,"X 158,813 0 17,916",FORMER DIR OPERATIONS/DIR CARDIOVASCULAR 0 00,bobette,362739299,146755,Trinity College of Nursing & Health Sciences
SUSAN WAJERT TO 713 0 00,"X 123,174 0 13,581",FORMER CHANCELLOR 0 00,susan,362739299,146755,Trinity College of Nursing & Health Sciences
