line1,line2,line3,key,fein,unitid,institutionname
(1) Dr Elena B Mulcahy 1 00,X X 0 0 0,Former Chair,elena,363108821,148876,Saint Augustine College
(2) Dr Rafaela E Weffer 1 00,X X 0 0 0,Vice Chair,rafaela,363108821,148876,Saint Augustine College
(3) Jenny Agurrre 1 00,X X 0 0 0,Chair,jenny,363108821,148876,Saint Augustine College
(4) Rev Maria Elizabeth Munoz 1 00,X X 0 0 0,Secretary,maria,363108821,148876,Saint Augustine College
(5) Patrick] Nolan 1 00,X X 0 0 0,Chair of Finance,nolan,363108821,148876,Saint Augustine College
(6) Dr Jay H Price 1 00,X 0 0 0,Trustee,jay,363108821,148876,Saint Augustine College
(7) Brooks Davrs 1 00,X 0 0 0,Trustee,brooks,363108821,148876,Saint Augustine College
(8) Dr Catalina Maria Johnson 1 00,X 0 0 0,Trustee,catalina,363108821,148876,Saint Augustine College
(9) Dr Margaret M Lehner 1 00,X 0 0 0,Trustee,margaret,363108821,148876,Saint Augustine College
(10) Joseph H Wilkinson 1 00,X 0 0 0,Trustee,joseph,363108821,148876,Saint Augustine College
(11) Rev Dr Robert O Wyatt 1 00,X 0 0 0,Trustee,robert,363108821,148876,Saint Augustine College
(12) Marco A Rodriguez 1 00,X 0 0 0,Trustee,marco,363108821,148876,Saint Augustine College
(13) Rev Amrty Carrubba 1 00,X 0 0 0,Trustee,carrubba,363108821,148876,Saint Augustine College
(14) Ramon Ortega 1 00,X 0 0 0,Trustee,ramon,363108821,148876,Saint Augustine College
(15) Andrew Sund 40 00,"X 173,042 0 20,742",PreSIdent,andrew,363108821,148876,Saint Augustine College
(16) Saundra Fleming 40 00,"x 89,707 0 7,959",VP for Finance,saundra,363108821,148876,Saint Augustine College
(17) Norman Ruano 40 00,"X 134,234 0 185",VP for Workforce Development,norman,363108821,148876,Saint Augustine College
(18) Paul Heck 40 00,"x 88,482 7,959","VP for Technology, Research",paul,363108821,148876,Saint Augustine College
(19) Alfredo Calixto 40 00,"x 76,513 15,055",VP for Institutional Advancement,alfredo,363108821,148876,Saint Augustine College
(20) Bruno Bondavalli 40 00,"x 89,383 7,936",Dean of Academic and Student Affairs,bruno,363108821,148876,Saint Augustine College
(21) Lee Maltby 40 00,"x 83,255 3,322",Dean of Instruction,lee,363108821,148876,Saint Augustine College
(22) Davrd Cordova 40 00,"x 119,630 21,396",VP for Marketing and Advancement,cordova,363108821,148876,Saint Augustine College
