line1,line2,line3,key,fein,unitid,institutionname
(1) John Reynolds 40.00,"Chancellor and CEO 0.00 X X 0. 254,644, 78,939.",(2) Nick Vande Steeg 1.00,john,364682140,474863,Azusa Pacific University College
(2) Nick Vande Steeg 1.00,"Director, Board Chair 1.00 X X 0. 0. 0.",(3) Jon Wallace 1.00,nick,364682140,474863,Azusa Pacific University College
(3) Jon Wallace 1.00,"Director 40.00 X 0. 299,558. 60,419.",(4) Michael Lizarraga 1.00,jon,364682140,474863,Azusa Pacific University College
(4) Michael Lizarraga 1.00,"Director 1.00 X 0. 0. 0,",(5) Peggy Campbell 1.00,michael,364682140,474863,Azusa Pacific University College
(5) Peggy Campbell 1.00,Director 1.00 X 0. 0. 0.,(6) Mark Stanton 1.00,peggy,364682140,474863,Azusa Pacific University College
(6) Mark Stanton 1.00,"Director 40.00 X 0. 146,933. 97,923.",(7) Mark Dickerson 1.00,mark,364682140,474863,Azusa Pacific University College
(7) Mark Dickerson 1.00,"Secretary 40.00 X 0. 204,505. 28,341.",(8) Stephen Grey 40.00,mark,364682140,474863,Azusa Pacific University College
(8) Stephen Grey 40.00,"Director of Finance/CFO/Treasurer 0.00 X 0. 157,291. 24,245,",(9) Deanna Porterfield 40.00,stephen,364682140,474863,Azusa Pacific University College
(9) Deanna Porterfield 40.00,"Executive Vice President 0.00 X 155,913. 0. 31,076.",(10) Kurt Takamine 40.00,deanna,364682140,474863,Azusa Pacific University College
(10) Kurt Takamine 40.00,"Vice President and CAD 0.00 X 131,136. 0. 26,991.",(11) Donald Davis 40.00,kurt,364682140,474863,Azusa Pacific University College
(11) Donald Davis 40.00,"Vice President and C00 0.00 X 129,189. 0. 27,342.","(12) Robert Johansen 0,00",donald,364682140,474863,Azusa Pacific University College
"Name and title Average (do no, check mm man one Reportable Reportable Estimated","‘ hours per box, unless person IS both an compensation compensation amount of",week officer and a director/trustee) from from related other,man,364682140,474863,Azusa Pacific University College
