line1,line2,line3,key,fein,unitid,institutionname
RICHARD F WILSON 40 00,"X X 289,736 0 40,719",PRESIDENT,richard,370662594,145646,Illinois Wesleyan University
RICHARD AMES 2 00,X 0 0 0,TRUSTEE,richard,370662594,145646,Illinois Wesleyan University
VAUGHN HOFFMAN 2 00,X 0 0 0,TRUSTEE,vaughn,370662594,145646,Illinois Wesleyan University
JEAN BAIRD 2 00,X 0 0 0,SECRETARY,jean,370662594,145646,Illinois Wesleyan University
PHYLLIS BARKER 2 00,X 0 0 0,TRUSTEE,phyllis,370662594,145646,Illinois Wesleyan University
THOMAS BROWN 2 00,X 0 0 0,VICE CHAIR,thomas,370662594,145646,Illinois Wesleyan University
WILLIE BROWN 2 00,X 0 0 0,VICE CHAIR,willie,370662594,145646,Illinois Wesleyan University
CATHY CARSWELL 2 00,X 0 0 0,TRUSTEE,cathy,370662594,145646,Illinois Wesleyan University
MICHAEL CLARK 2 00,X 0 0 0,TRUSTEE,michael,370662594,145646,Illinois Wesleyan University
MARY CREGO 2 00,X 0 0 0,TRUSTEE,mary,370662594,145646,Illinois Wesleyan University
RICHARD KING II 2 00,X 0 0 0,TRUSTEE,richard,370662594,145646,Illinois Wesleyan University
JOHN ESCH 2 00,X 0 0 0,TRUSTEE,john,370662594,145646,Illinois Wesleyan University
ANN E MARQUIS FISHER 2 00,X 0 0 0,TRUSTEE,ann,370662594,145646,Illinois Wesleyan University
JUDITH FAVELL 2 00,X 0 0 0,TRUSTEE,judith,370662594,145646,Illinois Wesleyan University
ROBERT FIELD 2 00,X 0 0 0,TREASURER,robert,370662594,145646,Illinois Wesleyan University
TODD FRENCH 2 00,X 0 0 0,TRUSTEE,todd,370662594,145646,Illinois Wesleyan University
MICHAELA MASON 2 00,X 0 0 0,TRUSTEE,michaela,370662594,145646,Illinois Wesleyan University
HERBERT GETZ 2 00,X 0 0 0,VICE CHAIR,herbert,370662594,145646,Illinois Wesleyan University
JOHN HORTON 2 00,X 0 0 0,TRUSTEE,john,370662594,145646,Illinois Wesleyan University
JONATHAN KEATON 2 00,X 0 0 0,TRUSTEE,jonathan,370662594,145646,Illinois Wesleyan University
W THOMAS LAWRENCE 2 00,X 0 0 0,TRUSTEE,thomas,370662594,145646,Illinois Wesleyan University
KATHY LEWTON 2 00,X 0 0 0,TRUSTEE,kathy,370662594,145646,Illinois Wesleyan University
THOMAS MCKINNEY JR MD 2 00,X 0 0 0,TRUSTEE,thomas,370662594,145646,Illinois Wesleyan University
THOMAS NEIS 2 00,X 0 0 0,TRUSTEE,thomas,370662594,145646,Illinois Wesleyan University
TIMOTHY SZERLONG 2 00,X 0 0 0,TRUSTEE,timothy,370662594,145646,Illinois Wesleyan University
BYRON TUCCI 2 00,X 0 0 0,TRUSTEE,byron,370662594,145646,Illinois Wesleyan University
RONALD RUECKER MD 2 00,X 0 0 0,TRUSTEE,ronald,370662594,145646,Illinois Wesleyan University
EDWARD RUST JR 2 00,X 0 0 0,TRUSTEE,edward,370662594,145646,Illinois Wesleyan University
JAMES SHIRK 2 00,X 0 0 0,TRUSTEE,james,370662594,145646,Illinois Wesleyan University
DALE SPIESS 2 00,X 0 0 0,TRUSTEE,dale,370662594,145646,Illinois Wesleyan University
BARBARA NATHAN 2 00,X 0 0 0,TRUSTEE,barbara,370662594,145646,Illinois Wesleyan University
CARLINA TAPIA—RUANO 2 00,X 0 0 0,TRUSTEE,carlina,370662594,145646,Illinois Wesleyan University
MICHAEL TIPSORD 2 00,X 0 0 0,TRUSTEE,michael,370662594,145646,Illinois Wesleyan University
GEORGE VINYARD 2 00,X 0 0 0,CHAIRMAN,george,370662594,145646,Illinois Wesleyan University
STEVEN WANNEMACHER 2 00,X 0 0 0,TRUSTEE,steven,370662594,145646,Illinois Wesleyan University
DAVID WILKINS 2 00,X 0 0 0,TRUSTEE,david,370662594,145646,Illinois Wesleyan University
ROBERT ZIMMERMAN 2 00,X 0 0 0,TRUSTEE,robert,370662594,145646,Illinois Wesleyan University
CEASAR DOUGLAS 2 00,X 0 0 0,TRUSTEE,ceasar,370662594,145646,Illinois Wesleyan University
MARSHA GUENZLER—STEVENS 2 00,X 0 0 0,TRUSTEE,marsha,370662594,145646,Illinois Wesleyan University
DANIEL JAMESON 2 00,X 0 0 0,TRUSTEE,daniel,370662594,145646,Illinois Wesleyan University
STEVEN RING 2 00,X 0 0 0,TRUSTEE,steven,370662594,145646,Illinois Wesleyan University
JONATHAN GREEN 40 00,"X 183,199 0 41,981",PROVOST,jonathan,370662594,145646,Illinois Wesleyan University
MARTIN SMITH 40 00,"X 160,361 0 39,293",VP ADVANCMNT,martin,370662594,145646,Illinois Wesleyan University
DANIEL P KLOTZBACH 40 00,"X 158,891 0 39,154",VP BUS & FIN,daniel,370662594,145646,Illinois Wesleyan University
KARLA CARNEY—HALL 40 00,"X 137,400 0 35,766",VP STUD AFFR,karla,370662594,145646,Illinois Wesleyan University
MICHAEL SEEBORG 40 00,"X 129,591 0 27,047",PROFESSOR,michael,370662594,145646,Illinois Wesleyan University
DARRYL BROWN 40 00,"X 128,494 0 26,985",PROFESSOR,darryl,370662594,145646,Illinois Wesleyan University
MELWN JETER 40 00,"X 127,700 0 35,058",PROFESSOR,jeter,370662594,145646,Illinois Wesleyan University
MARIO PELUSI 40 00,"X 126,669 0 34,784",PROFESSOR,mario,370662594,145646,Illinois Wesleyan University
BENJAMIN RHODES 40 00,"X 169,457 0 22,382",ASS VP ADVNC,benjamin,370662594,145646,Illinois Wesleyan University
