line1,line2,line3,key,fein,unitid,institutionname
MICHAEL BARHAM 1 00,X 0 0 0,TRUSTEE,michael,370706154,147244,Millikin University
DOUGLAS BASLER 1 00,X 0 0 0,TRUSTEE,douglas,370706154,147244,Millikin University
LUCAS BILLS 1 00,X 0 0 0,TRUSTEE,lucas,370706154,147244,Millikin University
PHILLIP BLANKENBURG 1 00,X 0 0 0,TRUSTEE,phillip,370706154,147244,Millikin University
MIKEL BRIGGS 1 00,X 0 0 0,TRUSTEE,mikel,370706154,147244,Millikin University
ELTA COOKE 1 00,X 0 0 0,TRUSTEE,cooke,370706154,147244,Millikin University
KAREN CRAPSE 1 00,X 0 0 0,TRUSTEE,karen,370706154,147244,Millikin University
VAN DUKEMAN 1 00,X 0 0 0,TRUSTEE,van,370706154,147244,Millikin University
DAVID FERRE 1 00,X 0 0 0,TRUSTEE,david,370706154,147244,Millikin University
DAVID GIERTZ 1 00,X 0 0 0,TRUSTEE,david,370706154,147244,Millikin University
GREG GRIFFIN 1 00,X 0 0 0,TRUSTEE,greg,370706154,147244,Millikin University
TOM HARRINGTRON 1 00,X 0 0 0,TRUSTEE,tom,370706154,147244,Millikin University
DOUGLAS 5 HEIN 1 00,X 0 0 0,TRUSTEE,douglas,370706154,147244,Millikin University
LISA HOLDER WHITE 1 00,X 0 0 0,TRUSTEE,lisa,370706154,147244,Millikin University
DEBRA JOHNSTON 1 00,X 0 0 0,TRUSTEE,debra,370706154,147244,Millikin University
KIMBERLY DICKES KENNEY 1 00,X 0 0 0,TRUSTEE,kimberly,370706154,147244,Millikin University
DONALD MCINTYRE 1 00,X 0 0 0,TRUSTEE,donald,370706154,147244,Millikin University
ROBERT MURRAY 1 00,X 0 0 0,TRUSTEE,robert,370706154,147244,Millikin University
JAMES NEFF 1 00,X 0 0 0,TRUSTEE,james,370706154,147244,Millikin University
RANDY RENTFRO 1 00,X 0 0 0,TRUSTEE,randy,370706154,147244,Millikin University
DOUGLAS SCHMALZ 1 00,X 0 0 0,TRUSTEE,douglas,370706154,147244,Millikin University
MARK STALEY 1 00,X 0 0 0,TRUSTEE,mark,370706154,147244,Millikin University
TRENT THOMPSON 1 00,X 0 0 0,TRUSTEE,trent,370706154,147244,Millikin University
FRANK TYROLT 1 00,X 0 0 0,TRUSTEE,frank,370706154,147244,Millikin University
JAMES VASCIK 1 00,X 0 0 0,TRUSTEE,james,370706154,147244,Millikin University
PHYLLIS WARKENTIN 1 00,X 0 0,TRUSTEE,phyllis,370706154,147244,Millikin University
MELVIN WILSON 1 00,X 0 0,TRUSTEE,melvin,370706154,147244,Millikin University
GARY WORKMAN 1 00,X 0 0,TRUSTEE,gary,370706154,147244,Millikin University
GALE ZACHEIS 1 00,X 0 0,TRUSTEE,gale,370706154,147244,Millikin University
PATRICK WHITE 40 00,"x 120,198 8,972",PRESIDENT,patrick,370706154,147244,Millikin University
RUBY BRASE 40 00,"x 122,000 28,108",VP FINANCE,ruby,370706154,147244,Millikin University
SARAH SHUPENUS 4000,"x 98,900 25,476",VPENROUMENT,sarah,370706154,147244,Millikin University
TATIANA ISAKOVSKI 40 00,"x 117,890 14,444",ASSOC PROFESSOR,tatiana,370706154,147244,Millikin University
SUSAN KRUML 40 00,"x 116,361 15,850",DEAN,susan,370706154,147244,Millikin University
DENNIS SCHWIEGER 40 00,"x 110,546 7,246",INSTRUCTOR,dennis,370706154,147244,Millikin University
