line1,line2,line3,key,fein,unitid,institutionname
(1) MAREDA BABCOCK 1 0,X 0 0 0,BOARD MEMBER,babcock,381358399,170842,Marygrove College
(2) MARYFRANCES BARBER 1 0,X 0 0 0,BOARD MEMBER,maryfrances,381358399,170842,Marygrove College
(3) DIANE DEFRANCIS MUNN 1 0,X 0 0 0,BOARD MEMBER,diane,381358399,170842,Marygrove College
(4) KAY BENESH 1 o,X 0 0 0,BOARD CHAIR,kay,381358399,170842,Marygrove College
(5) ALFRED BINFORD 1 0,X 0 0 0,BOARD MEMBER,alfred,381358399,170842,Marygrove College
(6) ELIZABETH BURNS 1 0,X 0 0 0,SECRETARY OF THE BOARD,elizabeth,381358399,170842,Marygrove College
(7) JOHN CAVANAUGH 1 0,X 0 0 0,BOARD MEMBER,john,381358399,170842,Marygrove College
(8) NANCY GESCHKE 1 0,X 0 0 0,BOARD MEMBER,nancy,381358399,170842,Marygrove College
(9) JAMES HEIMBUCH 1 0,X 0 0 0,BOARD MEMBER,james,381358399,170842,Marygrove College
(10) MARY ANN HINSDALE 1 0,X 0 0 0,BOARD MEMBER,mary,381358399,170842,Marygrove College
(11) SHARON HOLLAND 1 0,X 0 0 0,BOARD MEMBER,sharon,381358399,170842,Marygrove College
(12) DONNA JURICK 1 0,X 0 0 0,BOARD MEMBER,donna,381358399,170842,Marygrove College
(13) MAXINE KOLLASCH 1 0,X 0 0 0,BOARD MEMBER,maxine,381358399,170842,Marygrove College
(14) PATRICIA MCCLUSKEY 1 0,X 0 0 0,VICE CHAIRPERSON,patricia,381358399,170842,Marygrove College
(15) THE HONORABLE LINDA PARKER 1 0,X 0 0 0,BOARD MEMBER,linda,381358399,170842,Marygrove College
(16) ELIZABETH RICHARDS 1 0,X 0 0 0,BOARD MEMBER,elizabeth,381358399,170842,Marygrove College
(17) LEROY RICHIE 1 0,X 0 0 0,BOARD MEMBER,leroy,381358399,170842,Marygrove College
(18) KATHLEEN SCHULTZ 1 0,X 0 0 0,BOARD MEMBER,kathleen,381358399,170842,Marygrove College
(19) DR DAVID FIKE 60 0,"X 269,467 0 21,899",PRESIDENT,david,381358399,170842,Marygrove College
(20) WILLIAM JOHNSONLeft 71413 60 0,"x 111,790 0 1,383",VP OF FINANCE & ADMINISTRATION,william,381358399,170842,Marygrove College
(21) MARJORIE SWAN 60 0,"X 40,267 318",VP FINANCE & ADMINISTRATION,marjorie,381358399,170842,Marygrove College
(22) KENNETH MALECKE 60 0,"X 194,850 0 10,996",VP INSTITUTIONAL ADVANCEMENT,kenneth,381358399,170842,Marygrove College
"OVATIONS DINING SERVICES LLC, PO BOX 261 NEW HUDSON MI48165 DINING SERVICES 1,399,527","CARETECH SOLUTIONS, PO BOX 674271 DETROIT MI48267 TECHNOLOGY SERVICES 803,835","BARNES AND NOBLE, 120 MOUNTAIN VIEW BLVD BASKIN RIDGE NJ 07920 BOOKSTORE 659,208",hudson,381358399,170842,Marygrove College
"BARNES AND NOBLE, 120 MOUNTAIN VIEW BLVD BASKIN RIDGE NJ 07920 BOOKSTORE 659,208","MBS DIRECT, PO BOX 617 COLUMBUS OH 65205 BOOKS FOR MAT 290,168","333 GUTHRIE STREET SUITE 200 LOUISVILLE KY 40202 EDUCATIONAL PARTNER 155,600",mountain,381358399,170842,Marygrove College
