line1,line2,line3,key,fein,unitid,institutionname
Linda Adams 2,X,Board Member 0,linda,381359569,172334,Spring Arbor University
Russ Atherton 2,X,Board Member 0,russ,381359569,172334,Spring Arbor University
Tammy Bailey 4 00,X X,Vice Chairman 0,tammy,381359569,172334,Spring Arbor University
Sarah Bates 2,X,Board Member 0,sarah,381359569,172334,Spring Arbor University
Debra Blews 3,X,Board Member 0,debra,381359569,172334,Spring Arbor University
Dan Boss 3,X,Board Member 0,dan,381359569,172334,Spring Arbor University
Paul Castle 2,X,Board Member 0,paul,381359569,172334,Spring Arbor University
Guy Charles 2,X,Board Member 0,guy,381359569,172334,Spring Arbor University
Harvey Gainey 2,X,Board Member 0,harvey,381359569,172334,Spring Arbor University
Jim Gallogly 3,X,Board Member 0,jim,381359569,172334,Spring Arbor University
Judi Ganton 2,X,Board Member 0,judi,381359569,172334,Spring Arbor University
Mike Helmer 2,X,Board Member 0,mike,381359569,172334,Spring Arbor University
Steven Hogwood 2,X,Board Member 0,steven,381359569,172334,Spring Arbor University
Todd Hunt 2,X,Board Member 0,todd,381359569,172334,Spring Arbor University
Beth Kuntzleman 2,X,Board Member 0,beth,381359569,172334,Spring Arbor University
Herb McLachlan 3,X,Board Member 0,herb,381359569,172334,Spring Arbor University
Gordon Milnes 2,X,Board Member 0,gordon,381359569,172334,Spring Arbor University
Betty Overton—Adkins 2,X,Board Member 0,betty,381359569,172334,Spring Arbor University
Thomas Ramundo 3,X,Board Member 0,thomas,381359569,172334,Spring Arbor University
Faith Small 2,X,Board Member 0,faith,381359569,172334,Spring Arbor University
Dale Stephenson 2,X,Board Member 0,dale,381359569,172334,Spring Arbor University
Dick Townley 2,X,Board Member 0,dick,381359569,172334,Spring Arbor University
Rob Turner 2,X,Board Member 0,rob,381359569,172334,Spring Arbor University
Marvelle Vannest 2,X,Board Member 0,vannest,381359569,172334,Spring Arbor University
Melinda Vokal 2,X,Board Member 0,melinda,381359569,172334,Spring Arbor University
Don Walker 4,X X 0 0 0,Secretary—Treasurer 0,don,381359569,172334,Spring Arbor University
DaVId White 2,X 0 0 0,Board Member 0,david,381359569,172334,Spring Arbor University
Scott WIard 3,X 0 0 0,Board Member 0,scott,381359569,172334,Spring Arbor University
Scott Wieland 2,X 0 0 0,Board Member 0,scott,381359569,172334,Spring Arbor University
Jim Woodcock 5,X X 0 0 0,Vice Chairman 0,jim,381359569,172334,Spring Arbor University
Brent Ellis 50,"X 155,845 0 42,495",PreSIdent 0,brent,381359569,172334,Spring Arbor University
Kimberly Rupert 50,"X 133,019 0 19,780",Provost 0,kimberly,381359569,172334,Spring Arbor University
Charles Webb 50,"X 133,397 0 15,561",PreSIdent 0,charles,381359569,172334,Spring Arbor University
Jerry White 50,"X 125,727 0 48,381",VP for Finance & Administration 0,jerry,381359569,172334,Spring Arbor University
