line1,line2,line3,key,fein,unitid,institutionname
VIctor A SarokI 2,X 0 0 0,Board Member 0,victor,381369604,170675,Lawrence Technological University
Lauren L Bowler 2,X 0 0 0,Board Member 0,lauren,381369604,170675,Lawrence Technological University
Raymond Khan 2,X 0 0 0,Board Member 0,raymond,381369604,170675,Lawrence Technological University
Howard B Padgham 2,X 0 0 0,Board Member 0,howard,381369604,170675,Lawrence Technological University
John G Petty 2,X 0 0 0,Board Member 0,john,381369604,170675,Lawrence Technological University
Lloyd E Reuss 5,X 0 0 0,ChaInnan of the Board 0,lloyd,381369604,170675,Lawrence Technological University
Joseph E Champagne 2,X 0 0 0,Board Member 0,joseph,381369604,170675,Lawrence Technological University
DaVId B Wohleen 2,X 0 0 0,Board Member 0,david,381369604,170675,Lawrence Technological University
Douglas E Ebert 2,X 0 0 0,Board Member 0,douglas,381369604,170675,Lawrence Technological University
FrederIck M Adams Jr 2,X 0 0 0,Board Member 0,frederick,381369604,170675,Lawrence Technological University
Barbara SamardZIch 2,X 0 0 0,Board Member 0,barbara,381369604,170675,Lawrence Technological University
Larry A Lawson 2,X 0 0 0,Board Member 0,larry,381369604,170675,Lawrence Technological University
Larry D Lyons 2,X 0 0 0,Board member 0,larry,381369604,170675,Lawrence Technological University
Marcy Klevorn 2,X 0 0 0,Board Member 0,marcy,381369604,170675,Lawrence Technological University
VIncent G Dow 2,X 0 0 0,Board Member 0,vincent,381369604,170675,Lawrence Technological University
John G SmIth 2,X 0 0 0,Board Member 0,john,381369604,170675,Lawrence Technological University
LInda HeIght 40,"X X X 187,825 0 0",ChIef FInanCIal Ofﬁcer 0,linda,381369604,170675,Lawrence Technological University
Stephen Brown 40,"X X X X 210,310 0 0",VIce PreSIdent of Advancement 0,stephen,381369604,170675,Lawrence Technological University
Samuel McCord 40,"X X 135,780 0 0",Assoaate Provost and Secretary to the BOD 0,samuel,381369604,170675,Lawrence Technological University
NabIl Grace 40,"X X 367,891 0 0",Dean of EngIneerIng 0,nabil,381369604,170675,Lawrence Technological University
MarIa Vaz 40,"X X 216,392 0 0",Provost 0,maria,381369604,170675,Lawrence Technological University
Glen LeRoy 40,"X 188,520 0 0",Dean of ArchItecture 0,glen,381369604,170675,Lawrence Technological University
Joseph Veryser 40,"X 146,518 0 0",UnIverSIty's ArchItect 0,joseph,381369604,170675,Lawrence Technological University
LIsa KUJawa 40,"X 151,816 0 0",Assoaate Provost 0,lisa,381369604,170675,Lawrence Technological University
HSIao—PIng H Moore 40,"X 151,066 0 0",Dean of Arts & SCIence 0,moore,381369604,170675,Lawrence Technological University
TImothy ChaVIs 40,"X 149,771 0 0",ChIef InfonnatIon Ofﬁcer 0,timothy,381369604,170675,Lawrence Technological University
Joseph LWelch 2,X 0 0 0,Board Member 0,joseph,381369604,170675,Lawrence Technological University
Cary BWood 2,X 0 0 0,Board Member 0,cary,381369604,170675,Lawrence Technological University
Mary Ann WrIght 2,X 0 0 0,Board Member 0,mary,381369604,170675,Lawrence Technological University
