line1,line2,line3,key,fein,unitid,institutionname
MARY BAUMAN 1 00,X X 0 0 0,CHAIRPERSON,mary,381381271,170301,Hope College
WILLIAM R BOERSMA 1 00,X X 0 0 0,VICE—CHAIR,william,381381271,170301,Hope College
DAVID W LOWRY 1 00,X X 0 0 0,SECRETARY,david,381381271,170301,Hope College
JOHN C KNAPP 40 00,"X X 195,386 0 41,104",PRESIDENT,john,381381271,170301,Hope College
JEFFREY S ALLEN 1 00,X 0 0 0,TRUSTEE,jeffrey,381381271,170301,Hope College
DAVID M BAST 1 00,X 0 0 0,TRUSTEE,david,381381271,170301,Hope College
ANTHONY R CASTILLO 1 00,X 0 0 0,TRUSTEE,anthony,381381271,170301,Hope College
DAVID B CHARNIN 1 00,X 0 0 0,TRUSTEE,david,381381271,170301,Hope College
THOMAS H CLAUS 1 00,X 0 0 0,TRUSTEE,thomas,381381271,170301,Hope College
ANNIE G DANDAVATI 40 00,"x 81,491 0 21,856",TRUSTEE/PROFESSOR,annie,381381271,170301,Hope College
BARBARA DEPREE 1 00,X 0 0 0,TRUSTEE,barbara,381381271,170301,Hope College
NANCY DIRKSE DEWITT 1 00,X 0 0 0,TRUSTEE,nancy,381381271,170301,Hope College
J LINDSEY DOOD 1 00,X 0 0 0,TRUSTEE,lindsey,381381271,170301,Hope College
KENNETH G ELZINGA 1 00,X 0 0 0,TRUSTEE,kenneth,381381271,170301,Hope College
KENNETH W ERIKS 1 00,X 0 0 0,TRUSTEE,kenneth,381381271,170301,Hope College
THEDORE S ETHERIDGE 1 00,X 0 0 0,TRUSTEE,etheridge,381381271,170301,Hope College
DANIEL GORDON 1 00,X 0 0 0,TRUSTEE,daniel,381381271,170301,Hope College
LISA C GRANGER 1 00,X 0 0 0,TRUSTEE,lisa,381381271,170301,Hope College
TAYLOR W HOLBROOK 1 00,X 0 0 0,TRUSTEE,taylor,381381271,170301,Hope College
JAMES L JURRIES 1 00,X 0 0 0,TRUSTEE,james,381381271,170301,Hope College
MONICA NEWENDORP 1 00,X 0 0 0,TRUSTEE,monica,381381271,170301,Hope College
DEAN L OVERMAN 1 00,X 0 0 0,TRUSTEE,overman,381381271,170301,Hope College
DOUGLAS C RUCH 1 00,X 0 0 0,TRUSTEE,douglas,381381271,170301,Hope College
A PAUL SCHAAP 1 00,X 0 0 0,TRUSTEE,paul,381381271,170301,Hope College
BETH A SNYDER 1 00,X 0 0 0,TRUSTEE,beth,381381271,170301,Hope College
JOANNE STEWART 40 00,"x 81,933 0 9,245",TRUSTEE/PROFESSOR,joanne,381381271,170301,Hope College
DAVID LVAN ANDEL 1 00,X 0 0 0,TRUSTEE,david,381381271,170301,Hope College
MARK VAN GENDEREN 1 00,X 0 0 0,TRUSTEE,mark,381381271,170301,Hope College
D SCOTI' VAN OOSTENDORP 1 00,X 0 0 0,TRUSTEE,van,381381271,170301,Hope College
JILL VER STEEG 1 00,X 0 0 0,TRUSTEE,jill,381381271,170301,Hope College
EMILIE D WIERDA 1 00,X 0 0 0,TRUSTEE,emilie,381381271,170301,Hope College
LESLIE B WONG 1 00,X 0 0 0,TRUSTEE,leslie,381381271,170301,Hope College
THOMAS BYLSMA 40 00,"X 184,805 0 59,912",CFO,thomas,381381271,170301,Hope College
RICHARD A FROST 40 00,"X 133,840 0 51,966",VP OF STUDENT DEVELOPMENT,richard,381381271,170301,Hope College
RICHARD RAY 40 00,"X 168,340 0 29,146",PROVOST,richard,381381271,170301,Hope College
WILLIAM VANDERBILT 40 00,"X 154,840 0 30,223",VP FOR ADMISSIONS,william,381381271,170301,Hope College
DAVE VANDERWEL 40 00,"X 154,187 0 18,676",VP FOR ADVANCEMENT —THROUGH DEC 2013,dave,381381271,170301,Hope College
VP FOR ADVANCEMENT —THROUGH DEC 2013,CARL E HEIDEMAN 40 00,"X 121,650 0 26,977",dec,381381271,170301,Hope College
CARL E HEIDEMAN 40 00,"X 121,650 0 26,977",DIR OF PROCESS/INNOVATION,carl,381381271,170301,Hope College
JOHN KRUPCZAK 40 00,"X 120,338 0 71,364",FACULTY,john,381381271,170301,Hope College
PETER SCHAKEL 40 00,"X 129,148 0 18,388",FACULTY,peter,381381271,170301,Hope College
GREG MAYBURY 40 00,"X 133,770 0 57,184",DIRECTOR—PHYS PLT,greg,381381271,170301,Hope College
TODD STEEN 40 00,"X 130,860 0 23,095",FACULTY,todd,381381271,170301,Hope College
