line1,line2,line3,key,fein,unitid,institutionname
CHARLES MCPHAIL 2 00,X 0 0 0,TRUSTEE,charles,381459365,171599,Olivet College
DAVID LABRECQUE 2 00,X 0 0 0,TRUSTEE,david,381459365,171599,Olivet College
JANET ZEAlTER 2 00,X 0 0 0,TRUSTEE,janet,381459365,171599,Olivet College
GEORGE F FRANCIS III 50,X 0 0 0,TRUSTEE,george,381459365,171599,Olivet College
DAVID E HATHAWAY 2 50,X 0 0 0,TRUSTEE,david,381459365,171599,Olivet College
G ASENATH ANDREWS 50,X 0 0 0,TRUSTEE,andrews,381459365,171599,Olivet College
ROBERT M LAWRENCE 2 50,X 0 0 0,TRUSTEE,robert,381459365,171599,Olivet College
DENNIS DAUGHERTY 2 50,X 0 0 0,TRUSTEE,dennis,381459365,171599,Olivet College
DR ROBERT EWIGLEBEN 2 00,X 0 0 0,TRUSTEE,robert,381459365,171599,Olivet College
JAMEY FITZPATRICK 2 00,X 0 0 0,TRUSTEE,jamey,381459365,171599,Olivet College
ROD HATHAWAY 2 00,X 0 0 0,TRUSTEE,rod,381459365,171599,Olivet College
DR SHARON HOBBS 50,X 0 0 0,TRUSTEE,sharon,381459365,171599,Olivet College
DR TIMOTHY HODGE 2 00,X 0 0 0,TRUSTEE,timothy,381459365,171599,Olivet College
THOMAS HOISINGTON 2 00,X 0 0 0,TRUSTEE,thomas,381459365,171599,Olivet College
JEFF WILDERN 2 00,X 0 0 0,TRUSTEE,jeff,381459365,171599,Olivet College
DAVID T HAYHOW 2 00,X 0 0 0,TRUSTEE,david,381459365,171599,Olivet College
MIKE DIETERLE 2 00,X 0 0 0,TRUSTEE,mike,381459365,171599,Olivet College
DEAN LEWIS 2 00,X 0 0 0,TRUSTEE,lewis,381459365,171599,Olivet College
MAUREEN SMITH 50,X 0 0 0,TRUSTEE,maureen,381459365,171599,Olivet College
KENNETH MILNER 2 00,X 0 0 0,TRUSTEE,kenneth,381459365,171599,Olivet College
DENISE P HOOD 2 00,X 0 0 0,TRUSTEE,denise,381459365,171599,Olivet College
SANDRA BOYER 2 50,X 0 0 0,ASSISTANT SECRETARY,sandra,381459365,171599,Olivet College
THOMAS BURKE 2 50,X 0 0 0,ASSISTANT TREASURER,thomas,381459365,171599,Olivet College
THOMAS E KOLASSA 2 50,X X 0 0 0,CHAIR,thomas,381459365,171599,Olivet College
DOUG FEDERAU 50,X X 0 0 0,VICE CHAIR,doug,381459365,171599,Olivet College
WILLIAM MIDDLEBROOKS 2 00,X X 0 0 0,VICE CHAIR,william,381459365,171599,Olivet College
KAREN LVAN HENTENRYCK 2 50,X X 0 0 0,SECRETARY,karen,381459365,171599,Olivet College
STANLEY F DOLE JR 3 00,X X 0 0 0,TREASURER,stanley,381459365,171599,Olivet College
DR STEVEN M COREY 40 00,"X 214,720 0 20,341",PRESIDENT,steven,381459365,171599,Olivet College
WILLIAM C KURTZ 40 00,"X 114,955 0 14,136",VP & CFO,william,381459365,171599,Olivet College
MARIA DAVIS 40 00,"x 120,664 0 4,266",VP & ACADEMIC DEAN,maria,381459365,171599,Olivet College
