line1,line2,line3,key,fein,unitid,institutionname
SR ROSE MARIE KUJAWA 40 00,X X 0 0 0,PRESIDENT,rose,381498763,170806,Madonna University
CAROL ANN FAUSONE,X 0 0 0,TRUSTEE,carol,381498763,170806,Madonna University
FRANCIS BERKEMEIER,X 0 0 0,TRUSTEE,francis,381498763,170806,Madonna University
RICHARD A WALAWENDER,X 0 0 0,TRUSTEE,richard,381498763,170806,Madonna University
SUSAN M OSTROWSKI,X 0 0 0,TRUSTEE,susan,381498763,170806,Madonna University
SR JANET MARIE ADAMCZYK,X 0 0 0,TRUSTEE,janet,381498763,170806,Madonna University
MICHAEL EDGAR,X 0 0 0,TRUSTEE,michael,381498763,170806,Madonna University
JAMES LUBAWSKI,X 0 0 0,TRUSTEE,james,381498763,170806,Madonna University
SHENLIN CHEN,X 0 0 0,TRUSTEE,chen,381498763,170806,Madonna University
JOHN P LANDIS,X 0 0 0,TRUSTEE,john,381498763,170806,Madonna University
TERRY NILES,X 0 0 0,TRUSTEE,terry,381498763,170806,Madonna University
BISHOP DONALD F HANCHON,X 0 0 0,TRUSTEE,bishop,381498763,170806,Madonna University
DR STEVEN HARTE,X 0 0 0,TRUSTEE,steven,381498763,170806,Madonna University
MICHAELC MURPHY,X 0 0 0,TRUSTEE,murphy,381498763,170806,Madonna University
CLIFFORD SNYDER,X 0 0 0,TRUSTEE,clifford,381498763,170806,Madonna University
MONSIGNOR THOMAS C MACHALSKI JR,X 0 0 0,TRUSTEE,thomas,381498763,170806,Madonna University
FR JIM MCNULTY,X 0 0 0,TRUSTEE,jim,381498763,170806,Madonna University
HON MICHAELJ TALBOT,X 0 0 0,TRUSTEE,hon,381498763,170806,Madonna University
DR TARIK DAOUD,X 0 0 0,TRUSTEE,tarik,381498763,170806,Madonna University
MICHAEL OBLOY,X 0 0 0,TRUSTEE,michael,381498763,170806,Madonna University
EILEEN ASHLEY,X 0 0 0,TRUSTEE,eileen,381498763,170806,Madonna University
DR LEONARD GLINSKI,X 0 0 0,TRUSTEE,leonard,381498763,170806,Madonna University
MONSIGNOR JOHN ZENZ,X 0 0 0,TRUSTEE,john,381498763,170806,Madonna University
RAYMOND LOZANO,X 0 0 0,TRUSTEE,raymond,381498763,170806,Madonna University
VALERIE M OLTMANNS,X 0 0 0,TRUSTEE,valerie,381498763,170806,Madonna University
DR DAVID M THOMS,X 0 0 0,TRUSTEE,david,381498763,170806,Madonna University
DR WALTER KNYSZ JR,X 0 0 0,TRUSTEE,walter,381498763,170806,Madonna University
MONSIGNOR TODD LAJINESS,X 0 0 0,TRUSTEE,todd,381498763,170806,Madonna University
DR ERNEST NOLAN 40 00,"X 152,142 0 36,154",VP ACADEMIC,ernest,381498763,170806,Madonna University
DAVID M HOULE 40 00,"X 116,073 0 35,963",VP FACILITIE,david,381498763,170806,Madonna University
CONNIE TINGSON GATUZ 40 00,"X 107,043 0 30,408",VPSTUDENTL,connie,381498763,170806,Madonna University
JAMES O'NEILL 40 00,"x 91,698 0 25,764",VPACCREDHﬁ,james,381498763,170806,Madonna University
LEONARD WILHELM 40 00,"x 84,547 0 10,498",VP BUSINESS,leonard,381498763,170806,Madonna University
DEBORAH DUNN 4000,"X 134,013 0 13,884",DEAN,deborah,381498763,170806,Madonna University
DENNIS BOZYK 40 00,"X 113,981 0 11,012",ASSOC PROFES,dennis,381498763,170806,Madonna University
