line1,line2,line3,key,fein,unitid,institutionname
Melanie Bergeron 0 00,X 0 0 0,Trustee 0 00,melanie,381624684,227243,Northwood University-Texas
Richard J Garber 0 00,X 0 0 0,Trustee 0 00,richard,381624684,227243,Northwood University-Texas
Terry L Neese 0 00,X 0 0 0,Trustee 0 00,terry,381624684,227243,Northwood University-Texas
James C Fabiano II 0 00,X 0 0 0,Trustee 0 00,james,381624684,227243,Northwood University-Texas
Edward J McBrien 0 00,X 0 0 0,Trustee 0 00,edward,381624684,227243,Northwood University-Texas
Kathleen M Vertln 0 00,X 0 0 0,Trustee 0 00,kathleen,381624684,227243,Northwood University-Texas
John A Hohman 0 00,X 0 0 0,Trustee 0 00,john,381624684,227243,Northwood University-Texas
Lambert E Althaver 0 00,X 0 0 0,Trustee 0 00,lambert,381624684,227243,Northwood University-Texas
Phillip D Brady 0 00,X 0 0 0,Trustee 0 00,phillip,381624684,227243,Northwood University-Texas
Daniel G DeVos 0 00,X 0 0 0,Trustee 0 00,daniel,381624684,227243,Northwood University-Texas
Noelle M Walsh 0 00,X 0 0 0,Trustee 0 00,noelle,381624684,227243,Northwood University-Texas
Robert Grubb 0 00,X 0 0 0,Trustee 0 00,robert,381624684,227243,Northwood University-Texas
John J Ferron 0 00,X 0 0 0,Trustee 0 00,john,381624684,227243,Northwood University-Texas
PatrICIa Riley 0 00,X 0 0 0,Trustee 0 00,patricia,381624684,227243,Northwood University-Texas
John R Hantz 0 00,X 0 0 0,Trustee 0 00,john,381624684,227243,Northwood University-Texas
Lyttleton T Harris 1V 0 00,X 0 0 0,Trustee 0 00,harris,381624684,227243,Northwood University-Texas
James O Hutcheson 0 00,X 0 0 0,Trustee 0 00,james,381624684,227243,Northwood University-Texas
Donald W Taylor 0 00,X 0 0 0,Trustee 0 00,donald,381624684,227243,Northwood University-Texas
PatrICIa L Naegele 0 00,X 0 0 0,Trustee 0 00,patricia,381624684,227243,Northwood University-Texas
William A Parlberg 0 00,X 0 0 0,Trustee 0 00,william,381624684,227243,Northwood University-Texas
Maureen L Smith 0 00,X 0 0 0,Trustee 0 00,maureen,381624684,227243,Northwood University-Texas
Allen B West 0 00,X 0 0 0,Trustee 0 00,allen,381624684,227243,Northwood University-Texas
0 Temple Sloan III 0 00,X 0 0 0,Trustee 0 00,temple,381624684,227243,Northwood University-Texas
Albert F Zehnder 0 00,X 0 0 0,Trustee 0 00,albert,381624684,227243,Northwood University-Texas
Keith A Pretty JD 60 00,"X 346,781 0 69,613",PreSIdent & CEO 0 00,keith,381624684,227243,Northwood University-Texas
Tom L Duncan PhD 60 00,"X 146,603 0 15,820",PreSIdent — FL 0 00,tom,381624684,227243,Northwood University-Texas
Kristin Stehouwer PhD 60 00,"X 193,855 0 14,925",Vice PreSIdent 0 00,kristin,381624684,227243,Northwood University-Texas
Timothy G Nash EdD 60 00,"X 183,819 0 12,218",Vice PreSIdent 0 00,timothy,381624684,227243,Northwood University-Texas
KeVIn G Fegan EdD 60 00,"X 153,958 0 15,054",PreSIdent — TX 0 00,kevin,381624684,227243,Northwood University-Texas
William Karl Stephan MBA 60 00,"x 175,083 0 8,306",Vice PreSIdent 0 00,william,381624684,227243,Northwood University-Texas
Arnold D'AmbrOSIo 60 00,"X 226,016 0 22,682",Vice PreSIdent 0 00,arnold,381624684,227243,Northwood University-Texas
William Bateman DBA 60 00,"X 155,064 0 12,619",PreSIdent — MI 0 00,william,381624684,227243,Northwood University-Texas
Brian E Sandusky Ph D 60 00,"X 149,534 0 15,918",Vice PreSIdent 0 00,brian,381624684,227243,Northwood University-Texas
Lawrence Lindsey 60 00,"x 91,386 0 9,623",PreSIdent MI 0 00,lawrence,381624684,227243,Northwood University-Texas
Richard Ebeling 60 00,"X 110,910 0 13,246",Professor 0 00,richard,381624684,227243,Northwood University-Texas
Rhonda Anderson 60 00,"X 112,156 0 12,396",Assoc Dean 0 00,rhonda,381624684,227243,Northwood University-Texas
Lisa Fairbairn 60 00,"X 176,966 0 16,484",Dean of RDGSM 0 00,lisa,381624684,227243,Northwood University-Texas
DaVId Rausch 60 00,"x 119,187 0 6,873",DeVos Administrati 0 00,david,381624684,227243,Northwood University-Texas
