line1,line2,line3,key,fein,unitid,institutionname
Ms Natalie A Black 1 00,X 0 0 0,Trustee,natalie,390806251,239105,Marquette University
MrJohn F Ferraro 1 00,X 0 0 0,Trustee,ferraro,390806251,239105,Marquette University
Mr Richard J Fotsch 1 00,X 0 0 0,Trustee,richard,390806251,239105,Marquette University
Rev James G Gartland SJ 1 00,X 0 0 0,Trustee,james,390806251,239105,Marquette University
Mr Darren R Jackson 1 00,X 0 0 0,Trustee,darren,390806251,239105,Marquette University
Mr James F Janz 1 00,X 0 0 0,Trustee,james,390806251,239105,Marquette University
Rev Timothy R Lannon SJ 1 00,X 0 0 0,Trustee,timothy,390806251,239105,Marquette University
Rev Thomas A Lawler SJ 1 00,X 0 0 0,Trustee,thomas,390806251,239105,Marquette University
Mr Patrick 5 Lawton 1 00,X 0 0 0,Trustee,patrick,390806251,239105,Marquette University
MrJohn P Lynch 1 00,X 0 0 0,Trustee,lynch,390806251,239105,Marquette University
Mr Alfred C McGUIre 1 00,X 0 0 0,Trustee,alfred,390806251,239105,Marquette University
Ms Kelly McShane 1 00,X 0 0 0,Trustee,kelly,390806251,239105,Marquette University
Dr Arnold L Mitchem 1 00,X 0 0 0,Trustee,arnold,390806251,239105,Marquette University
Rev Joseph M O'Keefe SJ 1 00,X 0 0 0,Trustee,joseph,390806251,239105,Marquette University
Mr James D O'Rourke 1 00,X 0 0 0,Trustee,james,390806251,239105,Marquette University
Dr Janis M Orlowski MD MACP 1 00,X 0 0 0,Trustee,janis,390806251,239105,Marquette University
Ms Kristine A Rappe 1 00,X 0 0 0,Trustee,kristine,390806251,239105,Marquette University
Mr Glenn A Rivers 1 00,X 0 0 0,Trustee,glenn,390806251,239105,Marquette University
Mr Scott A Roberts 1 00,X 0 0 0,Trustee,scott,390806251,239105,Marquette University
Hon W Greg Ryberg 1 00,X 0 0 0,Trustee,hon,390806251,239105,Marquette University
Mr Scott H Schroeder 1 00,X 0 0 0,Trustee,scott,390806251,239105,Marquette University
Mr Owen J Sullivan 1 00,X 0 0 0,Trustee,owen,390806251,239105,Marquette University
Mr Charles M Swoboda 1 00,X 0 0 0,Trustee,charles,390806251,239105,Marquette University
Ms Cherryl T Thomas 1 00,X 0 0 0,Trustee,cherryl,390806251,239105,Marquette University
Mr Benjamin 5 Tracy 1 00,X 0 0 0,Trustee,benjamin,390806251,239105,Marquette University
Ms Margaret M Troy 1 00,X 0 0 0,Trustee,margaret,390806251,239105,Marquette University
Ms Rhona Vogel 1 00,X 0 0 0,Trustee,rhona,390806251,239105,Marquette University
MrJames M Weiss 1 00,X 0 0 0,Trustee,weiss,390806251,239105,Marquette University
Mr Thomas H Werner 1 00,X 0 0 0,Trustee,thomas,390806251,239105,Marquette University
Hon James A Wynn 1 00,X 0 0 0,Trustee,hon,390806251,239105,Marquette University
Rev Michael A Zampelli SJ 1 00,X 0 0 0,Trustee,michael,390806251,239105,Marquette University
Ms Anne A Zizzo 1 00,X 0 0 0,Trustee,anne,390806251,239105,Marquette University
Rev Scott R Pilarz SJ 40 00,"X 157,890 0 0",PreSIdent,scott,390806251,239105,Marquette University
Rev Robert A Wild SJ 40 00,X 0 0 0,PreSIdent,robert,390806251,239105,Marquette University
Dr Margaret F Callahan 40 00,"X 291,836 0 0",Corp Vice PreSIdent,margaret,390806251,239105,Marquette University
MrJohn C Lamb 40 00,"X 316,833 0 0",Corp Treasurer,lamb,390806251,239105,Marquette University
Ms Mary L Austin 40 00,"X 185,545 0 0",Corp Asst Treasurer,mary,390806251,239105,Marquette University
Mr Steven W Frieder 40 00,"X 111,471 0 0",Corp Secretary,steven,390806251,239105,Marquette University
Ms Cynthia M Bauer 40 00,"X 227,347 0 0",Corp Asst Secretary,bauer,390806251,239105,Marquette University
Dr Mary A DiStanislao 40 00,"X 233,618 0 0",Executive Vice PreSIdent,mary,390806251,239105,Marquette University
Mr Lawrence R Williams 40 00,"X 416,594 0 0",Athletic Director,lawrence,390806251,239105,Marquette University
Mr Thomas P Ganey 40 00,"X 215,712 0 0",Vice PreSIdent of Planning,thomas,390806251,239105,Marquette University
Mr Brent L Williams 40 00,"x 2,111,606 0 0",Mens Basketball Coach,brent,390806251,239105,Marquette University
Ms Terri L Mitchell 40 00,"X 446,523 0 0",Womens Basketball Coach,terri,390806251,239105,Marquette University
Mr Joseph D Kearney 40 00,"X 319,935 0 0",Dean Law School,joseph,390806251,239105,Marquette University
Mr Isaac Chew 40 00,"X 319,576 0 0",Asst Mens Basketball Coach,isaac,390806251,239105,Marquette University
Dr Robert H Bishop 40 00,"X 307,087 0 0",Dean Engineering,robert,390806251,239105,Marquette University
Mr Gregory J Kliebhan,"X 346,685 0 0",Former Corp VP,gregory,390806251,239105,Marquette University
Dr John J Pauly 40 00,"X 275,681 0 0",Former Corp VP,john,390806251,239105,Marquette University
