line1,line2,line3,key,fein,unitid,institutionname
Janet D MartIn 1,X 0 0 0,Board Member,janet,390806263,238193,Alverno College
Marc McSweeney 1,X 0 0 0,Board Member,marc,390806263,238193,Alverno College
RegIna PacIs Meservey 1,X 0 0 0,Board Member,regina,390806263,238193,Alverno College
AbIgaIlJ Nash 1,X 0 0 0,Board Member,nash,390806263,238193,Alverno College
KrIstIne Obrecht 1,X 0 0 0,Board Member,kristine,390806263,238193,Alverno College
Paul E Purcell 1,X 0 0 0,Board Member,paul,390806263,238193,Alverno College
AJIta RaJendra 1,X 0 0 0,Board Member,rajendra,390806263,238193,Alverno College
Roy ReIman 1,X 0 0 0,Board Member,roy,390806263,238193,Alverno College
Mary C SchneIder 1,X 0 0 0,Board Member,mary,390806263,238193,Alverno College
Marsha Sehler 1,X 0 0 0,Board Member,marsha,390806263,238193,Alverno College
Barbara J Wyatt SIbley 1,X 0 0 0,Board Member,barbara,390806263,238193,Alverno College
Mary Meehan 40,"X 287,751 0 30,933",PreSIdent,mary,390806263,238193,Alverno College
James Oppermann 40,"X 147,710 0 24,978",SVP of FInance,james,390806263,238193,Alverno College
Kathleen O'BrIen 40,"X 130,400 0 18,247",SVP of AcademIc AffaIrs,kathleen,390806263,238193,Alverno College
JulIe Qumlan 40,"X 124,349 0 15,230",VP of Advancement,julie,390806263,238193,Alverno College
Kathleen Lake 40,"X 105,736 0 19,853",VP of Student Success,kathleen,390806263,238193,Alverno College
VP of Student Success,KatherIne Lundeen 40,"x 83,979 0 14,398",success,390806263,238193,Alverno College
KatherIne Lundeen 40,"x 83,979 0 14,398",VP of Enrollment,katherine,390806263,238193,Alverno College
PatrIcIa Schroeder 40,"X 109,207 0 15,294",Dean,patricia,390806263,238193,Alverno College
James HIlby 40,"x 99,974 0 16,995",ChIef InfonnatIon OffIcer,james,390806263,238193,Alverno College
Mary DIez 40,"x 93,813 0 13,431",Dean & Professor,mary,390806263,238193,Alverno College
SebastIan Thachenkary 40,"x 93,543 0 6,345",DIrector of MarketIng CommunIcatIons,sebastian,390806263,238193,Alverno College
CelIa Jackson 40,"x 92,087 0 13,634",ExecutIve DIrector InternatIonal & Intercultural,celia,390806263,238193,Alverno College
