line1,line2,line3,key,fein,unitid,institutionname
ALICE CROFTS MORAVA 1 00,X 0 0 0,TRUSTEE,alice,390806325,238458,Carroll University
ANTHONY BRYANT 1 00,X 0 0 0,TRUSTEE,anthony,390806325,238458,Carroll University
CHARMAINE PONKRATZ 1 00,X 0 0 0,TRUSTEE,charmaine,390806325,238458,Carroll University
CINDY MAYORAS 1 00,X 0 0 0,TRUSTEE,cindy,390806325,238458,Carroll University
DEBORAH BLOCK 1 00,X 0 0 0,TRUSTEE,deborah,390806325,238458,Carroll University
DENNIS PUNCHES 1 00,X 0 0 0,TRUSTEE,dennis,390806325,238458,Carroll University
GUY DISPIGNO 1 00,X 0 0 0,TRUSTEE,guy,390806325,238458,Carroll University
JACK LOPPNOW 1 00,X 0 0 0,TRUSTEE,jack,390806325,238458,Carroll University
JAMES DEJONG 1 00,X 0 0 0,TRUSTEE,james,390806325,238458,Carroll University
JAMES SCHNEIDER 1 00,X 0 0 0,TRUSTEE,james,390806325,238458,Carroll University
JOANNE BRANDES 1 00,X 0 0 0,TRUSTEE,joanne,390806325,238458,Carroll University
JOSE OLIVIERI 1 00,X 0 0 0,TRUSTEE,jose,390806325,238458,Carroll University
PERSHING E MACALLISTER 1 00,X 0 0 0,TRUSTEE,pershing,390806325,238458,Carroll University
RUSSELL HARLAND 1 00,X 0 0 0,TRUSTEE,russell,390806325,238458,Carroll University
TED BAKER 1 00,X 0 0 0,TRUSTEE,ted,390806325,238458,Carroll University
TERRY M MURPHY 1 00,X 0 0 0,TRUSTEE,terry,390806325,238458,Carroll University
TIMOTHY HANDO 1 00,X 0 0 0,TRUSTEE,timothy,390806325,238458,Carroll University
TIMOTHY SULLIVAN 1 00,X 0 0 0,TRUSTEE,timothy,390806325,238458,Carroll University
TY TAYLOR 1 00,X 0 0 0,TRUSTEE,ty,390806325,238458,Carroll University
DORVAL CARTER 1 00,X 0 0 0,TRUSTEE,dorval,390806325,238458,Carroll University
LYNDA JOHNSON 1 00,X 0 0 0,TRUSTEE,lynda,390806325,238458,Carroll University
RENEE RAMIREZ 1 00,X 0 0 0,TRUSTEE,renee,390806325,238458,Carroll University
HOWARD FULLER 1 00,X 0 0 0,TRUSTEE,howard,390806325,238458,Carroll University
JOSEPH ZVESPER 1 00,X 0 0 0,TRUSTEE,joseph,390806325,238458,Carroll University
REYNOLDS CHALLONER 1 00,X 0 0 0,TRUSTEE,reynolds,390806325,238458,Carroll University
JEFFERSON DEANGELIS 1 00,X 0 0 0,TRUSTEE,jefferson,390806325,238458,Carroll University
DOUGLAS HASTAD 40 00,"X 408,719 0 80,144",PRESIDENT,douglas,390806325,238458,Carroll University
JAMES V WISEMAN III 40 00,"X 256,852 0 30,230",VP FOR ENROLLMENT,james,390806325,238458,Carroll University
JOANNE PASSARO 40 00,"X 301,754 0 47,273",VP FOR ACADEMIC AFFAIRS,joanne,390806325,238458,Carroll University
RONALD LOSTETTER 40 00,"X 319,122 0 62,274",VP OF FINANCE,ronald,390806325,238458,Carroll University
STEPHEN KUHN 40 00,"X 262,699 0 39,881",VP OF ADVANCEMENT,stephen,390806325,238458,Carroll University
DEBRA JENKINS 40 00,"X 151,730 0 28,547",CHIEF INFORMATION OFFICER,debra,390806325,238458,Carroll University
GREGORY KUHLEMEYER 40 00,"X 134,698 0 13,341",ASSOC PROF OF BUSINESS,gregory,390806325,238458,Carroll University
JANE HOPP 40 00,"X 142,733 0 14,789","DEAN, DIV OF NATURAL & HLT",jane,390806325,238458,Carroll University
JOSEPH BAKER 40 00,"X 157,075 0 15,520",DIR OF INTERCOLLEGIATE ATHLETICS,joseph,390806325,238458,Carroll University
THERESA BARRY 40 00,"X 162,432 0 30,262",DEAN OF STUDENTS,theresa,390806325,238458,Carroll University
