line1,line2,line3,key,fein,unitid,institutionname
Mark Polzin _ 0.1,Board Member 0 v/ 0 0 0,Hon Kenneth Bowman 0.10,mark,390833608,238616,Concordia University-Wisconsin
Hon Kenneth Bowman 0.10,Board Member 0 i/ 0 0 0,Janice Wendorf 0.10,hon,390833608,238616,Concordia University-Wisconsin
Janice Wendorf 0.10,Board Member 0 v/ 0 0 0,Rev John Wille 0.1,janice,390833608,238616,Concordia University-Wisconsin
Rev John Wille 0.1,Board Member 0 r/ 0 0 0,Robert Seefeld 0.1,john,390833608,238616,Concordia University-Wisconsin
Robert Seefeld 0.1,Board Member 0 i/ 0 0 0,Susan Groth 0.1,robert,390833608,238616,Concordia University-Wisconsin
Susan Groth 0.1,Board Member 0 i/ 0 0 0,Terry Donovan 0.1,susan,390833608,238616,Concordia University-Wisconsin
Terry Donovan 0.1,Board Member-Vice Chairman 0 i/ 0 0 0,Dwayne Jobst 0.1,terry,390833608,238616,Concordia University-Wisconsin
Dwayne Jobst 0.1,LCMS - Advisory o v/ o 0 0,Dr Karl Kreft 0.1,dwayne,390833608,238616,Concordia University-Wisconsin
Dr Karl Kreft 0.1,Board Member 0 v/ 0 0 0,Dcs Lynnette Fredericksen 0.1,karl,390833608,238616,Concordia University-Wisconsin
Dcs Lynnette Fredericksen 0.1,Board Member 0 i/ 0 0 0,Robert Schjerven 0.1,lynnette,390833608,238616,Concordia University-Wisconsin
Robert Schjerven 0.1,Board Member- Chairman 0 i/ 0 0 0,Lany Floyd 0.1,robert,390833608,238616,Concordia University-Wisconsin
Lany Floyd 0.1,Board Member 0 I 0 o 0,Ruth Koch 0.1,floyd,390833608,238616,Concordia University-Wisconsin
Ruth Koch 0.1,Board Member 0 v/ o o 0,Christine Specht 0.1,ruth,390833608,238616,Concordia University-Wisconsin
John Stcllenwerk 0.1.,CUW Foundation-Advisory 0 v/ 0 0 0,Rev Nathan Meador 0.1,john,390833608,238616,Concordia University-Wisconsin
Rev Nathan Meador 0.1,Board Member 0 v/ 0 0 0,Rev Dwayne Lueck 0.1,nathan,390833608,238616,Concordia University-Wisconsin
Rev Dwayne Lueck 0.1,1 LCMS - Advisory o v/ o o o,1 Rev David Maier 0.1,dwayne,390833608,238616,Concordia University-Wisconsin
1 Rev David Maier 0.1,1 LCMS- Advisory o I o o o,‘ Allen Prochnow 40,david,390833608,238616,Concordia University-Wisconsin
‘ Allen Prochnow 40,"i Exec VP & coo o 1/ 175,569 0 43,488",Andrew Luptak 40,allen,390833608,238616,Concordia University-Wisconsin
Andrew Luptak 40,"Vice President 0 1/ 53,640 0 29,118",Thomas Phillip ____ __ 40,andrew,390833608,238616,Concordia University-Wisconsin
Thomas Phillip ____ __ 40,"Vice President 0 / 114,530 0 34,230",Anita Clark 40,thomas,390833608,238616,Concordia University-Wisconsin
Anita Clark 40,"Vice President 0 1/ 124,673 0 35,910",1 William Cario 4o,anita,390833608,238616,Concordia University-Wisconsin
1 William Cario 4o,"1 Sr. Vice President 0 1/ 56,655 0 37,896",Patrick T Ferry 40,william,390833608,238616,Concordia University-Wisconsin
Patrick T Ferry 40,"President 0 J 145,572 0 45,786",Kenneth Gaschk 40,patrick,390833608,238616,Concordia University-Wisconsin
Kenneth Gaschk 40,"Vice President 0 I 131,593 0 37,154",Joan Scholz 40,kenneth,390833608,238616,Concordia University-Wisconsin
Joan Scholz 40,"Vice President 0 r/ 97,245 0 33,486",Roy Peterson 40,joan,390833608,238616,Concordia University-Wisconsin
Roy Peterson 40,"Vice President 0 / 71,750 0 20,024",Sarah Holtan 40,roy,390833608,238616,Concordia University-Wisconsin
Gretchen Jameson 40,"Vice President 0 v/ o 0 12,837",Dr Linda Samuel 40,gretchen,390833608,238616,Concordia University-Wisconsin
Dr Linda Samuel 40,"Director of or Prog o J 171,470 0 42,558",Dr Dean Arneson 40,linda,390833608,238616,Concordia University-Wisconsin
Dr Dean Arneson 40,"Dean of School of Phanncy 0 / 201,732 0 34,524",Curt Gielow 40,arneson,390833608,238616,Concordia University-Wisconsin
Curt Gielow 40,"Dean - School of Pharmacy 0 / 175,505 0 37,138",Dr Teresa Kaul 40,curt,390833608,238616,Concordia University-Wisconsin
Dr Teresa Kaul 40,"MSN & DNP Prog Dir 0 / 174,022 0 19,922",Dr Ernie Stremski 40,teresa,390833608,238616,Concordia University-Wisconsin
Dr Ernie Stremski 40,"Pharmacy Prore scr 0 / 150,825 0 37,554","1b Sub-total . . . . . . . . . . . . . D 1,910,531 0 523,232",ernie,390833608,238616,Concordia University-Wisconsin
