line1,line2,line3,key,fein,unitid,institutionname
AMY CONNOLLY 1 00,X 0 0 0,TRUSTEE,amy,390978445,240107,Viterbo University
BARBARA A SKOGEN 1 00,X 0 0 0,TRUSTEE,barbara,390978445,240107,Viterbo University
BERNARD P ALDRICH 1 00,X 0 0 0,TRUSTEE,bernard,390978445,240107,Viterbo University
CHARLES D GELATT JR 1 00,X 0 0 0,TRUSTEE,charles,390978445,240107,Viterbo University
CONNIE DELANEY 1 00,X 0 0 0,TRUSTEE,connie,390978445,240107,Viterbo University
DEAN H JANKE 1 00,X 0 0 0,TRUSTEE,janke,390978445,240107,Viterbo University
DONALD J WEBER 1 00,X 0 0 0,TRUSTEE,donald,390978445,240107,Viterbo University
DONNA L HANSEN 1 00,X 0 0 0,TRUSTEE,donna,390978445,240107,Viterbo University
GERALD A BALDNER 1 00,X 0 0 0,TRUSTEE,gerald,390978445,240107,Viterbo University
JACK C RUSCH 1 00,X 0 0 0,TRUSTEE,jack,390978445,240107,Viterbo University
JAMES G BIRNBAUM 1 00,X 0 0 0,TRUSTEE,james,390978445,240107,Viterbo University
JOHN G DESMOND 1 00,X 0 0 0,TRUSTEE,john,390978445,240107,Viterbo University
KAREN M DRAZKOWSKI 1 00,X 0 0 0,TRUSTEE,karen,390978445,240107,Viterbo University
KENT C HANDEL 1 00,X 0 0 0,TRUSTEE,kent,390978445,240107,Viterbo University
LEEANN MATHY 1 00,X 0 0 0,TRUSTEE,leeann,390978445,240107,Viterbo University
LETICIA E PENA 1 00,X 0 0 0,TRUSTEE,leticia,390978445,240107,Viterbo University
MARK V CONNELLY MD 1 00,X 0 0 0,TRUSTEE,mark,390978445,240107,Viterbo University
NOLA JO RATLIFF—COBB 1 00,X 0 0 0,TRUSTEE,nola,390978445,240107,Viterbo University
REV JON PATRICK MURPHY 1 00,X 0 0 0,TRUSTEE,jon,390978445,240107,Viterbo University
REV ROBERT J COOK 1 00,X 0 0 0,TRUSTEE,robert,390978445,240107,Viterbo University
RICHARD ARTMAN 40 00,"X X 284,774 0 29,556",PRESIDENT,richard,390978445,240107,Viterbo University
RICHARD T LOMMEN JR 1 00,X 0 0 0,TRUSTEE,richard,390978445,240107,Viterbo University
S KAREN E KAPPELL FSPA 1 00,X 0 0 0,TRUSTEE,karen,390978445,240107,Viterbo University
S LUCY ANN MEYER FSPA 1 00,X 0 0 0,TRUSTEE,lucy,390978445,240107,Viterbo University
S MARIE D DES JARLAIS FSPA 1 00,X 0 0 0,TRUSTEE,marie,390978445,240107,Viterbo University
SR FRAN D FERDER FSPA 1 00,X 0 0 0,TRUSTEE,fran,390978445,240107,Viterbo University
SR MARY ANN GSCHWIND FSPA 1 00,X 0 0 0,TRUSTEE,mary,390978445,240107,Viterbo University
SR ROMANA KLAUBAUF FSPA 1 00,X 0 0 0,TRUSTEE,romana,390978445,240107,Viterbo University
SR SUE M ERNSTER FSPA 1 00,X 0 0 0,TRUSTEE,sue,390978445,240107,Viterbo University
SR CORRINA THOMAS FSPA 1 00,X 0 0 0,TRUSTEE,corrina,390978445,240107,Viterbo University
TIMOTHY J JOHNSON 1 00,X 0 0 0,TRUSTEE,timothy,390978445,240107,Viterbo University
BARBARA GAYLE 40 00,"X 137,651 0 13,419",ACADEMIC VICE PRESIDENT,barbara,390978445,240107,Viterbo University
TODD ERICSON 40 00,"X 132,704 0 22,294",SECRETARY/TREASURER,todd,390978445,240107,Viterbo University
CHRISTINE VALENTI 40 00,"X 129,772 0 21,502","DIRECTOR, OFF—CAMPUS GRADU",christine,390978445,240107,Viterbo University
GARY KLEIN 40 00,"X 127,371 0 21,982",VP INSTITUTIONAL ADVANCEME,gary,390978445,240107,Viterbo University
GLENA TEMPLE 40 00,"x 106,808 0 5,691","DEAN, SCHOOL OF LETTERS/SC",temple,390978445,240107,Viterbo University
