line1,line2,line3,key,fein,unitid,institutionname
(1) ALLISON SMITH 1 00,X 0 0 0,TRUSTEE,allison,391201561,239309,Milwaukee Institute of Art & Design
(2) DAVE FLORIN 1 00,X 0 0 0,TRUSTEE,dave,391201561,239309,Milwaukee Institute of Art & Design
(3) DEANNA TILLISCH 1 00,X 0 0 0,TRUSTEE,deanna,391201561,239309,Milwaukee Institute of Art & Design
(4) JIM WIEMER 1 00,X 0 0 0,TRUSTEE,jim,391201561,239309,Milwaukee Institute of Art & Design
(5) JASON ALLEN 1 00,X X 0 0 0,TREASURER,jason,391201561,239309,Milwaukee Institute of Art & Design
(6) JENNIFER HANSEN 1 00,X 0 0 0,TRUSTEE,jennifer,391201561,239309,Milwaukee Institute of Art & Design
(7) JEREMY SHAMROWICZ 1 00,X 0 0 0,TRUSTEE,jeremy,391201561,239309,Milwaukee Institute of Art & Design
(8) JERRY BENJAMIN 1 00,X 0 0 0,TRUSTEE,jerry,391201561,239309,Milwaukee Institute of Art & Design
(9) JILL MORIN 1 00,X 0 0 0,TRUSTEE,jill,391201561,239309,Milwaukee Institute of Art & Design
(10) JENNIFER FLORSHEIM 1 00,X 0 0 0,TRUSTEE,jennifer,391201561,239309,Milwaukee Institute of Art & Design
(11) JUDY GUTEN 1 00,X 0 0 0,TRUSTEE,judy,391201561,239309,Milwaukee Institute of Art & Design
(12) JUSTIN MORTARA 1 00,X 0 0 0,TRUSTEE,justin,391201561,239309,Milwaukee Institute of Art & Design
(13) LAWRENCE MOON 1 00,X 0 0 0,TRUSTEE,lawrence,391201561,239309,Milwaukee Institute of Art & Design
(14) LINDA MARCUS 1 00,X 0 0 0,TRUSTEE,linda,391201561,239309,Milwaukee Institute of Art & Design
(15) MADELEINE KELLY LUBAR 1 00,X X 0 0 0,CHAIR,madeleine,391201561,239309,Milwaukee Institute of Art & Design
(16) MATTHEW D RINKA 1 00,X 0 0 0,TRUSTEE,matthew,391201561,239309,Milwaukee Institute of Art & Design
(17) MICHELLE MASON 1 00,X 0 0 0,TRUSTEE,michelle,391201561,239309,Milwaukee Institute of Art & Design
(19) SHELLEY PAXTON 1 00,X 0 0,TRUSTEE,shelley,391201561,239309,Milwaukee Institute of Art & Design
(20) RANDY STRAUSS 1 00,X 0 0,TRUSTEE,randy,391201561,239309,Milwaukee Institute of Art & Design
(21) ROBERT JOSEPH 1 00,X 0 0,TRUSTEE,robert,391201561,239309,Milwaukee Institute of Art & Design
(22) ROBERT MIKULAY 1 00,X X 0 0,VICE CHAIR,robert,391201561,239309,Milwaukee Institute of Art & Design
(23) ROBERT SCHWARTZ 1 00,X 0 0,TRUSTEE,robert,391201561,239309,Milwaukee Institute of Art & Design
(24) SCOTT SCHWEBEL 1 00,X 0 0,TRUSTEE,scott,391201561,239309,Milwaukee Institute of Art & Design
(25) SEAN CUMMINGS 1 00,X 0 0,TRUSTEE,sean,391201561,239309,Milwaukee Institute of Art & Design
(27) NEIL HOFFMAN 40 00,"x 294,222 15,269",PRESIDENT,neil,391201561,239309,Milwaukee Institute of Art & Design
(28) DAVID MARTIN 40 00,"x 133,230 30,725",VP ACADEMIC AFFAIRS,david,391201561,239309,Milwaukee Institute of Art & Design
(29) MARY SCHOPP 40 00,"x 133,195 28,200",VP ENROLLMENT MANAGEMENT,mary,391201561,239309,Milwaukee Institute of Art & Design
