line1,line2,line3,key,fein,unitid,institutionname
REV LOWELL G ALMEN 1 00,X 0 0 0,TRUSTEE 0 00,lowell,410693977,173300,Concordia College at Moorhead
MARY ALICE BERGAN 1 00,X 0 0 0,TRUSTEE 0 00,mary,410693977,173300,Concordia College at Moorhead
RANDALL L BOUSHEK 1 00,X 0 0 0,TRUSTEE 0 00,randall,410693977,173300,Concordia College at Moorhead
MATTHEW DIMICH 1 00,X 0 0 0,TRUSTEE 0 00,matthew,410693977,173300,Concordia College at Moorhead
GERALD D EID 1 00,X 0 0 0,TRUSTEE 0 00,gerald,410693977,173300,Concordia College at Moorhead
KAREN L GRANDSTRAND 1 00,X 0 0 0,TRUSTEE 0 00,karen,410693977,173300,Concordia College at Moorhead
DR DAVID M GRING 1 00,X 0 0 0,TRUSTEE 0 00,david,410693977,173300,Concordia College at Moorhead
KELBY K KRABBENHOFT 1 00,X 0 0 0,TRUSTEE 0 00,krabbenhoft,410693977,173300,Concordia College at Moorhead
DR EARL LEWIS 1 00,X 0 0 0,TRUSTEE 0 00,earl,410693977,173300,Concordia College at Moorhead
DR ROLAND D MARTINSON 1 00,X 0 0 0,TRUSTEE 0 00,roland,410693977,173300,Concordia College at Moorhead
CONNIE NICHOLAS 1 00,X 0 0 0,TRUSTEE 0 00,connie,410693977,173300,Concordia College at Moorhead
RONALD D OFFUTT 1 00,X 0 0 0,TRUSTEE 0 00,ronald,410693977,173300,Concordia College at Moorhead
SOLVEIG STORVICK POLLEI 1 00,X 0 0 0,TRUSTEE 0 00,solveig,410693977,173300,Concordia College at Moorhead
REV ROBERT L QUAM 1 00,X 0 0 0,TRUSTEE 0 00,robert,410693977,173300,Concordia College at Moorhead
JOHN M QUELLO 1 00,X 0 0 0,TRUSTEE 0 00,john,410693977,173300,Concordia College at Moorhead
REV WILLIAM E RINDY 1 00,X 0 0 0,TRUSTEE 0 00,william,410693977,173300,Concordia College at Moorhead
REV LYNN R RONSBERG 1 00,X 0 0 0,TRUSTEE 0 00,lynn,410693977,173300,Concordia College at Moorhead
JAMES E SENSKE 1 00,X 0 0 0,TRUSTEE 0 00,james,410693977,173300,Concordia College at Moorhead
MICHAEL S SOLBERG 1 00,X 0 0 0,TRUSTEE 0 00,michael,410693977,173300,Concordia College at Moorhead
STEPHEN LSTENEHJEM 1 00,X 0 0 0,TRUSTEE 0 00,stephen,410693977,173300,Concordia College at Moorhead
JOYCE MONSON TSONGAS 1 00,X 0 0 0,TRUSTEE 0 00,joyce,410693977,173300,Concordia College at Moorhead
JUDGE JACK R TUNHEIM 1 00,X 0 0 0,TRUSTEE 0 00,judge,410693977,173300,Concordia College at Moorhead
THOMAS VERTIN 1 00,X 0 0 0,TRUSTEE 0 00,thomas,410693977,173300,Concordia College at Moorhead
JAN R WAYE 1 00,X 0 0 0,TRUSTEE 0 00,jan,410693977,173300,Concordia College at Moorhead
DR MARK N WILHELM 1 00,X 0 0 0,TRUSTEE 0 00,mark,410693977,173300,Concordia College at Moorhead
REV LAWRENCE R WOHLRABE 1 00,X 0 0 0,TRUSTEE 0 00,lawrence,410693977,173300,Concordia College at Moorhead
DR WILLIAM J CRAFT 40 00,"X 256,023 0 145,775",PRESIDENT 0 00,william,410693977,173300,Concordia College at Moorhead
LINDAJ BROWN 40 00,"X 147,689 0 22,299",TREASURER & VICE PRESIDENT FOR FINANCE 0 00,brown,410693977,173300,Concordia College at Moorhead
DR ALBERT KAGAN 40 00,PROFESSOR OF RESEARCH IN MIS AND DIRECTOR OF X 155’016 0 22’935,0 00,albert,410693977,173300,Concordia College at Moorhead
PROFESSOR OF RESEARCH IN MIS AND DIRECTOR OF X 155’016 0 22’935,0 00,BUSIN,mis,410693977,173300,Concordia College at Moorhead
DR GREGORY CANT 40 00,"X 152,386 0 22,468",DEAN OF THE SCHOOL OF BUSINESS 0 00,gregory,410693977,173300,Concordia College at Moorhead
TERESA HARLAND 40 00,"X 136,663 0 10,096",VICE PRESIDENT FOR ADVANCEMENT 0 00,teresa,410693977,173300,Concordia College at Moorhead
DR RENE CLAUSEN 40 00,"ASSOCIATE PROFESSOR OF MUSIC, CONDUCTOR OF X 293’996 0 7’436",CONCORD 0 00,rene,410693977,173300,Concordia College at Moorhead
STEVEN SCHUETZ 40 00,"X 128,964 0 21,087",VICE PRESIDENT FOR ENROLLMENT 0 00,steven,410693977,173300,Concordia College at Moorhead
DR MARK J KREJCI 40 00,"x 131,335 0 9,360",FORMER DEAN & VP OF ACADEMIC AFFAIRS 0 00,mark,410693977,173300,Concordia College at Moorhead
