line1,line2,line3,key,fein,unitid,institutionname
Jon V Anderson 2,X 0 0 0,Director,jon,410695524,173647,Gustavus Adolphus College
Scott P Anderson 2,X 0 0 0,Director,scott,410695524,173647,Gustavus Adolphus College
Thomas M Annesley 2,X 0 0 0,Director/Past Vice Chair,thomas,410695524,173647,Gustavus Adolphus College
Albert T Annexstad 2,X 0 0 0,Director,albert,410695524,173647,Gustavus Adolphus College
Tracy L Bahl 2,X 0 0 0,Director/Vice Chair,tracy,410695524,173647,Gustavus Adolphus College
Warren L Beck 2,X 0 0 0,Director,warren,410695524,173647,Gustavus Adolphus College
Rebecca M Bergman 2,X 0 0 0,Director/Vice Chair,rebecca,410695524,173647,Gustavus Adolphus College
Mark E Bernhardson 2,X 0 0 0,Director/Past Chair,mark,410695524,173647,Gustavus Adolphus College
Ake Bonnier 2,X 0 0 0,Director,ake,410695524,173647,Gustavus Adolphus College
Gordon A Braatz 2,X 0 0 0,Director,gordon,410695524,173647,Gustavus Adolphus College
Daniel G Currell 2,X 0 0 0,Director,daniel,410695524,173647,Gustavus Adolphus College
Ardena L Flippin 2,X 0 0 0,Director,flippin,410695524,173647,Gustavus Adolphus College
Brian D Fragodt 2,X 0 0 0,Director,brian,410695524,173647,Gustavus Adolphus College
James H Gale 2,X 0 0 0,Director,james,410695524,173647,Gustavus Adolphus College
Marcus M Gustafson 2,X 0 0 0,Director,marcus,410695524,173647,Gustavus Adolphus College
John O Hallberg 2,X 0 0 0,Director,john,410695524,173647,Gustavus Adolphus College
Jeffrey D Heggedahl 2,X 0 0 0,Director,jeffrey,410695524,173647,Gustavus Adolphus College
Susanne B Heim 2,X 0 0 0,Director,susanne,410695524,173647,Gustavus Adolphus College
Alfred A Henderson 2,X 0 0 0,Director,alfred,410695524,173647,Gustavus Adolphus College
George G Hicks 2,X 0 0 0,Director/Past Vice Chair/Chair,george,410695524,173647,Gustavus Adolphus College
John D Hogenson 2,X 0 0 0,Director,john,410695524,173647,Gustavus Adolphus College
Linda B Keefe 2,X 0 0 0,Director/Past Vice Chair,linda,410695524,173647,Gustavus Adolphus College
Talmadge E King Jr 2,X 0 0 0,Director,talmadge,410695524,173647,Gustavus Adolphus College
Paul R Koch 2,X 0 0 0,Director,paul,410695524,173647,Gustavus Adolphus College
Daniel A Kolander 2,X 0 0 0,Director,daniel,410695524,173647,Gustavus Adolphus College
Jan M Michaletz 2,X 0 0 0,Director,jan,410695524,173647,Gustavus Adolphus College
Wayne B Peterson 2,X 0 0 0,Director,wayne,410695524,173647,Gustavus Adolphus College
Dan S Poffenberger 2,X 0 0 0,Director/Vice Chair,dan,410695524,173647,Gustavus Adolphus College
Beth S Schnell 2,X 0 0 0,Director,beth,410695524,173647,Gustavus Adolphus College
Lori E Swenson 2,X 0 0 0,Director,lori,410695524,173647,Gustavus Adolphus College
Ronald C White 2,X 0 0 0,Director,ronald,410695524,173647,Gustavus Adolphus College
John R Ohle 50,"X X 348,932 0 152,588",PreSIdent,john,410695524,173647,Gustavus Adolphus College
MarkJ Braun 50,"X 182,551 0 58,370",Provost and Dean of the College,braun,410695524,173647,Gustavus Adolphus College
Kenneth C Westphal 50,"X 173,958 0 19,788",Vice PreSIdent for Finance and Treasurer,kenneth,410695524,173647,Gustavus Adolphus College
Marcia J Bunge 50,"X 109,682 0 18,359",Facuky,marcia,410695524,173647,Gustavus Adolphus College
Thomas M Crady 50,"X 147,243 0 73,312",Vice PreSIdent for Enrollment Management,thomas,410695524,173647,Gustavus Adolphus College
Diane K Lund Dean 50,"X 117,903 0 32,422",Facuky,diane,410695524,173647,Gustavus Adolphus College
JoNes R VanHecke 50,"X 132,423 0 18,130",Vice PreSIdent for Student Life & Dean of Students,jones,410695524,173647,Gustavus Adolphus College
