line1,line2,line3,key,fein,unitid,institutionname
BONTRAGER RON 2 00,X X 0 0 0,BOARD CHAIR 0 00,bontrager,410706151,174437,North Central University
ST JOHN CLARENCE 2 00,X X 0 0 0,BOARD VICE CHAIR 0 00,john,410706151,174437,North Central University
BREWER M RAY 2 00,X X 0 0 0,SECRETARY/TREASURER 0 00,brewer,410706151,174437,North Central University
DEAN MARK 2 00,"X 14,175 0 0",EXECUTIVE COMMITTEE 0 00,mark,410706151,174437,North Central University
GROGAN GARY 2 00,X 0 0 0,EXECUTIVE COMMITTEE 0 00,grogan,410706151,174437,North Central University
LIEBE LARRY 2 00,X 0 0 0,EXECUTIVE COMMITTEE 0 00,liebe,410706151,174437,North Central University
SVOBODA BILL 2 00,X 0 0 0,EXECUTIVE COMMITTEE 0 00,svoboda,410706151,174437,North Central University
BAUCHSPIESS DAVID 2 00,X 0 0 0,BOARD MEMBER 0 00,david,410706151,174437,North Central University
DAVIS JOHN 2 00,X 0 0 0,BOARD MEMBER 0 00,davis,410706151,174437,North Central University
DUNSTON PEGGY 2 00,X 0 0 0,BOARD MEMBER 0 00,dunston,410706151,174437,North Central University
FILBECK JIM 2 00,X 0 0 0,BOARD MEMBER 0 00,jim,410706151,174437,North Central University
FLORES JERRY 2 00,"X 23,476 0 0",BOARD MEMBER 0 00,flores,410706151,174437,North Central University
FREITAG LEON 2 00,X 0 0 0,BOARD MEMBER 0 00,freitag,410706151,174437,North Central University
FURR STEVE 2 00,X 0 0 0,BOARD MEMBER 0 00,furr,410706151,174437,North Central University
GIFFORD DON 2 00,X 0 0 0,BOARD MEMBER 0 00,gifford,410706151,174437,North Central University
GRAHAM DOUG 2 00,"X 22,835 0 0",BOARD MEMBER 0 00,graham,410706151,174437,North Central University
GUIRE PATRICK 2 00,X 0 0 0,BOARD MEMBER 0 00,guire,410706151,174437,North Central University
HARDIMAN BILL 2 00,X 0 0 0,BOARD MEMBER 0 00,hardiman,410706151,174437,North Central University
HINZMAN PAUL 2 00,X 0 0 0,BOARD MEMBER 0 00,hinzman,410706151,174437,North Central University
HOYT GARY 2 00,X 0 0 0,BOARD MEMBER 0 00,hoyt,410706151,174437,North Central University
HUNT THIETJE 2 00,X 0 0 0,BOARD MEMBER 0 00,hunt,410706151,174437,North Central University
JACOBS TOM 2 00,X 0 0 0,BOARD MEMBER 0 00,jacobs,410706151,174437,North Central University
KENNEDY JEFF 2 00,"X 8,605 0 0",BOARD MEMBER 0 00,kennedy,410706151,174437,North Central University
KETTERLING ROB 2 00,"X 11,175 0 0",BOARD MEMBER 0 00,ketterling,410706151,174437,North Central University
KUNTZ TWYLA 2 00,X 0 0,BOARD MEMBER 0 00,kuntz,410706151,174437,North Central University
LEACH WILLIAM 2 00,X 0 0,BOARD MEMBER 0 00,leach,410706151,174437,North Central University
LIECHTY JON 2 00,X 0 0,BOARD MEMBER 0 00,liechty,410706151,174437,North Central University
LOOMIS MATTHEW 2 00,"x 4,685 0",BOARD MEMBER 0 00,loomis,410706151,174437,North Central University
MALDONADO CLEMENTE 2 00,X 0 0,BOARD MEMBER 0 00,maldonado,410706151,174437,North Central University
MCPHERSON RANDY 2 00,X 0 0,BOARD MEMBER 0 00,mcpherson,410706151,174437,North Central University
NYSTROM LOWELL 2 00,X 0 0,BOARD MEMBER 0 00,nystrom,410706151,174437,North Central University
ONA BOB 2 00,X 0 0,BOARD MEMBER 0 00,ona,410706151,174437,North Central University
PAFFORD DAVID 2 00,X 0 0,BOARD MEMBER 0 00,pafford,410706151,174437,North Central University
RILEY BRAD 2 00,X 0 0,BOARD MEMBER 0 00,riley,410706151,174437,North Central University
ROGADO JUN 2 00,"x 8,675 0",BOARD MEMBER 0 00,rogado,410706151,174437,North Central University
SCHAIBLE STEPHEN 2 00,X 0 0,BOARD MEMBER 0 00,schaible,410706151,174437,North Central University
SCHNECKLOTH TOBY 2 00,X 0 0,BOARD MEMBER 0 00,schneckloth,410706151,174437,North Central University
SCHNEIDER PHIL 2 00,X 0 0,BOARD MEMBER 0 00,schneider,410706151,174437,North Central University
STOCKER JOEL 2 00,X 0 0,BOARD MEMBER 0 00,stocker,410706151,174437,North Central University
STRAND KIRK 2 00,"X 15,689 0",BOARD MEMBER 0 00,strand,410706151,174437,North Central University
TRIPP STEVE 2 00,"x 5,500 0",BOARD MEMBER 0 00,tripp,410706151,174437,North Central University
WASHINGTON FRED 2 00,X 0 0,BOARD MEMBER 0 00,washington,410706151,174437,North Central University
WELLS KENT 2 00,X 0 0,BOARD MEMBER 0 00,wells,410706151,174437,North Central University
WENIG BILL 2 00,X 0 0,BOARD MEMBER 0 00,wenig,410706151,174437,North Central University
WINE BOB 2 00,X 0 0,BOARD MEMBER 0 00,wine,410706151,174437,North Central University
ANDERSON GORDON 40 00,"X X 177,864 32,535",PRESIDENT 0 00,anderson,410706151,174437,North Central University
BOOK CHERYL 40 00,"x 105,783 18,906",VP BUSINESS & FINANCE 0 00,book,410706151,174437,North Central University
