line1,line2,line3,key,fein,unitid,institutionname
Ingrid Anderson OSB 3,X 0 0 0,Trustee 0,ingrid,410969244,174747,College of Saint Benedict
Annette Hendrick 8,X 0 0 0,Trustee 0,annette,410969244,174747,College of Saint Benedict
Jean Juenemann 3,X 0 0 0,Trustee 0,jean,410969244,174747,College of Saint Benedict
Shari Lamecker Rogalski 5,X 0 0 0,Trustee 0,shari,410969244,174747,College of Saint Benedict
George Mann 4,X 0 0 0,Trustee 0,george,410969244,174747,College of Saint Benedict
Lynn Newman 9,X 0 0 0,Trustee Board Chair 0,lynn,410969244,174747,College of Saint Benedict
Joyce Statz 4,X 0 0 0,Trustee 0,joyce,410969244,174747,College of Saint Benedict
Michelle Bauerly Kopel 3,X 0 0 0,Trustee 0,michelle,410969244,174747,College of Saint Benedict
Barbara Melsen 6,X 0 0 0,Trustee 0,barbara,410969244,174747,College of Saint Benedict
Mary Catherine Holicky 3,X 0 0 0,Trustee 0,mary,410969244,174747,College of Saint Benedict
Harvey Chase Jewett 6,X 0 0 0,Trustee,harvey,410969244,174747,College of Saint Benedict
Theresa Wurst,X 0 0 0,Trustee 0,theresa,410969244,174747,College of Saint Benedict
Rosetta Ross 3,X 0 0 0,Trustee,rosetta,410969244,174747,College of Saint Benedict
Carolyn Smallwood,X 0 0 0,Trustee 0,carolyn,410969244,174747,College of Saint Benedict
MaryAnn Baenninger 77,"X X 502,295 0 45,048",President,maryann,410969244,174747,College of Saint Benedict
Dana Badgerow,X 0 0 0,Trustee 0,dana,410969244,174747,College of Saint Benedict
Iris Cornelius 4,X 0 0 0,Trustee 0,iris,410969244,174747,College of Saint Benedict
James Graves 3,X 0 0 0,Trustee 0,james,410969244,174747,College of Saint Benedict
Laura Kelly Lovdahl 3,X 0 0 0,Trustee 0,laura,410969244,174747,College of Saint Benedict
Kathleen Mock 3,X 0 0 0,Trustee 0,kathleen,410969244,174747,College of Saint Benedict
Judy Poferl 3,X 0 0 0,Trustee 0,judy,410969244,174747,College of Saint Benedict
Donald Pyatt 5,X 0 0 0,Trustee 0,donald,410969244,174747,College of Saint Benedict
Scott Blattner 4,X 0 0 0,Trustee,scott,410969244,174747,College of Saint Benedict
Judith Healey,X 0 0 0,Trustee 0,judith,410969244,174747,College of Saint Benedict
Kathleen Henderson 6,X 0 0 0,Trustee 0,kathleen,410969244,174747,College of Saint Benedict
Tom Mohr 3,X 0 0 0,Trustee 0,tom,410969244,174747,College of Saint Benedict
Richard Schneider 5,X 0 0 0,Trustee,richard,410969244,174747,College of Saint Benedict
Lori ZumWInkle,X 0 0 0,Trustee 0,lori,410969244,174747,College of Saint Benedict
S Michaela Hedican 2,X 0 0 0,Trustee 0,michaela,410969244,174747,College of Saint Benedict
PatrICIa Ruether OSB 3,X 0 0 0,Trustee 0,patricia,410969244,174747,College of Saint Benedict
Andrea DrIscoll 3,X 0 0 0,Student Trustee 0,andrea,410969244,174747,College of Saint Benedict
Terry Dolan 7,X 0 0 0,Trustee 0,terry,410969244,174747,College of Saint Benedict
Becky Coborn 3,X 0 0 0,Trustee 0,becky,410969244,174747,College of Saint Benedict
Pam Bacon 52,"x 72,503 0 24,294",Faculty Trustee 0,pam,410969244,174747,College of Saint Benedict
Elizabeth Dinndorf 3,X 0 0 0,Trustee 0,elizabeth,410969244,174747,College of Saint Benedict
Gregory Duppler 5,X 0 0 0,Trustee 0,gregory,410969244,174747,College of Saint Benedict
Mark Fleischhacker 4,X 0 0 0,Trustee 0,mark,410969244,174747,College of Saint Benedict
Nada Mourtada—Sabbah 3,X 0 0 0,Trustee 0,nada,410969244,174747,College of Saint Benedict
Margaret Murphy 3,X 0 0 0,Trustee 0,margaret,410969244,174747,College of Saint Benedict
Marilyn Porter 3,X 0 0 0,Trustee 0,marilyn,410969244,174747,College of Saint Benedict
Carol Morrow Schleif 5,X 0 0 0,Trustee 0,carol,410969244,174747,College of Saint Benedict
Thomas Schlough 8,X 0 0 0,Trustee 0,thomas,410969244,174747,College of Saint Benedict
Daniel Scott 4,X 0 0 0,Trustee,daniel,410969244,174747,College of Saint Benedict
Lisa Spoden,X 0 0 0,Trustee 0,lisa,410969244,174747,College of Saint Benedict
LeAnne Matthews Stewart 8,X 0 0 0,Trustee 0,leanne,410969244,174747,College of Saint Benedict
Mary Thompson 3,X 0 0 0,Trustee 0,mary,410969244,174747,College of Saint Benedict
Jennifer Barta 3,X 0 0 0,Trustee 0,jennifer,410969244,174747,College of Saint Benedict
Susan Palmer 65,"X 225,951 0 20,872",VP Administration and Finance 0,susan,410969244,174747,College of Saint Benedict
Rita Knuesel 65,"X 202,196 0 25,467",VP Academic Affairs 0,rita,410969244,174747,College of Saint Benedict
Klmberly Motes 65,"X 191,635 0 27,811",VP Instltutlonal Advancement 0,motes,410969244,174747,College of Saint Benedict
Mary Geller 60,"X 145,325 0 28,791",VP Stud Dev 0,mary,410969244,174747,College of Saint Benedict
James Koenlg 40,"X 123,224 0 18,567",1T SerVIces DIrector 0,james,410969244,174747,College of Saint Benedict
Janet Grochowskl 65,"X 116,119 0 11,856",Educatlon Department Chalr 0,janet,410969244,174747,College of Saint Benedict
TImothy Benz 40,"X 139,455 0 12,645",AD Instltutlonal Advancement 0,timothy,410969244,174747,College of Saint Benedict
Brad Slnn 50,"X 117,377 0 17,964",FaCIIItIes DIrector 0,brad,410969244,174747,College of Saint Benedict
