line1,line2,line3,key,fein,unitid,institutionname
REV DR JEFFREY BULLOCK 40 00,"X X 327,522 0 82,529",PRESIDENT,jeffrey,420680323,153278,University of Dubuque
JOSEPH A CHLAPATY 1 00,X X 0 0 0,CHAIRMAN,joseph,420680323,153278,University of Dubuque
MARK C FALB 1 00,X X 0 0 0,VICE CHAIRMAN/TRUSTEE,mark,420680323,153278,University of Dubuque
DOUGLASJ HORSTMANN 1 00,X X 0 0 0,SECRETARY—TREASURER/TRUSTEE,horstmann,420680323,153278,University of Dubuque
MARK P BRODERSEN MD 1 00,X 0 0 0,TRUSTEE,mark,420680323,153278,University of Dubuque
EDWARD A BABKA 1 00,X 0 0 0,TRUSTEE,edward,420680323,153278,University of Dubuque
JOHN E BUTLER 1 00,X 0 0 0,TRUSTEE,john,420680323,153278,University of Dubuque
PATRICK M CRAHAN 1 00,X 0 0 0,TRUSTEE,patrick,420680323,153278,University of Dubuque
KIMBERLY M DAVID 1 00,X 0 0 0,TRUSTEE,kimberly,420680323,153278,University of Dubuque
SUSAN R FARBER 1 00,X 0 0 0,TRUSTEE,susan,420680323,153278,University of Dubuque
R GERALD FOX 1 00,X 0 0 0,TRUSTEE,gerald,420680323,153278,University of Dubuque
EDWARDJ HANNON MD 1 00,X 0 0 0,TRUSTEE,hannon,420680323,153278,University of Dubuque
JEWEL KINTZINGER—DAY 1 00,X 0 0 0,TRUSTEE,jewel,420680323,153278,University of Dubuque
HON JAMES L MARTIN 1 00,X 0 0 0,TRUSTEE,hon,420680323,153278,University of Dubuque
THOMAS WOODWARD 1 00,X 0 0 0,TRUSTEE,thomas,420680323,153278,University of Dubuque
KENT A PETERSON 1 00,X 0 0 0,TRUSTEE,kent,420680323,153278,University of Dubuque
SUZANNE LUCK PREISS 1 00,X 0 0 0,TRUSTEE,suzanne,420680323,153278,University of Dubuque
PHILLIP A RUPPEL 1 00,X 0 0 0,TRUSTEE,phillip,420680323,153278,University of Dubuque
SARAH J SLAUGHTER 1 00,X 0 0 0,TRUSTEE,sarah,420680323,153278,University of Dubuque
RONALD A STOCKDALE 1 00,X 0 0 0,TRUSTEE,ronald,420680323,153278,University of Dubuque
RICHARD C SVRLUGA 1 00,X 0 0 0,TRUSTEE,richard,420680323,153278,University of Dubuque
WILLIAM J SVRLUGA JR 1 00,X 0 0 0,TRUSTEE,william,420680323,153278,University of Dubuque
REV CATHY F YOUNG 1 00,X 0 0 0,TRUSTEE,cathy,420680323,153278,University of Dubuque
JOHN G COUCHMAN 1 00,X 0 0 0,TRUSTEE,john,420680323,153278,University of Dubuque
CHARLES A DAOUD 1 00,X 0 0 0,TRUSTEE,charles,420680323,153278,University of Dubuque
SCOTT A KNAPP 1 00,X 0 0 0,TRUSTEE,scott,420680323,153278,University of Dubuque
REV BRUCE E HEDGEPETH 1 00,X 0 0 0,TRUSTEE,bruce,420680323,153278,University of Dubuque
JOHN D STOLTZ 1 00,X 0 0 0,TRUSTEE,john,420680323,153278,University of Dubuque
REV BRIAN W JONES 1 00,X 0 0 0,ALUMNI REP TO THE BOARD,brian,420680323,153278,University of Dubuque
SCOTT TAYLOR 1 00,X 0 0 0,TRUSTEE,scott,420680323,153278,University of Dubuque
RICHARD P FRANZEN 1 00,X 0 0 0,ALUMNI REP TO THE BOARD,richard,420680323,153278,University of Dubuque
JACKALINE M DUNLAP 1 00,X 0 0 0,TRUSTEE,dunlap,420680323,153278,University of Dubuque
JEFFERY KEITH 1 00,X 0 0 0,TRUSTEE,jeffery,420680323,153278,University of Dubuque
OZELL HUDSON 1 00,X 0 0 0,TRUSTEE,ozell,420680323,153278,University of Dubuque
JAMES D STEINER 40 00,"X 162,584 0 41,633",VP FINANCE/ASST TREAS,james,420680323,153278,University of Dubuque
DEBORAH BUOL 40 00,"x 62,324 0 3,558",ASSISTANT SECRETARY,deborah,420680323,153278,University of Dubuque
ALAN GARFIELD 40 00,"X 115,334 0 16,393",ASSOC PROF COMPUTER GRAPHICS,alan,420680323,153278,University of Dubuque
DR MARK WARD 40 00,"X 125,946 0 14,066",VP OF ACADEMIC AFFAIRS,mark,420680323,153278,University of Dubuque
DR MICHAEL MIYAMOTO 40 00,"X 102,103 0 18,642",VP & DEAN OF STUDENT LIFE,michael,420680323,153278,University of Dubuque
