line1,line2,line3,key,fein,unitid,institutionname
JOHN D MCGRANE 4 00,X X 0 0,BOARD CHAIR/TRUSTEE,john,420680335,153162,Cornell College
JEFFREY JENSEN VICE CHAIR 3 00,X X 0 0,COLLEGE ADVANCEMENT/TRUSTEE,jeffrey,420680335,153162,Cornell College
JEAN RUSSELL 3 00,X X 0 0,VICE CHAIR ACADEMIC AFFAIRS/TRUSTEE,jean,420680335,153162,Cornell College
GILDA V BOYER 3 00,X X 0 0,VICE CHAIR BUSINESS/TRUSTEE,gilda,420680335,153162,Cornell College
EDWARD MEADS VICE CHAIR 3 00,X X 0 0,ENROLLMENT & COMMUNICATIONS/TRUSTEE,edward,420680335,153162,Cornell College
LINDA KOEHN 3 00,X X 0 0,VICE CHAIR BLDS & GROUNDS/TRUSTEE,linda,420680335,153162,Cornell College
ROBERT MCLENNAN 3 00,X X 0 0,CHAIR GOVERNANCE COMMITTEE/TRUSTEE,robert,420680335,153162,Cornell College
SHERYL ATKINSON STOLL 1 00,X 0 0,TRUSTEE,sheryl,420680335,153162,Cornell College
KALISSA BAUMAN 1 00,X 0 0,TRUSTEE,bauman,420680335,153162,Cornell College
JOHN BICKEL 1 00,X 0 0,TRUSTEE,john,420680335,153162,Cornell College
PETER S BRYANT 1 00,X 0 0,TRUSTEE,peter,420680335,153162,Cornell College
MILDRED G CARSTENSEN 1 00,X 0 0,TRUSTEE,mildred,420680335,153162,Cornell College
KYLE DAW 1 00,X 0 0,TRUSTEE,kyle,420680335,153162,Cornell College
STEVEN DEANGELES 1 00,X 0 0,TRUSTEE,steven,420680335,153162,Cornell College
THOMAS DURHAM 1 00,X 0 0,TRUSTEE,thomas,420680335,153162,Cornell College
NEIL ECKLES 1 00,X 0 0,TRUSTEE,neil,420680335,153162,Cornell College
LOREN HIRATZKA 1 00,X 0 0,TRUSTEE,loren,420680335,153162,Cornell College
FRED HOLTZ 1 00,X 0 0,TRUSTEE,fred,420680335,153162,Cornell College
MAUREEN JOHNSON 1 00,X 0 0,TRUSTEE,maureen,420680335,153162,Cornell College
JUDY JORGENSEN 1 00,X 0 0,TRUSTEE,judy,420680335,153162,Cornell College
FRANCES KAO 1 00,X 0 0,TRUSTEE,frances,420680335,153162,Cornell College
TAYLOR KOCH 1 00,X 0 0,TRUSTEE,taylor,420680335,153162,Cornell College
STUART LEHR 1 00,X 0 0,TRUSTEE,stuart,420680335,153162,Cornell College
JANENE PANFIL 1 00,X 0 0,TRUSTEE,janene,420680335,153162,Cornell College
JERRY N RINGER 1 00,X 0 0,TRUSTEE,jerry,420680335,153162,Cornell College
JOHN SMITH 1 00,X 0 0 0,TRUSTEE,john,420680335,153162,Cornell College
VIRGINIA SMITH 1 00,X 0 0 0,TRUSTEE,virginia,420680335,153162,Cornell College
ELI WADE—SCOTT 1 00,X 0 0 0,TRUSTEE,eli,420680335,153162,Cornell College
RICHARD WILLIAMS 1 00,X 0 0 0,TRUSTEE,richard,420680335,153162,Cornell College
ROBERT WILSON 1 00,X 0 0 0,TRUSTEE,robert,420680335,153162,Cornell College
JONATHAN BRAND 60 00,"X 261,093 0 36,176",PRESIDENT,jonathan,420680335,153162,Cornell College
KAREN MERCER 50 00,"x 126,187 0 6,126",TREASURER/VP OF BUSINESS AFFAIRS,karen,420680335,153162,Cornell College
PAM GERARD 50 00,"X 154,394 0 18,881",VP FOR ADVANCEMENT,pam,420680335,153162,Cornell College
RONALD JOE DIEKER 50 00,"X 132,943 0 20,587",VP FOR ACADEMIC AFFAIRS,ronald,420680335,153162,Cornell College
JAMES BROWN 50 00,"X 132,557 0 16,841",SPECIAL ASSISTANT TO THE PRESIDENT,james,420680335,153162,Cornell College
SALLY FARRINGTON—CLUTE 50 00,"X 153,856 0 16,808",PROFESSOR,sally,420680335,153162,Cornell College
CAROL LACY—SALAZAR 50 00,"X 130,678 0 14,340",PROFESSOR,carol,420680335,153162,Cornell College
