line1,line2,line3,key,fein,unitid,institutionname
(1) RICHARD ANDRES 2 00,X 0 0 0,TRUSTEE,richard,420680372,154493,Upper Iowa University
(2) BRUCE CAMPBELL 2 00,X 0 0 0,TRUSTEE,bruce,420680372,154493,Upper Iowa University
(3) PETER CLEMENS 2 00,X 0 0 0,TRUSTEE,peter,420680372,154493,Upper Iowa University
(4) BILL COOK 2 00,X 0 0 0,TRUSTEE,bill,420680372,154493,Upper Iowa University
(5) JOHN FALB 2 00,X 0 0 0,TRUSTEE,john,420680372,154493,Upper Iowa University
(6) BE'I'I'Y DAVIS FIRTH 2 00,"X 10,244 0 0",TRUSTEE/ADJUNCT INSTRUCTOR,davis,420680372,154493,Upper Iowa University
(7) ROBERT FIRTH 2 00,"X 2,714 0 0",TRUSTEE/ADJUNCT INSTRUCTOR,robert,420680372,154493,Upper Iowa University
(8) HOWARD FISCHER 2 00,X 0 0 0,TRUSTEE,howard,420680372,154493,Upper Iowa University
(9) STEVE HARMS 2 00,X 0 0 0,TRUSTEE,steve,420680372,154493,Upper Iowa University
(10) DR DARREL LANG 2 00,X 0 0 0,TRUSTEE,darrel,420680372,154493,Upper Iowa University
(11) DR MARGARET LAWSON 2 00,X 0 0 0,TRUSTEE,margaret,420680372,154493,Upper Iowa University
(13) DR HARRY MAUE 2 00,X 0 0 0,TRUSTEE,harry,420680372,154493,Upper Iowa University
(14) DENNIS MURDOCK 2 00,X 0 0 0,TRUSTEE,dennis,420680372,154493,Upper Iowa University
(15) KIERAN PATTERSON 2 00,X 0 0 0,TRUSTEE,kieran,420680372,154493,Upper Iowa University
(16) BERNARD PATTISON 2 00,X 0 0 0,TRUSTEE,bernard,420680372,154493,Upper Iowa University
(17) LOWELL SCHWAB 2 00,X 0 0 0,TRUSTEE,lowell,420680372,154493,Upper Iowa University
(18) BARRY SMITH 2 00,X 0 0,TRUSTEE,barry,420680372,154493,Upper Iowa University
(19) WILLIAM DUFFY 8O 00,"x 224,612 8,046",PRESIDENT,william,420680372,154493,Upper Iowa University
(20) RICHARD PATRICK 7O 00,"x 174,058 10,330",ACTING PRESIDENT,richard,420680372,154493,Upper Iowa University
(21) SARA TRAINOR 7O 00,"x 86,218 6,894",CFO,sara,420680372,154493,Upper Iowa University
(22) DAVID MILLER 60 00,"x 133,749 18,550",DIRECTOR OF ATHLETICS,david,420680372,154493,Upper Iowa University
(23) ANDREW WENTHE 6O 00,"x 130,454 9,808",VP OF EXTERNAL AFFAIRS,andrew,420680372,154493,Upper Iowa University
(24) CHRISTOPHER KRAGNES 6O 00,"x 116,238 4,713",GENERAL COUNSEL/FACULTY,christopher,420680372,154493,Upper Iowa University
(25) GAIL MOORMAN BEHRENS 55 00,"x 114,653 4,364",DEAN OF SCHOOL OF EDUCATION,gail,420680372,154493,Upper Iowa University
(26) ISMAEL BETANCOURT 6O 00,"x 114,437 10,604",VP OF INTERNATIONAL PROGRAMS,ismael,420680372,154493,Upper Iowa University
(27) DR ALAN WALKER 6O 00,"x 305,836 11,521",FORMER PRESIDENT,alan,420680372,154493,Upper Iowa University
(28) MELISSA MACTAGGART 6O 00,"x 114,880 1,248",FORMER VP OF HUMAN RESOURCES,melissa,420680372,154493,Upper Iowa University
(29) DONALD AUNGST 6O 00,"x 140,493 7,302",FORMER CFO,donald,420680372,154493,Upper Iowa University
"SAMUELS GROUP INC 311 FINANCIAL WAY SUITE 300 WAUSAU W154401 BUILDING CONSTRUCTION 4,682,665","SPILLMAN FARMER ARCHITECTS 1720 SPILLMAN DRIVE SUITE 200 BETHLEHEM PA 18015 ARCHITECT 467,692","BAKER TILLY VIRCHOW KRAUSE LLP TEN TERRACE COURT PO BOX 7398 MADISON W153707 AUDlT FIRM 264,766",samuels,420680372,154493,Upper Iowa University
"SPILLMAN FARMER ARCHITECTS 1720 SPILLMAN DRIVE SUITE 200 BETHLEHEM PA 18015 ARCHITECT 467,692","BAKER TILLY VIRCHOW KRAUSE LLP TEN TERRACE COURT PO BOX 7398 MADISON W153707 AUDlT FIRM 264,766","IIW PC 4155 PENNSYLVANIA AVE DUBUQUE IA 52002 BIKE TRAIL CONSTRUCTION 168,126",spillman,420680372,154493,Upper Iowa University
"BAKER TILLY VIRCHOW KRAUSE LLP TEN TERRACE COURT PO BOX 7398 MADISON W153707 AUDlT FIRM 264,766","IIW PC 4155 PENNSYLVANIA AVE DUBUQUE IA 52002 BIKE TRAIL CONSTRUCTION 168,126","FRITZ OPPENLANDER 2480 PARTRIDGE WOODS COURT BURLINGTON W153105 CONSULTANT 111,995",baker,420680372,154493,Upper Iowa University
