line1,line2,line3,key,fein,unitid,institutionname
Nathaniel R Boulton 5,X 0 0,Trustee 0,nathaniel,420680389,154350,Simpson College
JeSSIca BraunschweIg—Norris 5,X 0 0,Trustee 0,jessica,420680389,154350,Simpson College
Jay R Byers 5,X 0 0,Trustee 0,jay,420680389,154350,Simpson College
Mary Sconiers Chapman 5,X 0 0,Trustee 0,mary,420680389,154350,Simpson College
Michael] DeVIto 5,X 0 0,Trustee 0,devito,420680389,154350,Simpson College
D Robert Downing 5,X 0 0,Trustee 0,robert,420680389,154350,Simpson College
Steven C Fiterman 5,X 0 0,Trustee 0,steven,420680389,154350,Simpson College
Ben F Gaumer 5,X 0 0,Trustee 0,ben,420680389,154350,Simpson College
Jared D Gillespie 5,X 0 0,Trustee 0,jared,420680389,154350,Simpson College
Darrell] Goodhue 5,X 0 0,Trustee 0,goodhue,420680389,154350,Simpson College
Joseph D Hall 5,X 0 0,Trustee 0,joseph,420680389,154350,Simpson College
Jordan B Hansell 5,X X 0 0,"Trustee, Treasurer 0",jordan,420680389,154350,Simpson College
Phillip E Harlow 5,X 0 0,Trustee 0,phillip,420680389,154350,Simpson College
Mark L HIll 5,X 0 0,Trustee 0,mark,420680389,154350,Simpson College
Frederick S Hubbell 5,X 0 0,Trustee 0,frederick,420680389,154350,Simpson College
Steven G Johnson 5,X 0 0,Trustee 0,steven,420680389,154350,Simpson College
Sean M Kennedy 5,X 0 0,Trustee 0,sean,420680389,154350,Simpson College
Gage A Kent 5,X 0 0,Trustee 0,gage,420680389,154350,Simpson College
Linda Koehn 5,X 0 0,Trustee 0,linda,420680389,154350,Simpson College
Terrance J LIllIs 5,X X 0 0,"Trustee, Secretary 0",terrance,420680389,154350,Simpson College
Fred Lorber 5,X 0 0,Trustee 0,fred,420680389,154350,Simpson College
Barbara A Miller 5,X 0 0,Trustee 0,barbara,420680389,154350,Simpson College
Mark C Miller 5,X 0 0,Trustee 0,mark,420680389,154350,Simpson College
Alejandro Munoz 5,X 0 0,Trustee 0,alejandro,420680389,154350,Simpson College
LIZZ S Nichols 5,X 0 0,Trustee 0,nichols,420680389,154350,Simpson College
Nile D Ramsbottom 5,X 0 0,Trustee 0,nile,420680389,154350,Simpson College
Sunnie Richer 5,X X 0 0,"Trustee, Chairman 0",richer,420680389,154350,Simpson College
Robert G Riley Jr 5,X 0 0,Trustee 0,robert,420680389,154350,Simpson College
Gary L Ruble 5,X 0 0,Trustee 0,gary,420680389,154350,Simpson College
J Ann Selzer 5,X 0 0,Trustee 0,ann,420680389,154350,Simpson College
Deanna Strable—Soethout 5,X 0 0,Trustee 0,deanna,420680389,154350,Simpson College
Julius C Trimble 5,X 0 0,Trustee 0,julius,420680389,154350,Simpson College
Kirk J Tyler 5,X 0 0,Trustee 0,kirk,420680389,154350,Simpson College
Thomas N Urban 5,X 0 0,Trustee 0,thomas,420680389,154350,Simpson College
Philip J Webb 5,X 0 0,Trustee 0,philip,420680389,154350,Simpson College
DaVId A Weesner 5,X 0 0,Trustee 0,david,420680389,154350,Simpson College
Richard M WIllIs 5,X 0 0,Trustee 0,richard,420680389,154350,Simpson College
P Sumner Worth 5,X 0 0,Trustee 0,sumner,420680389,154350,Simpson College
Jay K Simmons 40,"X X 120,521 24,093",PreSIdent 0,jay,420680389,154350,Simpson College
Kenneth I Birkenholtz 40,"x 149,100 18,167",Vice PreSIdent for Busmess & Finance 0,kenneth,420680389,154350,Simpson College
Steven J Griffith 40,"x 130,156 22,105",Vice PreSIdent and Dean for Academic Affairs 0,steven,420680389,154350,Simpson College
Robert J Lane 40,"x 142,020 23,252",Vice PreSIdent for College Advancement 0,robert,420680389,154350,Simpson College
James D Thorius 40,"x 116,082 16,379",Vice PreSIdent for Student Development 0,james,420680389,154350,Simpson College
Kelley L Bradder 40,"x 111,813 17,618",Vice PreSIdent for Information SerVIces 0,kelley,420680389,154350,Simpson College
Deborah J Tierney 40,"x 110,849 15,201",Vice PreSIdent for Enrollment 0,deborah,420680389,154350,Simpson College
Fred 0 Jones 40,"x 107,627 19,111",Professor of Sociology 0,fred,420680389,154350,Simpson College
John W Byrd 40,"x 151,753 41,042",Former PreSIdent,john,420680389,154350,Simpson College
