line1,line2,line3,key,fein,unitid,institutionname
FREDERICK V MOORE 40 00,"X X 225,804 0 47,342",PRESIDENT 0 00,frederick,420680404,153001,Buena Vista University
JOHN ASCHENBRENNER 1 00,X 0 0 0,TRUSTEE 0 00,john,420680404,153001,Buena Vista University
EDWARD BODAKEN 1 00,X 0 0 0,TRUSTEE 0 00,edward,420680404,153001,Buena Vista University
MARC BRINKMEYER 1 00,X 0 0 0,TRUSTEE 0 00,marc,420680404,153001,Buena Vista University
PHILLIP BROWN 1 00,X 0 0 0,TRUSTEE 0 00,phillip,420680404,153001,Buena Vista University
TIMOTHY BROWN 1 00,X 0 0 0,TRUSTEE 0 00,timothy,420680404,153001,Buena Vista University
SCOTT BYERS 1 00,X 0 0 0,TRUSTEE 0 00,scott,420680404,153001,Buena Vista University
DOUGLAS CLAUSEN 1 00,X 0 0 0,TRUSTEE 0 00,douglas,420680404,153001,Buena Vista University
KITTY CONOVER 1 00,X 0 0 0,TRUSTEE 0 00,kitty,420680404,153001,Buena Vista University
ROBERT CRAMER 1 00,X 0 0 0,TRUSTEE 0 00,robert,420680404,153001,Buena Vista University
GLENN DESTIGTER 1 00,X 0 0 0,TRUSTEE 0 00,glenn,420680404,153001,Buena Vista University
BECKI DRAHOTA 1 00,X 0 0 0,TRUSTEE 0 00,becki,420680404,153001,Buena Vista University
DAVID DVERGSTEN 1 00,X 0 0 0,TRUSTEE 0 00,david,420680404,153001,Buena Vista University
JAMES HAAHR 1 00,X 0 0 0,TRUSTEE 0 00,james,420680404,153001,Buena Vista University
LAURA HORN 0 00,X 0 0 0,TRUSTEE 0 00,laura,420680404,153001,Buena Vista University
MARK MCMANIGAL 1 00,X 0 0 0,TRUSTEE 0 00,mark,420680404,153001,Buena Vista University
NORMAN NIELSEN 1 00,X 0 0 0,TRUSTEE 0 00,norman,420680404,153001,Buena Vista University
MICHAEL PIERCE 1 00,X 0 0 0,TRUSTEE 0 00,michael,420680404,153001,Buena Vista University
CORDELL PETERSON 1 00,X 0 0 0,TRUSTEE 0 00,cordell,420680404,153001,Buena Vista University
MARK PETERSON 1 00,X 0 0 0,TRUSTEE 0 00,mark,420680404,153001,Buena Vista University
STEPHEN RUSSELL 1 00,X 0 0 0,TRUSTEE 0 00,stephen,420680404,153001,Buena Vista University
BERNIE SAGGAU 1 00,X 0 0 0,TRUSTEE 0 00,bernie,420680404,153001,Buena Vista University
QUENTIN WITTROCK 1 00,X 0 0 0,TRUSTEE 0 00,quentin,420680404,153001,Buena Vista University
DAVID EVANS 40 00,"X 151,610 0 26,187",VP FOR ACADEMIC AFFAIRS 0 00,david,420680404,153001,Buena Vista University
MARGARET MCKEON 40 00,"X 191,480 0 24,730",VP FOR STUDENT AFFAIRS 0 00,margaret,420680404,153001,Buena Vista University
MICHAEL FRANTZ 40 00,"X 176,385 0 24,138",VP FOR ENROLLMENT MANAGEMENT 0 00,michael,420680404,153001,Buena Vista University
ELIZABETH MERTEN 40 00,"X 155,770 0 25,589",VP FOR BUSINESS SERVICES 0 00,elizabeth,420680404,153001,Buena Vista University
KENNETH CONVERSE 40 00,"X 172,283 0 27,522",VP FOR INSTITUTIONAL ADVANCEMENT 0 00,kenneth,420680404,153001,Buena Vista University
SUSAN KALSOW 40 00,"X 183,203 0 23,663",ASSOCIATE VP OF ACADEMIC AFFAIRS 0 00,susan,420680404,153001,Buena Vista University
MICHAEL WHITLATCH 40 00,"X 113,023 0 12,042","DEAN, SCHOOL OF COMMUNICATION & ARTS 0 00",michael,420680404,153001,Buena Vista University
ASHOK SUBRAMANIAN 40 00,"X 149,256 0 23,612","DEAN, SCHOOL OF BUSINESS 0 00",ashok,420680404,153001,Buena Vista University
PAUL THEOBALD 40 00,"X 121,044 0 21,605","DEAN, SCHOOL OF EDUCATION 0 00",paul,420680404,153001,Buena Vista University
ROBERT FERGUSON 40 00,"X 113,869 0 16,595",PROFESSOR OF PSYCHOLOGY 0 00,robert,420680404,153001,Buena Vista University
