line1,line2,line3,key,fein,unitid,institutionname
PAUL TORGERSON 1 00,X X 0 0 0,CHAIRPERSON 0 00,paul,420680466,153834,Luther College
SANDRA LEE 1 00,X X 0 0 0,VICE CHAIRPERSON 0 00,sandra,420680466,153834,Luther College
MARILYN H ROVERUD 1 00,X X 0 0 0,SECRETARY 0 00,marilyn,420680466,153834,Luther College
JUDY VIJUMS 1 00,X 0 0 0,BOARD MEMBER 0 00,judy,420680466,153834,Luther College
RUSSELL BRUEMMER 1 00,X 0 0 0,BOARD MEMBER 0 00,russell,420680466,153834,Luther College
RONALD HAVE 1 00,X 0 0 0,BOARD MEMBER 0 00,ronald,420680466,153834,Luther College
ARNE M SORENSON 1 00,X 0 0 0,BOARD MEMBER 0 00,arne,420680466,153834,Luther College
GREGORY D FIELDS 1 00,X 0 0 0,BOARD MEMBER 0 00,gregory,420680466,153834,Luther College
JON M STELLMACHER 1 00,X 0 0 0,BOARD MEMBER 0 00,jon,420680466,153834,Luther College
STEVEN OVERHOLT 1 00,X 0 0 0,BOARD MEMBER 0 00,steven,420680466,153834,Luther College
STEVEN SCHAVER 1 00,X 0 0 0,BOARD MEMBER 0 00,steven,420680466,153834,Luther College
MARTI RODAMAKER 1 00,X 0 0 0,BOARD MEMBER 0 00,marti,420680466,153834,Luther College
GEORGE D KUH 1 00,X 0 0 0,BOARD MEMBER 0 00,george,420680466,153834,Luther College
DAVID K LIETZ 1 00,X 0 0 0,BOARD MEMBER 0 00,david,420680466,153834,Luther College
MICHAEL BURK 1 00,X 0 0 0,BOARD MEMBER 0 00,michael,420680466,153834,Luther College
PEGGY ETTESTAD 1 00,X 0 0 0,BOARD MEMBER 0 00,peggy,420680466,153834,Luther College
DAVID MEYER 1 00,X 0 0 0,BOARD MEMBER 0 00,david,420680466,153834,Luther College
STEVEN BARNES 1 00,X 0 0 0,BOARD MEMBER 0 00,steven,420680466,153834,Luther College
SUSAN SORLIEN 1 00,X 0 0 0,BOARD MEMBER 0 00,susan,420680466,153834,Luther College
DIANE THORMODSGARD 1 00,X 0 0 0,BOARD MEMBER 0 00,diane,420680466,153834,Luther College
WENDY DAVIDSON 1 00,X 0 0 0,BOARD MEMBER 0 00,wendy,420680466,153834,Luther College
ENWEI XIE 1 00,X 0 0 0,BOARD MEMBER 0 00,xie,420680466,153834,Luther College
DENNIS FLATNESS 1 00,X 0 0 0,BOARD MEMBER 0 00,dennis,420680466,153834,Luther College
KATHERINE JOHNSON—BECKLIN 1 00,X 0 0 0,BOARD MEMBER 0 00,katherine,420680466,153834,Luther College
RICHARD THEILER 1 00,X 0 0 0,BOARD MEMBER 0 00,richard,420680466,153834,Luther College
LANCE VANDER LINDEN 1 00,X 0 0 0,BOARD MEMBER 0 00,lance,420680466,153834,Luther College
ANN BENTDAHL 1 00,X 0 0 0,BOARD MEMBER 0 00,ann,420680466,153834,Luther College
J ROBERT PAULSON 1 00,X 0 0 0,BOARD MEMBER 0 00,robert,420680466,153834,Luther College
JAMES A THOMSEN 1 00,X 0 0 0,BOARD MEMBER 0 00,james,420680466,153834,Luther College
RICHARD TORGERSON 40 00,"X 299,901 0 47,988",PRESIDENT 0 00,richard,420680466,153834,Luther College
DIANE TACKE 40 00,"X 155,348 0 35,540",VP/TREASURER 0 00,diane,420680466,153834,Luther College
KEITH CHRISTENSEN 40 00,"X 148,361 0 37,712",VICE PRESIDENT 0 00,keith,420680466,153834,Luther College
SCOT SCHAEFFER 40 00,"X 134,923 0 44,721",VICE PRESIDENT 0 00,scot,420680466,153834,Luther College
KEVIN KRAUS 40 00,"X 137,775 0 46,831",VICE PRESIDENT 0 00,kevin,420680466,153834,Luther College
ROBIN LARSON 40 00,"x 95,540 0 51,828",VICE PRESIDENT 0 00,robin,420680466,153834,Luther College
COREY LANDSTROM 40 00,"X 106,948 0 28,782",VICE PRESIDENT 0 00,corey,420680466,153834,Luther College
DAVID TIEDE 40 00,"X 144,915 0 14,710",INTERIM PRESIDENT 0 00,david,420680466,153834,Luther College
DAVID MITCHELL 40 00,"X 130,577 0 42,860",MATH INSTRUCTOR/WRESTLING COACH 0 00,david,420680466,153834,Luther College
MATH INSTRUCTOR/WRESTLING COACH 0 00,PAUL MATTSON 40 00,"X 104,279 0 28,444",math,420680466,153834,Luther College
PAUL MATTSON 40 00,"X 104,279 0 28,444",EXEC DIRECTOR—LIBRARY & INFO SVCS 0 00,paul,420680466,153834,Luther College
