line1,line2,line3,key,fein,unitid,institutionname
(1) LINDA ALLEN 1 00,X 0 54 0,BOARD MEMBER 0 00,linda,421351526,152798,Allen College
(2) MICHAEL CHRISTIASON 1 00,X 0 324 0,BOARD MEMBER 1 00,michael,421351526,152798,Allen College
(3) DARREL COLSON 1 00,X 0 803 0,BOARD MEMBER 1 00,darrel,421351526,152798,Allen College
(4) PAMELA DELAGARDELLE 1 00,"X X 0 358,678 87,032",BOARD MEMBER & PRESIDENT/CEO 40 00,pamela,421351526,152798,Allen College
(5) JOEL HAACK 1 00,X 0 54 0,BOARD MEMBER 0 00,joel,421351526,152798,Allen College
(6) JOAN HEADINGTON 1 00,X 0 842 0,BOARD MEMBER 1 00,joan,421351526,152798,Allen College
(7) BEV SMITH 1 00,X 0 54 0,BOARD MEMBER 1 00,bev,421351526,152798,Allen College
(8) BISHOP STEVE ULLESTAD 1 00,X X 0 54 0,BOARD CHAIR 1 00,bishop,421351526,152798,Allen College
(9) EDITH WALDSTEIN 1 00,X X 0 54 0,BOARD SECRETARY/TREASURER 0 00,edith,421351526,152798,Allen College
(10) JERRY DURHAM 40 00,"X 0 262,785 30,652",CHANCELLOR OF COLLEGE 0 00,jerry,421351526,152798,Allen College
(11) RENEE RASMUSSEN 1 00,"X 0 290,367 101,248",SR VP FIN/CFO/CO 40 00,renee,421351526,152798,Allen College
(12) JAMES WATERBURY 1 00,"X 0 229,140 37,011",VP INSTITUTIONAL DEVELOP 40 00,james,421351526,152798,Allen College
(13) JOHN KNOX TO 1111 0 00,"X 0 164,673 38,845",FORMER PRESIDENT/CEO 0 00,john,421351526,152798,Allen College
(14) RICHARD SEIDLER TO 610 0 00,"X 0 622,225 316,659",FORMER PRESIDENT/CEO 40 00,richard,421351526,152798,Allen College
(15) TOM TIBBITTS TO 1212 0 00,"x 0 658,337 5,529",FORMER PRESIDENT/CEO 40 00,tom,421351526,152798,Allen College
