line1,line2,line3,key,fein,unitid,institutionname
JOSEPH CHARLES 1 00,X 0 0 0,TRUSTEE,joseph,430610813,177144,Culver-Stockton College
DR DONALD CLAYCOMB 1 00,X 0 0 0,TRUSTEE,donald,430610813,177144,Culver-Stockton College
R KENT CLOW 1 00,X 0 0 0,TRUSTEE,kent,430610813,177144,Culver-Stockton College
LARRY GORRELL 1 00,X X 0 0 0,VICE CHAIRMAN,larry,430610813,177144,Culver-Stockton College
DAVID MCCLINTOCK 1 00,X 0 0 0,TRUSTEE,david,430610813,177144,Culver-Stockton College
RONALD LEFTWICH 1 00,X X 0 0 0,CHAIRMAN,ronald,430610813,177144,Culver-Stockton College
DAVID C MOBLEY 1 00,X 0 0 0,TRUSTEE,david,430610813,177144,Culver-Stockton College
JEFFREY A STUERMAN 1 00,X 0 0 0,TRUSTEE,jeffrey,430610813,177144,Culver-Stockton College
DR C CLARK TODD 1 00,X 0 0 0,TRUSTEE,clark,430610813,177144,Culver-Stockton College
SALLIE JO CUNNINGHAM 1 00,X 0 0 0,TRUSTEE,sallie,430610813,177144,Culver-Stockton College
CHARLES SCHOLZ 1 00,X 0 0 0,TRUSTEE,charles,430610813,177144,Culver-Stockton College
HB TURNER 1 00,X X 0 0 0,TREASURER,turner,430610813,177144,Culver-Stockton College
ANTHONY CRANE 1 00,X 0 0 0,TRUSTEE,anthony,430610813,177144,Culver-Stockton College
LESLIE KELSAY 1 00,X 0 0 0,TRUSTEE,leslie,430610813,177144,Culver-Stockton College
JOHN KANNE 1 00,X 0 0 0,TRUSTEE,john,430610813,177144,Culver-Stockton College
TIMOTHY JAMES 1 00,X 0 0 0,DESIGNATED TRUSTEE,timothy,430610813,177144,Culver-Stockton College
SUSAN GODERSTAD 1 00,X 0 0 0,TRUSTEE,susan,430610813,177144,Culver-Stockton College
ROBIN GREGER 1 00,X 0 0 0,TRUSTEE,robin,430610813,177144,Culver-Stockton College
SCOTT JOHNSON 1 00,X 0 0 0,TRUSTEE,scott,430610813,177144,Culver-Stockton College
MICHAEL MCCAY 1 00,X 0 0 0,TRUSTEE,michael,430610813,177144,Culver-Stockton College
JASON STRATTON 1 00,X X 0 0 0,SECRETARY,jason,430610813,177144,Culver-Stockton College
DAVID YONKER 1 00,X 0 0 0,DESIGNATED TRUSTEE,david,430610813,177144,Culver-Stockton College
STACY RAITH 1 00,X 0 0 0,TRUSTEE,stacy,430610813,177144,Culver-Stockton College
NATHAN ZELINSKE 1 00,X 0 0 0,DESIGNATED TRUSTEE,nathan,430610813,177144,Culver-Stockton College
TIMOTHY FISCHER 1 00,X 0 0 0,TRUSTEE,timothy,430610813,177144,Culver-Stockton College
ROBERT STONE 1 00,X 0 0 0,TRUSTEE,robert,430610813,177144,Culver-Stockton College
TERRY TRAEDER 1 00,X 0 0 0,TRUSTEE,terry,430610813,177144,Culver-Stockton College
JENKINS DAVIS 1 00,X 0 0 0,TRUSTEE,jenkins,430610813,177144,Culver-Stockton College
JUSTIN FERRIS 1 00,X 0 0 0,DESIGNATED TRUSTEE,justin,430610813,177144,Culver-Stockton College
THOMAS POLETT 1 00,X 0 0 0,DESIGNATED TRUSTEE,thomas,430610813,177144,Culver-Stockton College
RICHARD VALENTINE 40 00,"X 201,625 0 18,057",PRESIDENT,richard,430610813,177144,Culver-Stockton College
DANIEL SILBER 40 00,"x 105,060 0 5,012",VICE PRESIDENT FOR ACADEMI,daniel,430610813,177144,Culver-Stockton College
