line1,line2,line3,key,fein,unitid,institutionname
GLENN COX 1 00,X X 0 0 0,CHAIRMAN,glenn,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
ROBERT T PERRY 1 00,X X 0 0 0,VICE CHAIRMAN,robert,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
NANCY PEACOCK 1 00,X X 0 0 0,SECRETARY,nancy,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
BRUCE ADDISON 1 00,X 0 0 0,TRUSTEE,bruce,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
FRED ALEXANDER 1 00,X 0 0 0,TRUSTEE,fred,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
DON ALLEMANN 1 00,X 0 0 0,TRUSTEE,don,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
ROBERT ANDERSON 1 00,X 0 0 0,TRUSTEE,robert,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
DAVID ATKINS 1 00,X 0 0 0,TRUSTEE,david,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
RICHARD BAILEY 1 00,X 0 0 0,TRUSTEE,richard,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
JAMES BRYAN 1 00,X 0 0 0,TRUSTEE,james,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
ROBERT COURTNEY 1 00,X 0 0 0,TRUSTEE,robert,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
RICHARD DAILEY 1 00,X 0 0 0,TRUSTEE,richard,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
JAMES DENNENY 1 00,X 0 0 0,TRUSTEE,james,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
JOHN DRAKESMITH 1 00,X 0 0 0,TRUSTEE,john,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
NANCY ELLIS 1 00,X 0 0 0,TRUSTEE,nancy,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
NINA FURSTENAU 1 00,X 0 0 0,TRUSTEE,nina,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
KEITH GARY 1 00,X 0 0 0,TRUSTEE,keith,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
ROBERT HAHNE 1 00,X 0 0 0,TRUSTEE,robert,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
TERRY HENDERSON 1 00,X 0 0 0,TRUSTEE,terry,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
JEFFREY JOGENMILLER 1 00,X 0 0 0,TRUSTEE,jeffrey,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
DICK HUTCHISON 1 00,X 0 0 0,TRUSTEE,dick,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
TIMOTHY JACKMAN 1 00,X 0 0 0,TRUSTEE,timothy,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
JANET JACOBS 1 00,X 0 0 0,TRUSTEE,janet,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
IVAN JAMES 1 00,X 0 0 0,TRUSTEE,ivan,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
DAVID KERR 1 00,X 0 0 0,TRUSTEE,david,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
PAUL KING 1 00,X 0 0 0,TRUSTEE,paul,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
RG KIRBY 1 00,X 0 0 0,TRUSTEE,kirby,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
BROCK LUTZ 1 00,X 0 0 0,TRUSTEE,brock,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
JAMES MARCHBANK 1 00,X 0 0 0,TRUSTEE,james,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
KIRK MEYER 1 00,X 0 0 0,TRUSTEE,kirk,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
DONNA PUYEAR 1 00,X 0 0 0,TRUSTEE,donna,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
JUDY RETHWISCH 1 00,X 0 0 0,TRUSTEE,judy,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
ROBERT SCHNASE 1 00,X 0 0 0,TRUSTEE,robert,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
LOUANN SHANER 1 00,X 0 0 0,TRUSTEE,louann,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
SONDRA SPALDING 1 00,X 0 0 0,TRUSTEE,sondra,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
JB WAGGONER 1 00,X 0 0 0,TRUSTEE,waggoner,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
KEITH YOUNG 1 00,X 0 0 0,TRUSTEE,keith,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
ROGER DRAKE 40 00,"X X 103,197 0 17,020",PRESIDENT/TRUSTEE,roger,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
JULEE SHERMAN 40 00,"X 107,851 0 15,275",VP FOR FINANCE & ADMINISTRATION,julee,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
STEPHANIE BRINK 40 00,"X 112,883 0 16,782",DIR OF ON—LINE PROGRAMS,stephanie,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
RITA GULSTAD 40 00,"X 126,283 0 16,782",VP AND DEAN OF UNIVERSITY,rita,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
KEN OLIVER 40 00,"X 124,612 0 17,649",VP INST GROWTH AND STUDENT ENGAGEMENT,ken,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
JOHN FLANDERS 40 00,"x 109,317 0 9,575",PROFESSOR OF BUSINESS AND ECONOMICS,john,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
MARIANNE E INMAN 0 00,"X 120,772 0 14,896",FORMER PRESIDENT/TRUSTEE,marianne,430654854,176947,Central Methodist University-College of Liberal Arts and Sciences
