line1,line2,line3,key,fein,unitid,institutionname
(1) JOHN EDWARDS 80,X X 0 0 0,CHAIR,john,430654876,179964,William Woods University
(2) DAN WESTHUES 80,X X 0 0 0,15T VICE CHAIR,dan,430654876,179964,William Woods University
(3) CYNDI BUTLER 80,X X 0 0 0,SECRETARY,cyndi,430654876,179964,William Woods University
(4) BEN WELLS 80,X X 0 0 0,TREASURER,ben,430654876,179964,William Woods University
(5) SUE ANDERSON 80,X 0 0 0,MEMBER AT LARGE,sue,430654876,179964,William Woods University
MEMBER AT LARGE,(6) DALE LARUE 80,X 0 0 0,large,430654876,179964,William Woods University
(6) DALE LARUE 80,X 0 0 0,MEMBER AT LARGE,dale,430654876,179964,William Woods University
MEMBER AT LARGE,(7) DEBORAH HUTCHISON 80,X 0 0 0,large,430654876,179964,William Woods University
(7) DEBORAH HUTCHISON 80,X 0 0 0,MEMBER AT LARGE,deborah,430654876,179964,William Woods University
MEMBER AT LARGE,(8) KIMBERLY BARNES 50,X 0 0 0,large,430654876,179964,William Woods University
(8) KIMBERLY BARNES 50,X 0 0 0,TRUSTEE,kimberly,430654876,179964,William Woods University
(9) RITA MAE BROWN 50,X 0 0 0,TRUSTEE,rita,430654876,179964,William Woods University
(10) MOLLY CATHEY 50,X 0 0 0,TRUSTEE,molly,430654876,179964,William Woods University
(11) JUDITH CHAPMAN 50,X 0 0 0,TRUSTEE,judith,430654876,179964,William Woods University
(12) NEAL BARRENTINE CLAPPER 50,X 0 0 0,TRUSTEE,neal,430654876,179964,William Woods University
(13) MARY LINN COLDIRON 50,X 0 0 0,TRUSTEE,mary,430654876,179964,William Woods University
(14) ELIZABETH FARRIS 50,X 0 0 0,TRUSTEE,elizabeth,430654876,179964,William Woods University
(15) JOAN FIRLEY 50,X 0 0 0,TRUSTEE,joan,430654876,179964,William Woods University
(16) VICTORIA GUNN 50,X 0 0 0,TRUSTEE,victoria,430654876,179964,William Woods University
(17) CHARLES JAMES 50,X 0 0 0,TRUSTEE,charles,430654876,179964,William Woods University
(18) KATHLEEN KUNKLER 50,X 0 0 0,TRUSTEE,kathleen,430654876,179964,William Woods University
(19) SARAH LOSINGER 50,X 0 0 0,TRUSTEE,sarah,430654876,179964,William Woods University
(20) CARLOS ORTEGA MALDONADO 50,X 0 0 0,TRUSTEE,carlos,430654876,179964,William Woods University
(21) MELINDA HALL—PATTERSON 50,X 0 0 0,TRUSTEE,melinda,430654876,179964,William Woods University
(22) LUANN RIDGEWAY 50,X 0 0 0,TRUSTEE,luann,430654876,179964,William Woods University
(23) JANET ROHMAN 50,X 0 0 0,TRUSTEE,janet,430654876,179964,William Woods University
(24) JUDY SCHMUCK 50,X 0 0 0,TRUSTEE,judy,430654876,179964,William Woods University
(25) ROMAINE SEGUIN 50,X 0 0 0,TRUSTEE,romaine,430654876,179964,William Woods University
(26) THERESA VONDERSCHMlTl' 50,X 0 0 0,TRUSTEE,theresa,430654876,179964,William Woods University
(27) JAHNAE BARNETT 40 00,"X 343,450 0 54,427",PRESIDENT,barnett,430654876,179964,William Woods University
(28) SCOTT GALLAGHER 40 00,"x 95,570 0 4,929",VICE PRESIDENT,scott,430654876,179964,William Woods University
"FRESH IDEAS 1000 W NIFONG BLVD COLUMBIA MO 65203 FOOD SERVICE 1,343,532","BUCKET MEDIA INC 1123 WILKES BLVD COLUMBIA MO 65201 ADVERTISING 483,482","THE LEARNING HOUSE INC 427 S 4TH ST STE 300 LOUISVILLE KY 40202 ONLINE LEARNING SERVICES 282,393",nifong,430654876,179964,William Woods University
"BUCKET MEDIA INC 1123 WILKES BLVD COLUMBIA MO 65201 ADVERTISING 483,482","THE LEARNING HOUSE INC 427 S 4TH ST STE 300 LOUISVILLE KY 40202 ONLINE LEARNING SERVICES 282,393","JENZABAR PO BOX 55018 BOSTON MA 02205 SOFTWARE MAINTENANCE 279,567",media,430654876,179964,William Woods University
"THE LEARNING HOUSE INC 427 S 4TH ST STE 300 LOUISVILLE KY 40202 ONLINE LEARNING SERVICES 282,393","JENZABAR PO BOX 55018 BOSTON MA 02205 SOFTWARE MAINTENANCE 279,567","FACILITY RENT 272,756",house,430654876,179964,William Woods University
