line1,line2,line3,key,fein,unitid,institutionname
ANITA ALLEE 1 00,X 0 0 0,TRUSTEE,anita,431007642,177542,Hannibal-LaGrange University
DR PHIL BRAY 1 00,X 0 0 0,TRUSTEE,phil,431007642,177542,Hannibal-LaGrange University
EDGAR ALMS 1 00,X 0 0 0,TRUSTEE,edgar,431007642,177542,Hannibal-LaGrange University
CHARLES BRAZEALE 1 00,X 0 0 0,CHAIRMAN,charles,431007642,177542,Hannibal-LaGrange University
MARK ANDERSON 1 00,X 0 0 0,TRUSTEE,mark,431007642,177542,Hannibal-LaGrange University
LORETTA BRINGER 1 00,X 0 0 0,TRUSTEE,loretta,431007642,177542,Hannibal-LaGrange University
DR MILTON BAUMGARDNER 1 00,X X 0 0 0,SECRETARY,milton,431007642,177542,Hannibal-LaGrange University
JOHN EDIE 1 00,X 0 0 0,TRUSTEE,john,431007642,177542,Hannibal-LaGrange University
PAT BENSON 1 00,X X 0 0 0,VICE CHAIRMAN,pat,431007642,177542,Hannibal-LaGrange University
MELVIN GRAHAM 1 00,X 0 0 0,TRUSTEE,melvin,431007642,177542,Hannibal-LaGrange University
DWIGHT BLANKENSHIP 1 00,X 0 0 0,TRUSTEE,dwight,431007642,177542,Hannibal-LaGrange University
JONI HANNIGAN 1 00,X 0 0 0,TRUSTEE,joni,431007642,177542,Hannibal-LaGrange University
MARK BOLEY 1 00,X 0 0 0,TRUSTEE,mark,431007642,177542,Hannibal-LaGrange University
JUDY HARDING 1 00,X 0 0 0,TRUSTEE,judy,431007642,177542,Hannibal-LaGrange University
VINITA HENRY 1 00,X 0 0 0,TRUSTEE,vinita,431007642,177542,Hannibal-LaGrange University
TOM RAINS 1 00,X 0 0 0,TRUSTEE,tom,431007642,177542,Hannibal-LaGrange University
ROBERT INGRAM 1 00,X 0 0 0,TRUSTEE,robert,431007642,177542,Hannibal-LaGrange University
LT COLJOEL RUSSELL 1 00,X 0 0 0,TRUSTEE,russell,431007642,177542,Hannibal-LaGrange University
GIRARD SECKER 1 00,X 0 0 0,TRUSTEE,girard,431007642,177542,Hannibal-LaGrange University
BRYAN LUNDSTROM 1 00,X 0 0 0,TRUSTEE,bryan,431007642,177542,Hannibal-LaGrange University
JERRY SHERIDAN 1 00,X X 0 0 0,TREASURER,jerry,431007642,177542,Hannibal-LaGrange University
WAYNE MCMULLIN 1 00,X 0 0 0,TRUSTEE,wayne,431007642,177542,Hannibal-LaGrange University
TIM SMITH 1 00,X 0 0 0,TRUSTEE,tim,431007642,177542,Hannibal-LaGrange University
MATTHEW TANNER 1 00,X 0 0 0,TRUSTEE,matthew,431007642,177542,Hannibal-LaGrange University
GLENN MILLER 1 00,X 0 0 0,TRUSTEE,glenn,431007642,177542,Hannibal-LaGrange University
SONIA VICARS 1 00,X 0 0 0,TRUSTEE,sonia,431007642,177542,Hannibal-LaGrange University
JENSEN PETERSEN 1 00,X 0 0 0,TRUSTEE,jensen,431007642,177542,Hannibal-LaGrange University
RANDY WHI'TEHEAD 1 00,X 0 0 0,TRUSTEE,randy,431007642,177542,Hannibal-LaGrange University
BOB POLLARD 1 00,X 0 0 0,TRUSTEE,bob,431007642,177542,Hannibal-LaGrange University
DR ANTHONY ALLEN 40 00,"x 244,956 0 6,649",PRESIDENT,anthony,431007642,177542,Hannibal-LaGrange University
