line1,line2,line3,key,fein,unitid,institutionname
(1) CHARLES SCOTT 3 0,X X 0 0 0,CHAIRMAN/DIRECTOR,charles,431633187,417752,Messenger College
(2) LOYD NATEN 2 o,X X 0 0 0,SECRETARY/ DIRECTOR,loyd,431633187,417752,Messenger College
(3) DANIEL DAVIS 40 0,"X X 44,425 0 24,357",PRESIDENT/DIRECTOR,daniel,431633187,417752,Messenger College
(4) ROY CARRICO 1 o,X 0 0 0,DIRECTOR,roy,431633187,417752,Messenger College
(5) DAN COLEMAN 1 0,X 0 0 0,DIRECTOR,dan,431633187,417752,Messenger College
(6) GARY JOHNSON 1 o,X 0 0 0,DIRECTOR,gary,431633187,417752,Messenger College
(7) DEAN LEMONS 1 0,X 0 0 0,DIRECTOR,lemons,431633187,417752,Messenger College
(8) JOSEPH E SKILES 1 0,"X 1,875 0 0",DIRECTOR,joseph,431633187,417752,Messenger College
(9) RACHEAL BURK 1 0,X 0 0 0,DIRECTOR,racheal,431633187,417752,Messenger College
(10) JONATHAN JENNINGS 1 0,X 0 0 0,DIRECTOR,jonathan,431633187,417752,Messenger College
(11) TINO MACIEL 1 0,X 0 0 0,DIRECTOR,tino,431633187,417752,Messenger College
(12) JANICE scorr 1 o,X 0 0 0,DIRECTOR,janice,431633187,417752,Messenger College
(13) JOSEPH G SKILES 1 0,X 0 0 0,DIRECTOR,joseph,431633187,417752,Messenger College
(14) RHONDA DAVIS 40 o,"X 36,190 0 0",VP OF STUDENT LIFE,rhonda,431633187,417752,Messenger College
(15) ANGELA HEPPNER 40 0,"X 34,990 0 0",VP OF BUSINESS AFFAIRS,angela,431633187,417752,Messenger College
(16) GWENDOLYN MINOR 40 0,"x 23,965 0 2,864",VP OF ACADEMIC AFFAIRS,gwendolyn,431633187,417752,Messenger College
