line1,line2,line3,key,fein,unitid,institutionname
(1) BUD BACON 1 00,X X 0 0 0,CHAIR,bud,440545286,178369,Missouri Valley College
(2) GARY FORD 1 00,X X 0 0 0,IMMEDIATE PAST CHAIR,gary,440545286,178369,Missouri Valley College
(3) OSCAR TSHIBANDA 1 00,X X 0 0 0,VICE CHAIR,oscar,440545286,178369,Missouri Valley College
(4) KARL CALDWELL 1 00,X X 0 0 0,TREASURER,karl,440545286,178369,Missouri Valley College
(5) ROBERT RAVENHILL 1 00,X X 0 0 0,SECRETARY,robert,440545286,178369,Missouri Valley College
(6) GLENN BERRY 1 00,X 0 0 0,TRUSTEE,glenn,440545286,178369,Missouri Valley College
(7) LLOYD BROWN 1 00,X 0 0 0,TRUSTEE,lloyd,440545286,178369,Missouri Valley College
(8) COREY CARNEY 1 00,X 0 0 0,TRUSTEE,corey,440545286,178369,Missouri Valley College
(9) RUTH COFFMAN—CLEMENS 1 00,X 0 0 0,TRUSTEE,ruth,440545286,178369,Missouri Valley College
(10) CHARLES COOPER 1 00,X 0 0 0,TRUSTEE,charles,440545286,178369,Missouri Valley College
(11) WAYNE CRAWFORD 1 00,X 0 0 0,TRUSTEE,wayne,440545286,178369,Missouri Valley College
(12) AL ECKILSON 1 00,X 0 0 0,TRUSTEE,al,440545286,178369,Missouri Valley College
(13) DAN FAHNSTOCK 1 00,X 0 0 0,TRUSTEE,dan,440545286,178369,Missouri Valley College
(14) PATRICIA FLETCHER 1 00,X 0 0 0,TRUSTEE,patricia,440545286,178369,Missouri Valley College
(15) GENE HARMON 1 00,X 0 0 0,TRUSTEE,gene,440545286,178369,Missouri Valley College
(16) SUSAN HOY 1 00,X 0 0 0,TRUSTEE,susan,440545286,178369,Missouri Valley College
(17) MATT HUSTON 1 00,X 0 0 0,TRUSTEE,matt,440545286,178369,Missouri Valley College
(18) DOUGLAS KIBURZ 1 00,X 0 0 0,TRUSTEE,douglas,440545286,178369,Missouri Valley College
(19) TOM MOORE 1 00,X 0 0 0,TRUSTEE,tom,440545286,178369,Missouri Valley College
(20) RON NIELSEN 1 00,X 0 0 0,TRUSTEE,ron,440545286,178369,Missouri Valley College
(21) JOHN PELZER 1 00,X 0 0 0,TRUSTEE,john,440545286,178369,Missouri Valley College
(22) RON PORTER 1 00,X 0 0 0,TRUSTEE,ron,440545286,178369,Missouri Valley College
(23) BARRY RANDOLPH 1 00,X 0 0 0,TRUSTEE,barry,440545286,178369,Missouri Valley College
(24) TODD RUSKAMP 1 00,X 0 0 0,TRUSTEE,todd,440545286,178369,Missouri Valley College
(25) TOM TAYLOR 1 00,X 0 0 0,TRUSTEE,tom,440545286,178369,Missouri Valley College
(26) BENOlT WESLY 1 00,X 0 0 0,TRUSTEE,wesly,440545286,178369,Missouri Valley College
(27) HANS WRIGHT 1 00,X 0 0 0,TRUSTEE,hans,440545286,178369,Missouri Valley College
(28) BONNIE HUMPHREY 40 00,"X 161,876 0 21,115",PRESIDENT,bonnie,440545286,178369,Missouri Valley College
(29) GREG SILVEY 40 00,"x 79,879 0 4,204",CHIEF FINANCIAL OFFICER,greg,440545286,178369,Missouri Valley College
"COIL CONSTRUCTION 209 EAST BROADWAY COLUMBIA MO 65203 CONTRACTOR 2,438,001","PFOODMAN 930 KEHRS MILL RD STE 324 BALLWIN MO 63011 FOOD SERVICE 1,847,672","BOOK X—CHANGE 2144 FIRST CAPITAL DRIVE ST CHARLES MO 633015804 BOOKSTORE 351,044",coil,440545286,178369,Missouri Valley College
"PFOODMAN 930 KEHRS MILL RD STE 324 BALLWIN MO 63011 FOOD SERVICE 1,847,672","BOOK X—CHANGE 2144 FIRST CAPITAL DRIVE ST CHARLES MO 633015804 BOOKSTORE 351,044","PHILIP IMHOFF CONSTRUCTION 14500 HWY 87 BOONVILLE MO 65233 CONTRACTOR 152,874",mill,440545286,178369,Missouri Valley College
