line1,line2,line3,key,fein,unitid,institutionname
JOHN WAGNER 40 00,"X X 61,236 0 0",PRESIDENT,john,470405319,181738,Union College
KEN BACON 1 00,X 0 0 0,TRUSTEE,ken,470405319,181738,Union College
ED BARNETT 1 00,X 0 0 0,TRUSTEE,ed,470405319,181738,Union College
STEVE BASCOM 1 00,X 0 0 0,TRUSTEE,steve,470405319,181738,Union College
NEIL BILOFF 1 00,X 0 0 0,TRUSTEE,neil,470405319,181738,Union College
MARIDAN BLAIR 1 00,X 0 0 0,TRUSTEE,blair,470405319,181738,Union College
RON CARLSON 1 00,X 0 0 0,TRUSTEE,ron,470405319,181738,Union College
CARY DECAMP 1 00,X 0 0 0,TRUSTEE,cary,470405319,181738,Union College
MORRE DEAN 1 00,X 0 0 0,TRUSTEE,morre,470405319,181738,Union College
TANYA DICK 1 00,X 0 0 0,TRUSTEE,tanya,470405319,181738,Union College
MIKE DUNLAP 1 00,X 0 0 0,TRUSTEE,mike,470405319,181738,Union College
GARTH FLETCHER 1 00,X 0 0 0,TRUSTEE,garth,470405319,181738,Union College
DERALD GOETZ 1 00,X 0 0 0,TRUSTEE,goetz,470405319,181738,Union College
MILDRED GREER 1 00,X 0 0 0,TRUSTEE,mildred,470405319,181738,Union College
ELAINE HAGELE 1 00,X 0 0 0,TRUSTEE,elaine,470405319,181738,Union College
RON HALVORSEN 1 00,X 0 0 0,TRUSTEE,ron,470405319,181738,Union College
ROB KOCH 1 00,X 0 0 0,TRUSTEE,rob,470405319,181738,Union College
JOHN KRIEGELSTEIN 1 00,X 0 0 0,TRUSTEE,john,470405319,181738,Union College
JACK KROGSTAD 1 00,X 0 0 0,TRUSTEE,jack,470405319,181738,Union College
RICK KRUEGER 1 00,X 0 0 0,TRUSTEE,rick,470405319,181738,Union College
JEROME LANG 1 00,X 0 0 0,TRUSTEE,jerome,470405319,181738,Union College
TOM LEMON 1 00,X 0 0 0,TRUSTEE,tom,470405319,181738,Union College
JUSTIN LYONS 1 00,X 0 0 0,TRUSTEE,justin,470405319,181738,Union College
JAMES MCARTHUR 1 00,X 0 0 0,TRUSTEE,james,470405319,181738,Union College
LARRY PITCHER 1 00,X 0 0 0,TRUSTEE,larry,470405319,181738,Union College
BARBARA PROWANT 1 00,X 0 0 0,TRUSTEE,barbara,470405319,181738,Union College
RICH REINER 1 00,X 0 0 0,TRUSTEE,rich,470405319,181738,Union College
SUSAN REISWIG—HAINES 1 00,X 0 0 0,TRUSTEE,susan,470405319,181738,Union College
JESSICA SAXTON 1 00,X 0 0 0,TRUSTEE,jessica,470405319,181738,Union College
KENT SELTMAN 1 00,X 0 0 0,TRUSTEE,kent,470405319,181738,Union College
KENT THOMPSON 1 00,X 0 0 0,TRUSTEE,kent,470405319,181738,Union College
MAURICE VALENTINE 1 00,X 0 0 0,TRUSTEE,maurice,470405319,181738,Union College
GILL WEBB 1 00,X 0 0 0,TRUSTEE,gill,470405319,181738,Union College
JEFF LEEPER 40 00,"X 65,688 0 0",TREASURER,jeff,470405319,181738,Union College
MALCOM RUSSELL 40 00,"X 65,688 0 0",VICE PRESIDENT,malcom,470405319,181738,Union College
