line1,line2,line3,key,fein,unitid,institutionname
(1) Susan Brown 1 00,X 0 0 0,Director,susan,470489031,181376,Nebraska Christian College
(2) Roger Charley 1 00,X 0 0 0,Director,roger,470489031,181376,Nebraska Christian College
(3) Christine Clausen 1 00,X X 0 0 0,Secretary,christine,470489031,181376,Nebraska Christian College
(4) Ken Cooper 1 00,X 0 0 0,Director,ken,470489031,181376,Nebraska Christian College
(5) Vic Coston 1 00,X 0 0 0,Director,vic,470489031,181376,Nebraska Christian College
(6) Mary Beth Fast 1 00,X 0 0 0,Director,mary,470489031,181376,Nebraska Christian College
(7) Roger Fletcher 1 00,X 0 0 0,Director,roger,470489031,181376,Nebraska Christian College
(8) Tony Kafka 1 00,X X 0 0 0,Vice Chair,tony,470489031,181376,Nebraska Christian College
(9) Virg Marshall 1 00,X X 0 0 0,Treasurer,marshall,470489031,181376,Nebraska Christian College
(10) Ralph Mehrens 1 00,X 0 0 0,Director,ralph,470489031,181376,Nebraska Christian College
(11) Wayne Moorhead 1 00,X X 0 0 0,Chairman,wayne,470489031,181376,Nebraska Christian College
(12) Bryan Myers 1 00,X 0 0 0,Director,bryan,470489031,181376,Nebraska Christian College
(13) Nathan Powell 1 00,X 0 0 0,Director,nathan,470489031,181376,Nebraska Christian College
(14) Justin Raulston 1 00,X 0 0 0,Director,justin,470489031,181376,Nebraska Christian College
(15) Don Rowe 1 00,X 0 0 0,Director,don,470489031,181376,Nebraska Christian College
(16) Dirk Scates 1 00,X 0 0 0,Director,dirk,470489031,181376,Nebraska Christian College
(17) Steve Smith 1 00,X X 0 0 0,Pash Chairman,steve,470489031,181376,Nebraska Christian College
(18) Josh Sikes 1 00,X 0 0 0,Director,josh,470489031,181376,Nebraska Christian College
(19) Lyle VonSpreckelsen 1 00,X 0 0 0,Director,lyle,470489031,181376,Nebraska Christian College
(20) Paul Wickenkamp 1 00,X 0 0 0,Director,paul,470489031,181376,Nebraska Christian College
(21) Richard Milliken 40 00,"x 49,845 0 5,878",PreSIdent,richard,470489031,181376,Nebraska Christian College
(22) Anthony Clark 40 00,"x 56,260 0 3,048",CEO,anthony,470489031,181376,Nebraska Christian College
