line1,line2,line3,key,fein,unitid,institutionname
(1) DEB BASS 1 00,X 0 0 0,IMMED PAST CHAIR (BEG 07/13) 0 00,deb,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
(2) BOB HERRERA 1 00,X X 0 0 0,CHAIRMAN (BEG 07/13) 0 00,bob,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
(3) TATE FITZGERALD 1 00,X X 0 0 0,VICE CHAIRMAN (BEG 07/13) 0 00,tate,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
(4) RUTH FREED 1 00,"X X 0 107,925 58,094",SECRETARY (BEG 07/13) 39 00,ruth,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
(5) DENISE LINEMANN SCHOLZ 1 00,X X 0 0 0,TREASURER (BEG 07/13) 0 00,denise,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
(6) RICHARD HAHN 1 00,X 0 0 0,DIRECTOR (END 06/13) 0 00,richard,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
(7) CAROLYN HARPER 1 00,X 0 0 0,DIRECTOR (BEG 07/13) 0 00,carolyn,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
(8) DAN FLANAGAN PHD 1 00,X 0 0 0,DIRECTOR (BEG 07/13) 0 00,dan,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
(9) ALAN GARD 1 00,X X 0 0 0,ASST SECRETARY (BEG 07/13) 0 00,alan,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
(10) LEE HARLAN 1 00,X 0 0 0,DIRECTOR (BEG 07/13) 0 00,lee,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
(11) NICK HENDERSON 1 00,X 0 0 0,DIRECTOR (BEG 07/13) 0 00,nick,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
(12) BISHOP SCOTT JONES 1 00,X 0 0 0,DIRECTOR (BEG 07/13) 0 00,bishop,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
(13) JANICE KUHN PH D 1 00,X 0 0 0,DIRECTOR (END 06/13) 0 00,janice,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
(14) LINDA LOVGREN 1 00,X 0 0 0,DIRECTOR (END 06/13) 0 00,linda,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
(15) BLANE MC CANN PH D 1 00,X 0 0 0,DIRECTOR (BEG 07/13) 0 00,blane,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
(16) TONY PISKAC MD 1 00,"X 0 272,355 67,612",DIRECTOR (END 06/13) 39 00,tony,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
(17) KATIE SANDERS 1 00,X 0 0 0,DIRECTOR (BEG 07/13) 0 00,katie,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
(18) ADAM YALE 1 00,X 0 0 0,DIRECTOR (BEG 07/13) 0 00,adam,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
(19) LORETTA CARROLL 1 00,X 0 0 0,DIRECTOR (BEG 07/13) 0 00,loretta,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
(20) KATE DODGE 1 00,X 0 0 0,DIRECTOR (BEG 07/13) 0 00,kate,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
(21) KERRI PETERSON 1 00,X 0 0 0,DIRECTOR (BEG 07/13) 0 00,kerri,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
(22) REBECCA REILLY MD 1 00,"X 0 109,262 25,467",DIRECTOR (BEG 07/13) 39 00,rebecca,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
(23) ANDREA SKOLKIN 1 00,X 0 0 0,DIRECTOR (BEG 07/13) 0 00,andrea,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
(24) DENNIS JOSLIN 39 00,"X 0 287,738 83,986",PRESIDENT 1 00,dennis,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
(25) LINDA BURT 1 00,"X 0 481,614 91,351",VICE PRES FINANCE & CFO 39 00,linda,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
(26) PAUL SAVORY 40 00,"X 0 156,440 36,732",VP ACADEMIC AFFAIRS 0 00,paul,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
(27) DEBORAH CARLSON 40 00,"X 133,174 0 23,109",VP STUDENT AFFAIRS 0 00,deborah,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
(28) KRISTINE HESS 40 00,"X 114,183 0 32,589",VP ORGANIZATIONAL DEVELOPMENT 0 00,kristine,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
(29) SUSAN WARD 40 00,"X 104,694 0 31,088",PROFESSOR 0 00,susan,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
"CLARK CREATIVE GROUP 514 S 13TH STREET OMAHA NE 68102 MARKETING SERVICES 325,283","N PITLOR & SONS 10901 ISTREET OMAHA NE 68137 CONSTRUCTION SERVICES 246,100","STAMATS 615 FIFTH STREET SE CEDAR RAPIDS IA 52406 MARKETING SERVICES 100,580",clark,470724387,181297,Nebraska Methodist College of Nursing & Allied Health
