line1,line2,line3,key,fein,unitid,institutionname
(1) JEFF HOLLOWAY 3 00,X X 0 0 0,CHAIRMAN,jeff,476025325,181543,Summit Christian College
(2) LARRY BERLIN 1 00,X X 0 0 0,VICE CHAIRMAN,larry,476025325,181543,Summit Christian College
(3) HERB RAINEY 1 00,X X 0 0 0,SECRETARY,herb,476025325,181543,Summit Christian College
(4) ANDY GUDAHL 1 00,X X 0 0 0,TREASURER,andy,476025325,181543,Summit Christian College
(5) WES GUDAHL 1 00,X 0 0 0,BOARD MEMBER,wes,476025325,181543,Summit Christian College
(6) ANGIE ARNOLD 1 00,X 0 0 0,BOARD MEMBER,angie,476025325,181543,Summit Christian College
(7) JUNE MCQUEEN 1 00,X 0 0 0,BOARD MEMBER,mcqueen,476025325,181543,Summit Christian College
(8) WILLIE COOP 1 00,X 0 0 0,BOARD MEMBER,willie,476025325,181543,Summit Christian College
(9) JONATHAN SENG 1 00,X 0 0 0,BOARD MEMBER,jonathan,476025325,181543,Summit Christian College
(10) LYLE HINEBAUCH 1 00,X 0 0 0,BOARD MEMBER,lyle,476025325,181543,Summit Christian College
(11) LARITA VANBOSKIRK 1 00,X 0 0 0,BOARD MEMBER,larita,476025325,181543,Summit Christian College
(12) JOHN STEELE 1 00,X 0 0 0,BOARD MEMBER,john,476025325,181543,Summit Christian College
(13) MERLE POWELL 1 00,X 0 0 0,BOARD MEMBER,merle,476025325,181543,Summit Christian College
(14) RICK DERR 1 00,X 0 0 0,BOARD MEMBER,rick,476025325,181543,Summit Christian College
(15) DAVID PARRISH 40 00,"x 36,757 0 15,000",PRESIDENT/ TOP MANAGEMENT,david,476025325,181543,Summit Christian College
(16) THOMAS S GRIBBLE 40 00,"x 26,581 0 16,625",ACADEMIC DEAN/ TOP FINANCI,thomas,476025325,181543,Summit Christian College
