line1,line2,line3,key,fein,unitid,institutionname
CHERYL E GLEASON 2 00,X 0 0 0,BOARD OF TRU,cheryl,480543715,155900,Southwestern College
CHRISTOPHER L HOLT 2 00,X 0 0 0,BOARD OF TRU,christopher,480543715,155900,Southwestern College
DR STANLEY A BOWLING 2 00,X 0 0 0,BOARD OF TRU,stanley,480543715,155900,Southwestern College
DR JAMES BRYANT 2 00,X 0 0 0,BOARD OF TRU,james,480543715,155900,Southwestern College
BEN FOSTER 2 00,X 0 0 0,BOARD OF TRU,ben,480543715,155900,Southwestern College
R PATRICK GAUGHAN 2 00,X X 0 0 0,CHAIR FACILI,patrick,480543715,155900,Southwestern College
SUE A LEWIS HALE 2 00,X X 0 0 0,VICE CHAIR/T,sue,480543715,155900,Southwestern College
R ALAN HAYWOOD 2 00,X 0 0 0,BOARD OF TRU,alan,480543715,155900,Southwestern College
SCOTT C HECHT 2 00,X X 0 0 0,INST ADV /T,scott,480543715,155900,Southwestern College
RONALD W HOLT 2 00,X 0 0 0,BOARD OF TRU,ronald,480543715,155900,Southwestern College
VICKI BOND 2 00,X 0 0 0,BOARD OF TRU,vicki,480543715,155900,Southwestern College
ROZIA MCKINNEY FOSTER 2 00,X X 0 0 0,AT LARGE/TRU,mckinney,480543715,155900,Southwestern College
BISHOP SCOTT JONES 2 00,X 0 0 0,BOARD OF TRU,bishop,480543715,155900,Southwestern College
RODNEY C KREIE 2 00,X 0 0 0,BOARD OF TRU,rodney,480543715,155900,Southwestern College
TERESA MORROW 2 00,X 0 0 0,BOARD OF TRU,teresa,480543715,155900,Southwestern College
MICHAEL D LEWIS 2 00,X X 0 0 0,CH ACADEMIC,michael,480543715,155900,Southwestern College
DR CHARLES M MADDIN 2 00,X 0 0 0,BOARD OF TRU,charles,480543715,155900,Southwestern College
STEVE A MCSPADDEN 2 00,X X 0 0 0,SECRETARY/ BD,steve,480543715,155900,Southwestern College
FLORENCE METCALF 2 00,X X 0 0 0,CHR STUDENT,florence,480543715,155900,Southwestern College
REV DANNY J MOSS 2 00,X 0 0 0,BOARD OF TRU,danny,480543715,155900,Southwestern College
REV GARY BROOKS 2 00,X 0 0 0,DIST SUPER/,gary,480543715,155900,Southwestern College
DR MICHAEL KIM MOORE 2 00,X 0 0 0,BOARD OF TRU,michael,480543715,155900,Southwestern College
JAMES L RICHARDSON 2 00,X X 0 0 0,CHR BUSINES,james,480543715,155900,Southwestern College
DR DAVID E SMITH 2 00,X X 0 0 0,CHAIR/BD OF,david,480543715,155900,Southwestern College
ERIC J KURTZ 2 00,X X 0 0 0,AT LARGE/TRU,eric,480543715,155900,Southwestern College
F DAVID PECK 2 00,X 0 0 0,BOARD OF TRU,david,480543715,155900,Southwestern College
REV THOMAS WALLRABENSTEIN 2 00,X 0 0 0,BOARD OF TRU,thomas,480543715,155900,Southwestern College
WARREN D ANDREAS 2 00,X 0 0 0,BOARD OF TRU,warren,480543715,155900,Southwestern College
PHYLLIS J BIGLER 2 00,X 0 0 0,BOARD OF TRU,phyllis,480543715,155900,Southwestern College
COURTNEY J BROWN 2 00,X 0 0 0,BOARD OF TRU,courtney,480543715,155900,Southwestern College
DAVID T BURNETT 2 00,X 0 0 0,BOARD OF TRU,david,480543715,155900,Southwestern College
DR MARILYN A CORBIN 2 00,X 0 0 0,BOARD OF TRU,marilyn,480543715,155900,Southwestern College
DR JAMES L FISHBACK 2 00,X 0 0 0,BOARD OF TRU,james,480543715,155900,Southwestern College
MICHAELJ FOSTER 2 00,X 0 0 0,BOARD OF TRU,foster,480543715,155900,Southwestern College
JOSHUA G MOORE 2 00,X 0 0 0,BOARD OF TRU,joshua,480543715,155900,Southwestern College
REV WILLIAM TISDALE 2 00,X 0 0 0,BOARD OF TRU,william,480543715,155900,Southwestern College
RICHARD MERRIMAN 40 00,"X 219,054 0 16,552",PRESIDENT,richard,480543715,155900,Southwestern College
PAMELA MONACO 40 00,"X 137,206 0 11,989",VP FOR PROFE,pamela,480543715,155900,Southwestern College
DEBORAH L STOCKMAN 40 00,"x 101,611 0 5,401",ASSOC VP PRO,deborah,480543715,155900,Southwestern College
BEN LIM 40 00,"x 101,031 0 5,369",VP INFO TEC,ben,480543715,155900,Southwestern College
