line1,line2,line3,key,fein,unitid,institutionname
(1) MR JIM MARTIN 1 00,X X 0 0 0,BOARD CHAIR 1 00,jim,480543734,154721,Bethany College
(2) DR KRIS ERICSON 1 00,X X 0 0 0,BOARD VICE CHAIR 0 00,kris,480543734,154721,Bethany College
(3) THE HONORABLE EVELYN WILSON 1 00,X X 0 0 0,BOARD SECRETARY 0 00,evelyn,480543734,154721,Bethany College
(4) MR RANDY BERRY 1 00,X 0 0 0,DIRECTOR 0 00,randy,480543734,154721,Bethany College
(5) DR JON BREDESON 1 00,X 0 0 0,DIRECTOR 0 00,jon,480543734,154721,Bethany College
(6) MRS RUTH BROWNE 1 00,X 0 0 0,DIRECTOR 0 00,ruth,480543734,154721,Bethany College
(7) MR ERIC DOERING 1 00,X 0 0 0,DIRECTOR 0 00,eric,480543734,154721,Bethany College
(8) DR MARIE FRIEDEMANN 1 00,X 0 0 0,DIRECTOR 0 00,marie,480543734,154721,Bethany College
(9) BISHOP MICHAEL GIRLINGHOUSE 1 00,X 0 0 0,DIRECTOR 0 00,bishop,480543734,154721,Bethany College
(10) BISHOP ROGER GUSTAFSON 1 00,X 0 0 0,DIRECTOR 0 00,bishop,480543734,154721,Bethany College
(11) MR LEROY HACKLEY 1 00,X 0 0 0,DIRECTOR 0 00,leroy,480543734,154721,Bethany College
(12) DR MARK MCDONALD 40 00,"x 38,900 0 7,828",FACULTY REPRESENTATIVE 0 00,mark,480543734,154721,Bethany College
(13) MR KURT MEYER 1 00,X 0 0 0,DIRECTOR 0 00,kurt,480543734,154721,Bethany College
(14) MR BOB MOONEY 1 00,X 0 0 0,DIRECTOR 0 00,bob,480543734,154721,Bethany College
(15) MR MICHAEL O'DELL 1 00,X 0 0 0,DIRECTOR 0 00,michael,480543734,154721,Bethany College
(16) MR JASON OPAT 1 00,X 0 0 0,DIRECTOR 0 00,jason,480543734,154721,Bethany College
(17) MR SEAN PATTY 1 00,X 0 0 0,DIRECTOR 0 00,sean,480543734,154721,Bethany College
(18) MR COREY PETERSON 1 00,X 0 0 0,DIRECTOR 0 00,corey,480543734,154721,Bethany College
(19) REV FLOYD THOMPKINS JR 1 00,X 0 0 0,DIRECTOR 0 00,floyd,480543734,154721,Bethany College
(20) MR V TODD WALETZKI 1 00,X 0 0 0,DIRECTOR 0 00,todd,480543734,154721,Bethany College
(21) MS MARLENE WALTZ 1 00,X 0 0 0,DIRECTOR 0 00,marlene,480543734,154721,Bethany College
(22) MS MELISSA WOEPPEL 1 00,X 0 0 0,STUDENT REPRESENTATIVE 0 00,melissa,480543734,154721,Bethany College
(23) DR EDWARD L LEONARD III 60 00,"X 146,449 0 12,128",PRESIDENT 1 00,edward,480543734,154721,Bethany College
(24) MR DENNIS STUGELMEYER 60 00,"x 46,456 0 4,310","V P FINANCE & OPERATIONS, TREASURER 1 00",dennis,480543734,154721,Bethany College
(25) MR RICHARD METZ 60 00,"X 48,834 0 0",INTERIM V P FINANCE & OPERATIONS 1 00,richard,480543734,154721,Bethany College
(26) DR KENNETH MACUR 60 00,"X 100,962 0 13,588",PROVOST 0 00,kenneth,480543734,154721,Bethany College
