line1,line2,line3,key,fein,unitid,institutionname
DAVID J GRUMMON 1 0,X 0 0 0,TRUSTEE,david,480543772,105367,Ottawa University-Phoenix
DR STANLEY L BETTIN 1 0,X 0 0 0,TRUSTEE,stanley,480543772,105367,Ottawa University-Phoenix
JOHN H CASSIDY 1 0,X 0 0 0,TRUSTEE,john,480543772,105367,Ottawa University-Phoenix
LUCKY DEFRIES 1 0,X X 0 0 0,TREASURER/TRUSTEE,lucky,480543772,105367,Ottawa University-Phoenix
KARLA DYE 1 0,X 0 0 0,TRUSTEE,karla,480543772,105367,Ottawa University-Phoenix
KEVIN EICHNER 40 0,"X X 383,078 0 27,386",PRESIDENT,kevin,480543772,105367,Ottawa University-Phoenix
LARRY FELIX 1 0,X 0 0 0,TRUSTEE,larry,480543772,105367,Ottawa University-Phoenix
RICHARD JACKSON 1 0,X 0 0 0,TRUSTEE,richard,480543772,105367,Ottawa University-Phoenix
WYNNDEE LEE 1 0,X X 0 0 0,VICE CHAIR/TRUSTEE,lee,480543772,105367,Ottawa University-Phoenix
DR HENRY H SCHERICH 1 0,X X 0 0 0,CHAIR/TRUSTEE,henry,480543772,105367,Ottawa University-Phoenix
GLENDA SCHMIDT 1 0,X 0 0 0,TRUSTEE,glenda,480543772,105367,Ottawa University-Phoenix
DR WARREN R SMITH 1 0,X 0 0 0,TRUSTEE,warren,480543772,105367,Ottawa University-Phoenix
DR JANICE R WISSMAN 1 0,X 0 0 0,TRUSTEE,janice,480543772,105367,Ottawa University-Phoenix
DR DAVID GREENHAW 1 0,X 0 0 0,TRUSTEE,david,480543772,105367,Ottawa University-Phoenix
RICHARD MAACK 1 0,X 0 0 0,TRUSTEE,richard,480543772,105367,Ottawa University-Phoenix
KENNETH BRAUN 1 0,X 0 0 0,TRUSTEE,kenneth,480543772,105367,Ottawa University-Phoenix
JOHN WILLIAMS 1 0,X 0 0 0,TRUSTEE,john,480543772,105367,Ottawa University-Phoenix
WILEY ANGELL 1 0,X 0 0 0,TRUSTEE,wiley,480543772,105367,Ottawa University-Phoenix
MICHAEL HETRICK 1 0,X X 0 0 0,SECRETARY/TRUSTEE,michael,480543772,105367,Ottawa University-Phoenix
WAYNE DUDERSTADT 1 0,X 0 0 0,TRUSTEE,wayne,480543772,105367,Ottawa University-Phoenix
JOSEPH GREENHAW 1 0,X 0,TRUSTEE,joseph,480543772,105367,Ottawa University-Phoenix
STEVE HASTY 1 0,X 0,TRUSTEE,steve,480543772,105367,Ottawa University-Phoenix
KATHLEEN MADDEN 1 0,X 0,TRUSTEE,kathleen,480543772,105367,Ottawa University-Phoenix
LAURA OWEN 1 0,X 0,TRUSTEE,laura,480543772,105367,Ottawa University-Phoenix
BARRY PELTON 1 0,X 0,TRUSTEE,barry,480543772,105367,Ottawa University-Phoenix
DAVID SNYDER 1 0,X 0,TRUSTEE,david,480543772,105367,Ottawa University-Phoenix
PAMELA WOODWARD 1 0,X 0,TRUSTEE,pamela,480543772,105367,Ottawa University-Phoenix
JOHN COEN 1 0,X 0 0,TRUSTEE,john,480543772,105367,Ottawa University-Phoenix
DANNY TRENT 1 0,X 0 0,TRUSTEE,danny,480543772,105367,Ottawa University-Phoenix
EDWARD HOSKINS 1 0,X 0,TRUSTEE,edward,480543772,105367,Ottawa University-Phoenix
DIANE SEXTON 1 0,X 0,TRUSTEE,diane,480543772,105367,Ottawa University-Phoenix
JEANNE STUART KING 1 0,X 0,TRUSTEE,jeanne,480543772,105367,Ottawa University-Phoenix
KRISTY CANNON STALLINGS 1 0,X 0,TRUSTEE,kristy,480543772,105367,Ottawa University-Phoenix
DENNIS TYNER 40 0,"x 154,732 81,268",VICE PRESIDENT,dennis,480543772,105367,Ottawa University-Phoenix
MARY DONNA LEVENE 40 0,"x 115,032 18,206",VICE PRESIDENT,mary,480543772,105367,Ottawa University-Phoenix
TERREL HAINES 40 0,"x 156,793 25,674",VICE PRESIDENT,terrel,480543772,105367,Ottawa University-Phoenix
J CLARK RIBORDY 40 0,"x 189,379 26,299",VICE PRESIDENT,clark,480543772,105367,Ottawa University-Phoenix
PAUL BEAN 40 0,"x 140,917 23,592",VICE PRESIDENT,paul,480543772,105367,Ottawa University-Phoenix
BRIAN MESSER 40 0,"x 80,369 10,225",VICE PRESIDENT,brian,480543772,105367,Ottawa University-Phoenix
SHANE SMEED 40 0,"x 192,441 23,568",VICE PRESIDENT,shane,480543772,105367,Ottawa University-Phoenix
NANCY WINGERT 40 0,"x 83,036 5,012",VICE PRESIDENT,nancy,480543772,105367,Ottawa University-Phoenix
KIRK WESSEL 40 0,"x 106,826 6,106",DEAN OF SCHOOL OF BUSINESS,kirk,480543772,105367,Ottawa University-Phoenix
