line1,line2,line3,key,fein,unitid,institutionname
(1) IRENEE DU PONT JR 0 00,X 0 0 0,TRUSTEE,du,510107088,131113,Wilmington University
(2) ROBERT C COLE JR 0 00,X 0 0 0,TRUSTEE,robert,510107088,131113,Wilmington University
(3) ALAN D ELLINGSWORTH 0 00,X 0 0 0,TRUSTEE,alan,510107088,131113,Wilmington University
(4) FLORENCE W GARVIN 0 00,X 0 0 0,TRUSTEE,florence,510107088,131113,Wilmington University
(5) LARRY D GEHRKE 0 00,X 0 0 0,TRUSTEE,larry,510107088,131113,Wilmington University
(6) G DEAN MACEWEN MD 0 00,X 0 0 0,TRUSTEE,macewen,510107088,131113,Wilmington University
(7) LAWARENCE H MILLER 0 00,X 0 0 0,TRUSTEE,miller,510107088,131113,Wilmington University
(8) DANA P ROBINSON 0 00,X 0 0 0,TRUSTEE,dana,510107088,131113,Wilmington University
(9) RICHARD P SANGER 0 00,X 0 0 0,TRUSTEE,richard,510107088,131113,Wilmington University
(10) RONALD C WATTS EDD 0 00,X 0 0 0,TRUSTEE,ronald,510107088,131113,Wilmington University
(11) JACK P VARSALONA 40 00,"X 819,528 0 499,038",PRESIDENT,jack,510107088,131113,Wilmington University
(12) HEATHER A O'CONNELL 40 00,"X 324,959 0 108,711",VP & CFO,heather,510107088,131113,Wilmington University
(13) THOMAS S SHAW 0 00,X 0 0 0,VICE CHAIRMAN & TREASURER,thomas,510107088,131113,Wilmington University
(14) JOSEPH J FARNAN JR 0 00,X 0 0 0,CHAIRMAN,joseph,510107088,131113,Wilmington University
(15) THOMAS E LEIPOLD PHD 0 00,X 0 0 0,VICE CHAIRMAN & SECRETARY,thomas,510107088,131113,Wilmington University
(16) DAVID F MARVIN 0 00,X 0 0 0,VICE CHAIRMAN,david,510107088,131113,Wilmington University
(17) LAVERNE T HARMON 40 00,"X 306,481 0 192,699",VP,laverne,510107088,131113,Wilmington University
(18) CAROLE D PITCHER 40 00,"X 307,299 112,216",VP,carole,510107088,131113,Wilmington University
(19) PETER BAILEY 40 00,"X 276,241 135,863",VP,peter,510107088,131113,Wilmington University
(20) JAMES WILSON JR 40 00,"X 272,940 103,380",VP,james,510107088,131113,Wilmington University
(21) ERIN DIMARCO 40 00,"x 275,076 71,741",VP,erin,510107088,131113,Wilmington University
(22) EILEEN DONNELLY 40 00,"x 200,321 26,876",ASST VP,eileen,510107088,131113,Wilmington University
(23) ANGELA SUCHANIC 40 00,"x 201,500 38,438",ASST VP,angela,510107088,131113,Wilmington University
(24) RICHARD GOCHNAUER 40 00,"x 199,203 9,921","ASST, VP",richard,510107088,131113,Wilmington University
(25) JACK CUNNINGHAM 40 00,"x 187,530 9,256","ASST, VP",jack,510107088,131113,Wilmington University
(26) DAVID LEWIS 40 00,"x 186,568 14,809","ASST, VP",david,510107088,131113,Wilmington University
"MARVIN & PALMER ASSOCIATES 1201 NORTH MARKET STREET SUITE 230 WILMINGTON DE 19801 FINANCIAL SERVICES 269,234","GUNNIP & COMPANY LLC 2751 CENTERVILLE ROAD SUITE 300 WILMINGTON DE 19808 AUDITING SERVICES 146,635","ROBERT'S PAINTING & WALLPAPERING 127 HONORA DRIVE BEAR DE 19701 INDEPENDENT PAINTER 124,006",marvin,510107088,131113,Wilmington University
