line1,line2,line3,key,fein,unitid,institutionname
(1) MOHAMMAD ILYAS 40 00,"X X 507,332 0 30,096",PRESIDENT,mohammad,510109178,130989,Goldey-Beacom College
(2) JAVED GILANI 2 00,X 0 0 0,TRUSTEE,javed,510109178,130989,Goldey-Beacom College
(3) E THOMAS HARVEY 2 00,X 0 0 0,BOARD CHAIR,thomas,510109178,130989,Goldey-Beacom College
(4) JOAN VERBONITZ PANIK 2 00,X 0 0 0,TRUSTEE,joan,510109178,130989,Goldey-Beacom College
(5) R JEFFREY JOHNSON 2 00,X 0 0 0,TRUSTEE,jeffrey,510109178,130989,Goldey-Beacom College
(6) JOHN J PATTERSON III 2 00,X 0 0 0,TRUSTEE,john,510109178,130989,Goldey-Beacom College
(7) CORNELIA N WINNER 2 00,X 0 0 0,TRUSTEE,cornelia,510109178,130989,Goldey-Beacom College
(8) KRISTINE SANTOMAURO 40 00,"X 230,632 0 37,206",VICE PRESIDENT,kristine,510109178,130989,Goldey-Beacom College
(9) GARY WIRT 40 00,"X 279,568 0 30,883",VICE PRESIDENT,gary,510109178,130989,Goldey-Beacom College
(10) EMILY JACKSON ILYAS 40 00,"X 136,020 0 17,445",DEAN,emily,510109178,130989,Goldey-Beacom College
(11) ALISON WHITE 40 00,"X 113,892 0 23,867",DEAN,alison,510109178,130989,Goldey-Beacom College
(12) IBRAHIM ELSAIFY 40 00,"X 112,068 0 16,218",ASSOCIATE PROFESSOR,ibrahim,510109178,130989,Goldey-Beacom College
(13) HIBBATUL OMAR 40 00,"X 109,400 0 23,430",PROFESSOR,omar,510109178,130989,Goldey-Beacom College
(14) ROBERT DONNELLY 40 00,"X 102,349 0 20,332",PROFESSOR,robert,510109178,130989,Goldey-Beacom College
