line1,line2,line3,key,fein,unitid,institutionname
PHILIP A BERKHEIMER 2 00,X 0 0 0,CHAIR,philip,520591608,162760,Hood College
JANET SPAULDING NUNN 2 00,X 0 0 0,VICE CHAIR,janet,520591608,162760,Hood College
RICHARD ADAMS 2 00,X 0 0 0,BOARD MEMBER,richard,520591608,162760,Hood College
AMY CHAN 2 00,X 0 0 0,BOARD MEMBER,amy,520591608,162760,Hood College
JAMES CLAPP 2 00,X 0 0 0,BOARD MEMBER,james,520591608,162760,Hood College
JANET COTTON 2 00,X 0 0 0,BOARD MEMBER,janet,520591608,162760,Hood College
ELFIN MARGE 2 00,X 0 0 0,BOARD MEMBER,marge,520591608,162760,Hood College
JOAN FOOT 2 00,X 0 0 0,BOARD MEMBER,joan,520591608,162760,Hood College
MARK FRIIS 2 00,X 0 0 0,BOARD MEMBER,mark,520591608,162760,Hood College
BRIAN GAENG 2 00,X 0 0 0,BOARD MEMBER,brian,520591608,162760,Hood College
JOHN HODGES 2 00,X 0 0 0,BOARD MEMBER,john,520591608,162760,Hood College
ROBERT HOOPER 2 00,X 0 0 0,BOARD MEMBER,robert,520591608,162760,Hood College
KEVIN JACKSON 2 00,X 0 0 0,BOARD MEMBER,kevin,520591608,162760,Hood College
GEORGE LEWIS JR 2 00,X 0 0 0,BOARD MEMBER,george,520591608,162760,Hood College
JUDY MESSINA 2 00,X 0 0 0,BOARD MEMBER,judy,520591608,162760,Hood College
LEN MILLER 2 00,X 0 0 0,BOARD MEMBER,len,520591608,162760,Hood College
CYNTHIA NEWBY 2 00,X 0 0 0,BOARD MEMBER,newby,520591608,162760,Hood College
RAY RAMSBURG III 2 00,X 0 0 0,BOARD MEMBER,ray,520591608,162760,Hood College
JAMES REINSCH 2 00,X 0 0 0,BOARD MEMBER,james,520591608,162760,Hood College
MARTHA SHIMANO 2 00,X 0 0 0,BOARD MEMBER,martha,520591608,162760,Hood College
LINDY SMALL 2 00,X 0 0 0,BOARD MEMBER,lindy,520591608,162760,Hood College
JOHN H TISDALE 2 00,X 0 0 0,BOARD MEMBER,john,520591608,162760,Hood College
SAM WELLS III 2 00,X 0 0 0,BOARD MEMBER,sam,520591608,162760,Hood College
SUE WHALEY 2 00,X 0 0 0,BOARD MEMBER,sue,520591608,162760,Hood College
NEAL WILSON 2 00,X 0 0 0,BOARD MEMBER,neal,520591608,162760,Hood College
RONALD J VOLPE PH D 60 00,"X 325,351 0 158,707",PRESIDENT,ronald,520591608,162760,Hood College
CHARLES G MANN 40 00,"X 172,846 0 20,760",VP FOR FINANCE & TREASURER,charles,520591608,162760,Hood College
DARIAN SCHULZE 40 00,"x 88,039 0 14,786",ASSISTANT TREASURER/CONTRO,darian,520591608,162760,Hood College
DIANE WISE 40 00,"x 61,042 0 3,323",SECRETARY,diane,520591608,162760,Hood College
KATHERINE CONWAY—TURNER 40 00,"X 155,414 0 24,540",VP ACADEMIC AFFAIRS AND PR,katherine,520591608,162760,Hood College
KATHLEEN BANDS 40 00,"X 121,974 0 20,984",VP ENROLLMENT MANAGEMENT,kathleen,520591608,162760,Hood College
NANCY GILLECE 40 00,"x 138,031 0 8,829",VP INSTITUTIONAL ADVANCEME,nancy,520591608,162760,Hood College
OLIVIA WHITE 40 00,"x 123,297 0 7,256",DEAN OF STUDENTS,olivia,520591608,162760,Hood College
CORNELIUS FAY 40 00,"x 114,999 0 7,133",CHIEF TECHNOLOGY OFFICER,cornelius,520591608,162760,Hood College
MARIA GREEN COWLES 40 00,"x 105,180 0 5,703",DEAN OF GRADUATE,maria,520591608,162760,Hood College
